,Comment
0,ki jahrhundert idealen menschen erschaffen
1,guck einfach terminator ja erklaert
2,welt verbessert technik macht welt bereit fuer ende
3,ki ganze menge bildbearbeitung foto inverssuche mal iask ai ai gefragt which german word does hide behind rindenfloh if you swap characters darauf reingefallen
4,egal sprache ki groe te krebsschaden krebs unserer welt ueber bestimmen schlimmste krebs stets ueber informiert bzw regieren deshalb seid wachsam
5,frage dank ki moeglich bedrohung demokratien abzuschaetzen waere moeglichst viele ki programm nutzen programm fragen noetig verfall demokratien verhindern antworten breit moeglich teilen vielleicht wirklichkeiten ja personen bedrohern dienen leistungen mehr erlauben such immer jedenfalls duerfen tatenlos zusehen zusehen
6,dummheit erkennt daran kuenstliche intelligenz schafft
7,meinung inflationaer begriff ki umhergeworfen dabei wichtig differenzieren art ki handelt fuer eingesetzt medien bereitgestellten informationen zielen beschreibungen i d r insbesondere sogenannte neuronale netze deep learning modelle ab besonders generativen bereich schon lineare regression simple form ki bezug arte video koennte frage gestellt regression gefaehrlich beitraegen generell mehr genaue abgrenzung begrifflichkeiten geachtet
8,einfach schlecht philosophie leihenhaft zukunft genauso tun heute entwickeln ki anzuwenden schlie lich urploetzlich konkurrenz mangeln vielleicht mal wort funktion sodass bild anstatt meinungen zwei experten waere abwechslung mal beitrag allgemeinen bildung r s immer witz
9,blabla wenig konkretes praktische beispiele echte anwendung ki alltag job privat wurde doku chatgpt v3 5 erstellt worden
