,Unnamed: 0,Comment,Label,Score
0,7,"you guns all make great points, crying online wont help. people have to go and put their law makers in check and stop electing douchebags.",0,"8,95451E+14"
1,29,in more afraid of democrats than i am of some human created ai..,0,"8,65466E+15"
2,47,"now! this ai is great at firing out ai and other quota like questions, we are doomed! please ask yourself why these people are trying to frighten you and remember the patriot act or look it up.",0,"8,82388E+15"
3,73,100% the doom of humanity... just as the bible states in joel 2 and revelation 13:7-18... its unstoppable because no matter how much they want to control the ai .every country's military is going non stop to destroy life with ai.. especially the us military dark... the human heart is desperately wicked... that's all you need to understand the end!,0,"8,76592E+15"
4,112,"we are getting very close to the time the great depression started 100 years ago, ending around the was. i think it's about to happen again with these jobs being taken away",0,"8,9906E+15"
5,149,"well, the other problem with creative ai is you cannot copyright any of it's generate content.",0,"8,99633E+15"
6,264,"as a paralegal, i'm glad i'm working for the government cause this shit is donna drive down wages and cost jobs

admittedly, that lawyer may have singlehanded killed ai in the legal industry. we'll see how it goes",0,"8,62379E+15"
7,324,"good stuff! another youtuber named hosanna passing just tried making a cake using a recipe generate by ai... it turned out horribly, as she fought her urge to change things up that she knew weren't going to work properly, realizing that most people wouldn't know it wasn't going to work.",0,"8,96793E+15"
8,331,would it be that bad if ai could replace some jobs were human make a lot of mistakes? i mean how many times doctors misdiagnosed ? if we can have a 100% accurate machine to diagnose us wouldn't it be better?,0,"8,96744E+14"
9,335,i recall the one on twitter a few years back.... the humans were successful in making it awful,0,"8,98997E+15"
10,407,"we are developing ours deaths that is ai
human whole species will be vanished after full development of robotics and ai",0,"8,71813E+15"
12,469,wo s to this h makar cap in mot tasha hate spite gear se ku home ja rare ho sir s such band war did exercise again..................,0,"8,62764E+15"
13,484,"but ai is make by humans, if it can affect the survival of human  then human can destroy ai in future.",0,"8,91733E+14"
14,487,i don't think i ai will hate humans until or unless it's code with some kind of these...they don't have any emotion even towards themselves..,0,"8,93866E+15"
16,505,ai can't give a child birth nor death.,0,"8,80205E+15"
17,538,human can build ai but ai cannot build human.,0,"8,9335E+14"
18,595,he is the fattest human brain,0,"8,94102E+15"
