,Comment
2,i think the models will just get better at generating contant. i think human beings just can’t get it through their heads that there’s nothing special about the human brain. all the conversations around this desperately want human brains to be special in someway. but at some point humanity has to face the fact.
3,"hello sabine, i enjoyed your video (because it tells me what i want to hear, i suppose ) this very short video is my take on the whole ai concept . https://www.youtube.com/shorts/jqr6xid0ggo?feature=share"
4,mark content as either ai or human generated and make it illegal to mark it incorrectly
5,"if ai is just an algorithm based on internet human inputs and data... 
then agi is just a delusion."
6,"the original bit of dishonesty was in re-labelling algorithm-dependent automation (generative or not) ""ai"". it's simply not intelligent."
7,"as someone - myself - has always been saying, ai is the dumbest smart and the smartest dumb."
8,what if ai starts learning data directly from the natural world?
10,but is ai's convergence to banalitity worse than the average youtube-curated comment thread?
12,"without  ""greg rutkowski"" and other such named artists in prompts ai art has no power."
13,too many people out there pouring their hopes in the ai god. nobody knows what the future will look like.
15,no with the recognize stuff. all digital information is binary. it is the humans who decide which group of binary data is for which brain input.
16,"i recently read a short story and noticed that it kept repeating itself in a slightly different form throughout the whole thing. by the time i got to the end, it was so obvious that i realize it was ai.  i had wasted 10 minutes of my time reading repetitious poppycock. but at least i learn to recognize ai writing.."
17,"just look at the sky, you would know what’s the future of ai world would looks like. most of the ai talks are just money talk."
19,"so ai causes a tendency toward order instead of disorder. the fate of the universe is saved.
   - arthur irving"
24,what do i have to do to get artificial intelligence away from my creations and my work?
25,"ai self cannibalism? maybe. but with swell robotics everywhere, ai jobloss is the only thing i worry about anymore. anyone else feel the same? should we cease ai?"
26,"your videos recently appear somewhat desynced and your voice is slightly off, not as clear and energetic as usual. you are not using gen ai are you, sabine?"
27,"no learning, just curve fitting. it's all maths. also no ""creativity"", just ""select 1 out of 10 at random""."
28,thanks for this. my understanding of ai is very poor so i apologise for my next question.... does facebook / meta use ai and is this why it is so awful now or just that facebook has done everything it could do. i.e. there's only so many skits you can do until we have seen them all.
29,the machine needs to feed on us to keep going ...
32,i used ai fairly heavily recently....but i do see more  and more limitations....even asking it for normal data is flawed at times...you gotta watch out
35,"most reassuring commentary about ai we are junking it up, putting nothing of substance on the internets means they can't get anything of substance out "
38,my body is a machine that turns garbage into garbage
39,"cool, the mad cow disease is back again..."
40,i think they will figure out the artificial randomness pattern.
41,"if ai is getting training from the internet then it is 50% total bs, fake news and total nonsense. garbage in garbage out indeed."
42,don't forget noise filters put on art harms data collection for trainning! aetist fighting back!
44,chatgpt is already trash. i asked it some east questions like how many words in this sentence and how many letters in a word. it can't even do that. literally just counting which computers are good at.
46,yeah thats what i thought ai is only as smart as what garbage it picks up
47,"i found the same thing when a i was playing around with a music ai generation app. while it was fairly impressive at what it could do when i tried to get it specfic content to fit different needs and moods it wasnt able to, the music sounded too different even when using similar prompts"
49,that is fairly obvious because the data is based on normal distribution which cuts out the tails outside the bell.
50,the more i use ai the more disappointed i get - it just spews out fancy sounding garbage and all the art looks homogenous
52,"what ai? there are no true ai in existence. these are all simply programs that absorb massive amounts of info and generate responses based on algorithms. they are incapable of sentient intelligence, purely a machine that operates in the confines of its programming."
56,"i think those are really great news 

i don't like all that fake ai stuff."
57,i’m sick of all the garbage ai youtube videos. youtube is becoming insufferable
58,"there's nothing intelligent about llms, and it's so painfully obvious. but we've all fell victim to marketers selling them as ""ai"""
59,ai is an overglorified google search
60,"i think that this might push ai creators to start tagging their creations as ai, and make them ignore creations with those tags. this could be a good process as then fake images could more easily be identified."
64,"look at whag happends with google gemmini triying always be generalist  producing black nazi soldiers and recomebd poeple to use glue to fix the cheese of a pizza or say its good to eat one rock at a day 
ai is overhype"
65,"real human models are starting to look alike with cosmetic surgery, fillers and contact lenses. maybe that’s influencing ai too?"
66,lovely!
67,"it's not a plastic contamination, it is easy to remove all those generated images from a training data with other anti-spoofing neural networks, which have near 100% accuracy. there are no unsolvable problems, it will just require a little bit more effort on the development side."
68,garbage programmed in _ incidental garbage in _ idiot conclusions _ smart people would not be trying to propose ai........
69,"the ai need to breed, like ghost in the shell"
70,why would this be seen as a novel problem?  just try watching a few recent hollywood movies to see this feedback regression in action even without ai involvement.
72,train ai on reddit comments nothing could go wrong
73,this is great and all but the video never mentions that the programmers of these language models are changing the structure of the ai brain and not increasingly feeding it with information and hoping it gets better.
74,inbreeding works in ai too... huh
78,"i hope ""ai wins"" i'm sick and tired of america's laws restricting the entire world with their bs, enough is enough.
ai is a creative tool and no censorship should apply to creativity, let people create whatever they want."
79,"i think ai generated content ""in the wild"" is always revised and ""corrected"" by a human.. unless you train directly with data generated by ai i dont think this will be so much of an issue as it is though.."
81,"so ai is fucked because there isn't enough data available to train models properly. and getting that amount of data is impossible without software, which is then ""generated"" data and not real data. that actually lines up with my experience."
82,"it is imminent.

 if it comes down to humanity or ai- 

ai goes away-anything that threatens god’s children goes away

#yougoawayifyougetingod’sway"
