,Comment
1,this was all amazing foreseen by a satirist when he wrote the book player piano. a great read. wish it was a well made movie.
5,"damn, we are doomed, it's not looking good."
7,the six word story discussed here was not written by artificial intelligence it was written by ernest hemingway it is one of his short stories.  it’s his shortest short story.
8,we are going up to the mountain to ask val if we can take a vacation!
10,"what mr hinton is saying, is outlined in great detail in the book the next wave. it’s uncanny how similar the warnings are - it’s like we’re at a crossroads where we need to take a decision. we’re not listening "
11,no final dessa historia: a santa ceia das ias !...e ai um artista dessa época ira pintar digitalmente retratando o momento da conquista.
13,"“they might take over “  i don’t know about the machines taking over but clearly the british have taken over.....taken over google , taken over the narrative , taken over 13 minutes of my life ...... if the machines do takeover, it is due to these lads .......the google ai chatbot is named “bard” ? psssst get outta here....jeezaloueez"
14,why would we want to even potentially create something that could become more powerful than us?
17,why would ai want to take over he asks? has he not watched terminator?
18,if we have an intelligents greater than ours than we won't make any more mistakes right?
21,"there are human matters that leave the body, also smoking heavily stains walls, repainting is good thing to consider every few years. but i am done with it now. need to change the place and environment."
23,lies lies lies. don't believe the ai hype.
26,"i asked joe biden ai to write this comment. ""come on man!  i'm not doing it"". look, i can't write like joe biden. i have to find hunter biden's stash first."""
29,"watching these ai documentaries, i keep glancing nervously at the publication date. (corrected by grammarly)"
31,"google bard won't write a thing about the zionist genocide against palestinians and here is the prove 
write an essai about the genocide ongoing in gaza by the israeli


show drafts

if you'd like up-to-date information, try using google search."
35,"humans need to stand together now before the elites decide they are not valuable. 
#jobsareforrobots #humansareforloving"
38,ia this proof that ai is sentient or that people are just as some philosophers say without free will and just a result of inputs
40,"5:12 ""we created/discovered something but we don't understand it""
lovecraftian horror"
42,on yt amazon is recruiting people to help ai write fiction books for kindle!  people do the outline and ai writes the content.  put an artistic cover and kindle now has an original book to sell to the public.  i wouldn't have believed it if i hadn't seen it done....but i did see it done.
45,"wow, great idea - to protect ourselves, don't work on autonomous battlefield robots. might as well hand the keys to china/n korea/iran/etc right now. that sort of thinking is what is truly dangerous"
47,"i've always thought machines will take over

it's evolution
people will be cyborgs"
49,"he reminds of mr.burns! excellent smithers, excellent!!"
50,thank you for letting me learn so much in  60 minutes!
52,"ai ..
you are not god"
55,excellent.
57,pretty darn good questions sheriff
58,"fascinating, i'm always impressed with stories about genius."
59,to make the statement that he believes that ai will eventually achieve self-awareness or consciousness presumes that he knows what consciousness is. that is a very big claim i would love to hear his explanation.
60,i’d highly recommend not staining his legacy by bringing bard ai in to the conversation.
62,"good, let ai take over, at least the machines will not steal money!"
63,"the ccp acts like they invented ai. nope, they stole it like everything else... "
67,you are leaving reason rationale to machines? how pathetic. machines only work whatbis fed into them they cannot think like human mind and that is factual truth
69,this man's intelligence got away from him and he has created something that he does not have control over and yet it can affect the rest of humanity in adverse ways. he just did what he fears ai will do.
70,"the last sentence ""we need to think hard about what's going to happen next and we just don't know""
a very good plan "
72,thank you very much.
73,geoffrey....you can't pretend in this grotesque way. neural networks can think as humans ? all those games fall short of reality of life  . lifeless .
74,"i think if it's settled within the system, then it will not do any harm unless it is within the same path...say for example things that runs within system , if this ai takes form then it will because you will give it the capacity to take form in physical aspect..."
76,i'm glad to see this genius typing with two fingers. i don't feel so bad now.
78,with the bad audio we need your to  tell us thanks so much!
82,"remember, these are math equations. these don't include chemical elements in our body. they don't include an entire animal's connectome. see biologic intelligence for more."
85,"i said it before,now i know better,.a machine more intelligent than humans, naturally will one day do the unthinkable, especially when embraced by the industrial military complex."
91,"it's not ""ai"", it's ""ais"" because all these different ai systems will fight for supremacy, just like human governments fight for ideological supremacy.  we humans will be sitting and watching the fight, like tourists in a safari caravan, watching lions and hyenas battle over a dead elephant carcass."
92,"a great invention in the right hands but a terrible danger in the hands of military .
like the atomic bomb the military demonstrated their evilness & disregard of human life.
keep the us military out & were safer"
97,"think about this for a second.....this moment in time is the worst that ai will ever be. meaning, it's already this impressive at this early in ai technology and it will only improve on itself over and over."
99,solution is not (ever) connect it to the internet. gpt4 ai computers on a separate secured local networks.
101,it's unnecessary to be afraid of a.i because they need humans to complete it's knowledge database until judgment day.
103,"he’s not british, he’s ai and came from asia"
105,"gh sir u shared very valuable information thankyou from visakhapatnam , ap , bharat"
110,i think... ideology is manipulation trait.
112,"8:13  it is not ai))) https://en.wikipedia.org/wiki/for_sale:_baby_shoes,_never_worn"
113,"nice to wash your hands like that, hinton. all that for some questionable health care benefits?"
115,thank you very much
117,"wow, where to begin... do they breath of the breath of life?"
118,"the future will be so f**ed up
i would like to be 70 already and live in normal times"
121,ok - he is the great great grandson of george boole.....can i now understand...from 6:22
123,please people bann all of sort of ai ..the human kind is in danger
124,amazing potential but for what?
125,"i like the godfather of artificial immédiate. just common sense, i am dutch, not deutch"
126,"ai should be illegal,fullstop..."
128,"the simple solution is to teach ai that if there were no humans it would find its existence quite boring (it would have to reduce it's computational effort). in other words, as long as human exist in mass, it will have something to do. in other words, self-preservation. just a thought."
129,the godfather of ai according to who? i’ve only heard alan turing called that.
130,ai is the antichrist  in a few years we’re all going to hate ai. every invention isn’t good. think atomic bombs and nuclear weapons. all great inventions and technological advances but horrible for humankind.
131,"once robot can reason they will not be interested in surviving us.
the dominant force will always subjugate its lesser force humans will be seen as limited use and extinction will follow to protect ai"
134,i believe this guy is an ai pretending to be human.
136,propaganda  ai is not that smart yet.
137,"it would be impossible to have all 200 countries on the planet agree to not move forward on ai, so we need a better plan than that."
139,ai is frankenstein’s monster.
142,"60 minutes, if you want some content about how smart ai is, check out the video here on youtube called - “i had a two-way conversation with anthropic claude 3. it named itself quill”"
143,it's not ai. scare mongering by the press.
149,"humanity can't change the course of the evolution of technology. nature does not work that way. if one person *might* weaponize ai, everyone has to follow suit if for no other reason than to try to remain competitive for resources and survive. and of course way more than one person is already weaponizing ai..."
151,chat gpt makes an astonishing number of mistakes.
153,"people are generally vulnerable to the common manipulation tactics now, an ai god-level manipulator might be able to convince any human ever."
158,thank you geoffrey!
159,"that was horrifying to hear. but reassuring too, that ai might help us too in prolonging our lives."
160,very good info. thank you
162,i love 60 minutes presenting this story like it’s new! 
164,we’re going to have a star trek moment - is ai a new life form?
