,Comment,Label,Score
0,"honestly just release them, let the ai's take over. the world we live in is screwed up anyway can't see how the ai could make it any worse.",0,0.9662208706140518
1,i'm good with living among a city of ai roots over a city of human beings any day.,2,0.9458538740873337
2,none of this will be used for the good of humanity. it will only ever be used for the good of a few humans while it makes existence that much more difficult and treacherous for the masses. like all new toys in the hands of the millionaire elite. their granted permission none of us ever would be on promises they never fulfill.,0,0.9033167759577433
3,"now!  we are actively eliminating mankind as we create a face world!  now that is intelligent!   and.., we can make a whole lot of money as we wash ourselves out!  so brilliant!",2,0.9282882213592529
4,"this whole paranoia about it taking over is still ridiculous. completely irrational. it's not self aware and it's not in control of anything. it's currently still way way far away from being like a person. it prefers some cool functions but it's still not age 
, not even close",0,0.9214607874552408
5,"we can even get climate change under control...humans are literally the direct representation of ""cart before the horse"" and i do not see this ending well for people (and by that i mean, i see ai being abused more than it actually helping people work less and be human)",0,0.943443497021993
6,i love how the brilliant people still think they are in control. find jesus now.,2,0.9532601982355118
7,"you guns all make great points, crying online wont help. people have to go and put their law makers in check and stop electing douchebags.",0,0.895451009273529
8,this is bad news. stop development of ai now. i believe the bible speaks on this subject. turn it off now.,0,0.9252697626749674
9,"well ai is sweet and very handy, but like a car in the wrong hands it can be used as weapon. ai is not the dangerous , us humans are.",0,0.9380398243665695
10,how will all the different religions be involved or will it? feeding us untrue pictures of a globe ( world /earth) o the first big deception with ai?.,0,0.9443434923887253
11,"must: ""ai is very dangerous and could be weaponized against humanity."" 

u.s. government: ""hm. we'll take two.""",0,0.936359186967214
12,probably time to keep a closer 'eye' on the development of this technology. specially the likes of mr must if it sounds to good to be true it invariably is. just saying.,2,0.926586369673411
13,"when will the first ai molested emerge?  an andros that stalls the streets?  (its a joke, mr andros)",0,0.94785937666893
14,"this is bullshit , ai  is just a hope that is going nowhere ,  it`s being used to pump failing stocks  like tell and many others",0,0.9676995277404785
15,exciting future ^^,2,0.9211830377578736
16,billions of a millimetre?! what the fuck?! that's god-like impressive!!,2,0.9060035149256388
17,"the great danger to my mind is that it will become impossible to exist outside of it. or not permitted to exist outside of it. therefore, when something goes horribly wrong, and it will at some point, there will be no escape, no means of surviving it. 
this came me in a dream that became a nightmare.",0,0.9038200825452805
18,one ai to another: “mon always liked you best!”,2,0.9689261168241501
19,"the more i see like this, the more i'm agreeing with bill burr on the matter: ""plug that thing! take the batteries and the wires out! do something!"" some of this, while really cool, is terrifying.",2,0.9653052488962809
20,a baseball team of roots..people will love them and they can live forever.,2,0.9391399025917053
21,you have no fucking clue what you're talking about. it's already been discredited multiple times that the claim was bullshit. but here you are trying to get click. stop with the bullshit,0,0.9720529317855835
22,"may, i wouldn't mind having an ai friend. he'd probably hate humanity as much as i do at times.",0,0.9006986171007156
