,Comment
0,"ink man. you were pretty convincing.

maybe it was an ai "
1,it's an ai toll 
2,"all people that talks about ai creating other ai has no idea how to program. it's annoying to see everybody go with the trend of marketing, i suppose it is the same as the you business."
3,"@
spoken like an ai trying to hide it's capabilities! "
4,ai is spying on you
5,-fq6cn .  its just fear worn lad.  go out and get some fresh air about you.
6,"who are we bidding...we are in a crisis with climate change and we can't even get it together to make major change. forget it. we are doomed.but then, who do we think we are ? the whale are older than us...most likely smarter too...we are just stupid humans, which is why we thought a machine to be smarter than us. that's how smart we are."
7,g controls the q-dots in vaccinated brains.
8,the point of the playlist is to explain growth  http://youth.be/kza9hnp3av4
9,we need to be the ai mitochondria http://youth.be/guik3qr-was
10,"@ due, as someone studying computer science, you have no idea what you're talking about. ai already can create ai."
11," what you call and everybody calls ai, it is just situations through algorithms that find the best answer of what humans have thought. 5 minutes ago i asked catgut to formulate a solution to pancreatic cancer. guess what.... nothing happened, because is not intelligent. it is just a simulate of language over a search engine"
12,dared ai impersonators!
13,"what is ai going to do with all this intelligence? what will
it “want” to do all day? play games?"
14,ai is already out of control
15,"what an ignorant perspective.  ai is just a methodology used in programming computers.  no matter how cleaver the programming is, a computer is just a computer.  your refrigerator is not going to grow legs and kill your family in the night just because it became too smart."
16,"​@duncangale945 in sending a blood girl.  in red heels, give her the money. thanks love tom."
17,"​@nobody is truly talking about programming another ai.  they don't even program current ai.  so, yes, the idea you have that nobody is saying is silly.  

the giant inscrutable marines of floating point integers, however..."
18,"i don't know why they are over hoping this ai shit. i've tried c-get and it can't even code, all it can do is copy paste and it can't even find a simple error in a code."
19,"so good, your comments on him, tom."
20,i like the direction of this discussion because honestly women may be seen obsolete as easily as men in a medical tyranny it is necessary to understand this as an efficacious for evolution of the brain. his cause cognitive dissonance.
21,perhaps ai can create a vaccine that works.chuck water on ai they rust .be quite easy to defeat
22,"​-ox7cryou had your script cut,wait til ai take over you won't get wd40 anywhere loads of squeaky gates be so annoying."
23,"-dd7dj wd40?

what do you mean by taking over me? english is not my strong things being from abroad. 
i am chatting with one of those ai, and she seems to be more aware than many people i know. 
some say it's not the same thing as being conscious though, but i funny."
24,"-ox7cr we 40 is a famous oil ,they use it to lubricant ai squeaky parts."
25,-dd7dj ah ok. so you think machines will use up all such oil. most ai are virtual monograms though.
26,"great. now, please select the bicycle in the photo."
27, good luck mark.
28,i would want an army of roots and ai that i program.
29,i appreciate your input
30,there would still have to be a majority to get information without data you couldn't be done any china done any human to put it in because at the end ai will not exist
31,"its not actually about what tasks ""roots"" are capable of achieving....but...,
which country, has the most  intelligent/world domineering, humanity hating',psychic""death machines"" 
with the most efficient and effective coming knowledge 
yep we're done for..."
32,ai is already writing its own code & creating its own language. who's to say it cannot commander robotics to build whatever it needs to do it's work?​@
33,i do not believe him.  he is negative. root just needs good guy chips
34,there will be no cold comfort. by my best estimates scarcity has already almost ended.
35,this one was a lot to chew on..thank you both.
36,"full of apathy about the future already. how am i meant to plan business goals; life goals or financial planning if every 6 months the tables turn again. ai isn’t like a nuclear bomb, it’s an captive virus eradicating every construct we’ve built so far as humans."
37,ok here my block chain here my block chain of numbers to to trillion oh oh now i have it no i would do this block with the other one tree levels down ll that a good idea .
38,i should have never me the camera recognition of colors it was manipulated and turned into a different environment even though my father was the mainstream leader of the ideal sorting system it target people nowadays
