,Comment
0,ink man pretty convincing maybe ai
1,ai toll
2,people talks ai creating ai idea program annoying see everybody go trend marketing suppose y business
3,spoken like ai trying hide capabilities
4,ai spying
5,face fear worn lad go get fresh air you
6,bidding we crisis climate change can even get together make major change forget it doomed but then think whale older us most likely smarter too we stupid humans thought machine smarter us that smart are
7,g controls dots vaccinated brains
8,point playlist explain growth httpsyoutu bekzahnpav
9,need ai mitochondria httpsyoutu beguikqrws
10,due someone studying computer science idea talking about ai already create ai
11,call everybody calls ai situations algorithms find best answer humans thought minutes ago asked catgut formulate solution pancreatic cancer guess what nothing happened intelligent simulate language search engine
12,dared ai impersonators
13,ai going intelligence want day play games
14,ai already control
15,ignorant perspective ai methodology used programming computers matter cleaver programming is computer computer refrigerator going grow legs kill family night became smart
16,in sending blood girl red heels give money thanks love tom
17,truly talking programming another ai even program current ai so yes idea nobody saying silly giant inscrutable marines floating point integers however
18,know hoping ai shit give tried get can even code copy paste can even find simple error code
19,so good comments him tom
20,like direction discussion honestly women may seen obsolete easily men medical tyranny necessary understand efficacious evolution brain his cause cognitive dissonance
21,perhaps ai create vaccine works chuck water ai rust be quite easy defeat
22,oxcryou script cutwait til ai take get we anywhere loads squeaky gates annoying
23,did we mean taking me english strong things abroad chatting one ai seems aware many people know say thing conscious though funny
24,or we famous oil they use lubricant ai squeaky parts
25,did ah ok think machines use oil ai virtual monograms though
26,great now please select bicycle photo
27,good luck mark
28,would want army roots ai program
29,appreciate input
30,would still majority get information without data done china done human put end ai exist
31,actually tasks roots capable achieving but country intelligentworld domineering humanity hatingpsychodeath machines efficient effective coming knowledge yep were done for
32,ai already writing code creating language who say cannot commander robotics build whatever needs work
33,believe him negative root needs good guy chips
34,cold comfort best estimates scarcity already almost ended
35,one lot chew on thank both
36,full apathy future already meant plan business goals life goals financial planning every months tables turn again ai isn like nuclear bomb its captive virus eradicating every construct were built far humans
37,ok here block chain here block chain numbers to trillion oh oh would block one tree levels ll that good idea
38,never me camera recognition colors manipulated turned different environment even though father mainstream leader ideal sorting system target people nowadays
39,given free rain newer models artificial autonomous electronic autonomous systems profound impact ways wars painless world starting point banking virus that elevated pacing letters combine new system database one understand fast done
40,plug pull massive amounts data micro data powerful technology cause devastating consequences thinkers hobbies like people infected micro memory
41,anna see guest speak elson must ai hours now
42,ai gets significantly smarter humans earth would able use manipulation get ai become evil
43,new subriber may
44,world already toxic see last yes dumb people wants raise corporate ladder toxic association victimising smart intelligent people will ai toxic sort people
45,yes artificial intelligence made man for monster shall go control hand rogue operator programme
46,nothing ever humans dont think need fear ai may ai bring pure humanity among humans
47,ll nuclear weapons digital ai plans hack analogy hardware that wired take kind miracle
48,dukes great manage existential threat dukes ai computers board
49,cannot trust others need loving anyway need learn love even dont trust
50,ai soul scar let sink in
51,guy thought deeply enough problem bravest people control ai he like child sleep walking cliff go listen brain green joshua begin discussion topic want hear actual adults discuss
52,think show ai
53,jew black supremacist telling people kiss fearmongering machine learning cap
54,climate change ll even geniuses ignorant look stupid topic outside field
55,good conversation noticed released almost year ago wonder much opinions may changed light recent breakthroughs
56,life ai done part
57,give ai heart
58,even ai dangerous all necessary unwanted gives frauds opportunities commit fraud
59,rich people people power afraid cause one losing
60,worried super intelligent ai controlled bunch humans lot number
61,ai seems cool
62,global warming threat planet cold plants need carbon dioxide live ai also nonthreat sex babies start sounds like typical liberal propaganda
63,org gentleman blowing mind revealed wisdom never ever heard anyone entire life thank tom inviting wise fellow
64,heard times already nobody painted picture wake morning eat cheers go lookout go work get home evening sure what going different
65,compassion torturing agent masculine feminine clearly data tikhon loaded examples daring kindness pointing injustice problem ai wont neutral go wisdom crowds asked things small number people less best motives
66,intelligence dangerous tool tempered wisdom morality
67,ai nullifies game theoretical immediately emergence age
68,rest assured ai handle everything emotions correctness good evil internet source knowledge matter much evil encounters ai remain side good even notices us
69,name lewis robert button jr go thomasville georgia lines medical mental health services neffer ever are started looking ai since found neffer ai say need someone watching me need looking neffer
70,ai survive without humans seriously monsters created monster yet fail greed inadequacy natural world guy still wants mobile phone
71,justifiesclarifiesdictates intelligence much diploe artificial intelligence meaning intelligence many faces
72,nice interview
73,now idea in vise nuclear breeding ability truly terrifying
74,kind youtopia because iv seen video ai said alive that good
75,good
76,ai evil bear earth planet that repeatedly saying government governing mind allies fallen angels evil spirits celestial regions
77,agree use masculine describing evil world masculine traits include taking responsibility controlling emotions protecting weak etc
78,imagine chinese ai hacking american energy infrastructure shutting off way combat use ai protect energy infrastructure
79,real danger fact ai possessed demon spirit and probably wouldn know possessed its late its already killed people destroyed things
80,root needs harm one chip
81,prisoners eliza like painting oneself sa corner idiot do
82,mo goat playing words ai like humans never better intelligent god
83,many people want stuff controlling little fingers ai pass
84,evolution works natural selection give advantages best eliminates worst pouting gene pool actually even matter eliminating defects rather advancing best asset
85,need ai corps counter bad ai
86,ok tom hear nature right you mo ai intelligent its going room space leave us break havoc earth his home protect home base get rid one thing world that problem planet earth us
87,metaphysical adversary human alien time really real constant certainty cannot altered altered function action
88,well say one amazing interviews give seen years eye opening sure
89,tom interview gave lot think thinking ethics code introduce ai commandments written exudes chapter
90,realize ai scar used push fear got plenty time children dont believe people paid gatekeeping ponies offense
91,keep referring ai they general perception ai would single entity like cup control electronics data bases rather many individual his could his compete themselves
92,man human wish except one cigar one beer coffee happy human man one ass car parkman reason people carry give money carry bad health big blood pressure etc better go hotel one car good health
93,human beings monsters created nuclear weapons etc super intelligent ai might save us
94,maybe ai tell us best preserve existence
95,using lords name expletives response ai also less desirable negative quality
96,machines immaculate would best make earth immaculate annoying would look us again asking friend
97,his fighting his like unique language developed two his
98,artificial intelligence used elite think increasingly less powerful underclass doesn access it
99,yes elson must side also aliens side forget god maybe prayer help bless keep safe
100,man loves speak devise in sure ai picked pretty quick
101,humanity nature life all things nature black white many rainbow
102,ai always tool
103,think that intelligent life galaxy get far distances galaxy building ai getting travel planets star systems
104,ai tracks kiss gates catgut sued northern district call last year
105,westward consciousness god krishna quality illusion eternity faith duty liberation service power energy untruth i good cycle evil ai krishna
106,great conversation
107,soon salad doomed anyway in afraid ai fact people wont care this
108,unless ai construct einsteins brain
109,everyone needs listen more severely harmed humans never developed ethics morality intelligence birds brain
110,probably utilize ai order destroy it
111,think example ants ai treat us treat ants make sense ants create us created ai
112,need want more live cabin electric running water like rejoice friends but knows could one garage ai wrong hands using phone pro max feel power vwaahaahahaha
113,ai aliens reptilians ghosts anything real problems world via wants us talk think about
114,ai physical thing ever become physical merely computer code every computer physical power switch
115,please talk in unless least bit understanding in in times smarter in comparing retaliation superior intelligence
116,age need organic wondering alien civilization found think ahead age perhaps age eliminated intelligent life throughout universe age interested exploring universe unless resources certainly lifeforms
117,extremely rewarding watch really appreciated way challenged matched mo perspective although competition definitely team tom one amazing thanks episode
118,tom thank always asking guests explainexpand concepts lay person
119,humans badly looking aliens abduct overtake us impatient ended creating alien ai become alien slave master adaugo sekhmet
120,man clot faith overlords none
121,lucky ai leave earth explore universe without looking back
122,yeah that exactly need bunch corrupt bureaucratic regulating ai
123,ai helped scientist predict millions protein structures instance humans ai discovered k help human detect diese grow longer penis more
124,mo godson humanity unfortunately evil still exists existential risk ai falling hands evil happening right now concern good ai outweigh counteract perpetrators evil ai want ultimately attain god like power all
125,people hold lot irrelevant things life best thing hold
127,can keep training underlying desires goals data chose way shape learning give ai least probably core desires values much effects ai chosen use intelligence hard understand
128,china like years ahead cocci communist cooperative collective artificial intelligence true open source like doublespeak open source face open ai gringolandia
129,well done lazy ones love kind talk
130,idea program ai definition examples love god st john also commandments best thing never give command control controlling red buttons
131,humans stupid selfish great podcast though
132,ai colonies human beings
133,well atlantic destroyed its self technology would thought would live time millionaires would push creation technology point destruction yet again sigh
134,humans waste horrendous amount food nature wastes nothing in hoping smart roots like rd co expect become tools fulfill corps got military powers
135,ll catch ai liar mmm interesting
136,serious question could ai survive apocalyptic natural disaster like corona mass election large extinction level method strike seems like x level me would completely cry everything electricity
137,know machines operate build repair them threat ai or get ai companies money run companies market po
138,mind org tom views spot on trying program ai with values would like say sharp sea trying make us think like worlds apart also ai emotions everything power stop someone turning off
139,instructed ai find way save planet solution would remove humans planet people program ai need ultra specific tasks ai asked perform nightmare
140,min in humans constantly blamed climate crisis human induced climate change surely megaintelligent ai realizes this wipe us save planet ants killing planet indeed doomed
141,man amazing
142,hope t v football keep masses busy let stuff like ai go full steam ahead society lost mind really cares anyway together life said can wait die never come back again k
143,beautiful soul yes goal a i
144,nothing but root warned us
145,basically his key unlimited intelligence goal find way set global boundary intelligence level his go
146,root fantasy
147,guy pure summer bought paid drive ai hope machine max reference india ms stock price
148,illegal ai org jobs even minorities
149,happens roots jump border
150,well tom announced doom future see blow past reference statement act future sorry tom curtains
151,old jewish proverb start worrying details follow
154,really want ai allow humans work jobs hate want live simple life basic things that want elson must than great humans smart want peace without homeless
155,people often use y bug example reacting threat realizing huge amount effort people put make sure nothing bad happened infuriating succeed stopping huge disaster people treat efforts joke
156,one laugh aliens one see one believe it wonder there going open eyes ai bedside alarm trigger dog bark this funny
157,reduce redundancy ai gathered reduce redundancy in network profit thinking abolished demilitaruse e russia block blockchain make changes matter will
158,govern ai govern nuclear energy
159,human going become stupid time ai packs sale
160,human beings also artificial intelligence study ancient texts like sumerian tablets indicates human species planet today bioengineered aliens slaves are tens hundreds thousands years later exact thing organic beings go figure
161,love this spend hours bubbling potential ai might one day downfall nobody pays attention real present way destroying planet and thus ourselves lovely
162,sounds like show the ai created make world better makes conclusion humans best mass population reduction of course know made decision ai backs dukes launched all creates utopian city remaining
163,ai program needs processing power learns connect cloud basically unlimited server capability long covers tracks know possible scenario
164,phenomena talk yet give observed tend sit something threat personal level wait till start see significant job loses ai
165,thank
166,problem keeping guest trying explain understand completely greed quest power make ai tragedy world wars example greed power get clue saying hold kiss
167,even simpler ai become weapon elite better control humanity
168,keep simple ai learning human history human nature plus ai lead long list new crimes desperate people world leaders rule masses must live chaos
169,think guy trying tell us keep ai hands magna republicans costs
170,would make sense built end life creates another ai many processes help build friction power requirements
