,Comment,Label,Score
0,access zenchat? would love use that,2,0.9418860524892807
1,one best important podcast ever seen shared,2,0.966926634311676
2,living good life much easier dont worry paying bills people left enough time think,2,0.9367792308330536
3,child absolutely amazed moved disneyland watching simple root designed abraham lincoln rise seat give gettysburg address in amazed world today !,2,0.9676522016525269
4,psychopath sociopath narcissist leaders world help ai happily aniline human race greed pleasure satisfaction see race finished near future,0,0.9002969662348429
5,your smart smart your smart oh your smartest okay guns your smart congress!,2,0.9332238833109537
6,ai experts allow ? punished lack responsibility bringing danger humanity,0,0.9387132525444031
7,ai threat passively overstated elite want people dead one way another blame ai,0,0.9325619816780091
8,wont help women made connection losing situation us dont want f root time man admit,0,0.9041594862937927
9,fuck saying? inspiring create religion something vs ai ?! funny shit,0,0.9446668863296509
10,happy favour sub! looking forward this use get hard etc marketing job,2,0.958419668674469
11,afraid machine feelings intentions id afraid people going abuse technology blame machine horrible acts that need believe machines like people alive even insane,0,0.9087338596582413
12,amazing well spoken guest! beautiful easy flowing conversation really enjoyed every minute it,2,0.9823883652687073
13,absolutely loving series its making want visit vienna can wait third,2,0.9797106742858886
14,glad called tool machine amazing interview nonetheless much love thanks speaker,2,0.9359648585319519
15,joke say good parent ai root cause pain world dysfunctional individuals becoming parents n cycle maniac starts there first place never good parents human kiss n talk god parents ai indeed cruel joke,0,0.9736962616443634
16,best ai printing give ever read book h a r l i e one david gerrold love all!,2,0.9794146120548248
17,great show! believe foundationilsm meaning know important exercise establishing facts history fo writers put foundationilsm fo drift front center,2,0.9694869220256805
18,mo prophet way sees future far ahead us interesting view,2,0.9375827461481094
19,one best podcast episodes ever watched terrifying exciting time pessimistic really see ai going well,2,0.9474412560462951
20,quite remarkable conversation thank diving subject fascinating educational scar inspiring lead way !!!,2,0.9551165997982025
21,never cure loneliness see guns bought beautiful expensive dolls feel pity real cure building private matrix within bigger one,0,0.9247388442357382
22,ai take job person using ai will sad news people,0,0.9133496731519699
23,thanks powerful content! the answer find peace life die die,2,0.9795738905668259
24,best advise heard,2,0.9301799893379211
25,loved podcast! really wish however littered soon many predator as seemed opposition ultimate message still,2,0.9620131055514017
26,people rendered utterly useless left starve without jobs leading global marshall law weaponization ai target eradicate problem population ai determine rich corrupt problem eradicate leaving skilled able bodied maintain human life,0,0.9577548950910568
27,thank you!! thank you!!,2,0.9731841564178467
28,really interesting,2,0.9160406440496445
29,in impressed technology used humanity! racing destruction due greed power selfishness! root money evil! long old days everything simple!! sad,0,0.9362874428431193
30,thank brilliant interview lot think about trying hard faith humanity however long war we still animals animals control ai??? enjoy beauty life everyday elderly mother hope world become better children grandchildren peace,2,0.9627824823061625
31,liked already subscribed!!! thank you good works name pray amen,2,0.9265678644180297
32,great podcast sucks word climate change repeats every ten seconds everyone believes religion,0,0.9554612040519714
33,mo pessimist calls way sees it ai replace human connection many gen z individuals continue miserable generation parents failed wholeheartedly continue so,0,0.9228630512952805
34,well thank people like screwing world !,0,0.9226488272349039
35,ever happened prime directive root ai never kill human? secondary directive his whatever necessary short killing humans stop human activity causes climate change? move nails pace canada burns,0,0.9307698607444763
36,love great message voice voice true self,2,0.9907155483961105
37,man guns voice like sandpaper eardrums cool stuff the,2,0.9177662283182144
38,sa sent decline medial less k per kid raising kid us make kid criminal future selfish like almost every body,0,0.9233265519142151
39,humanity doesn deserve survive crisis race stupid selfish can adapt accept limitations order save species planet far in concerned ai wipe us out think that,0,0.9598726431528727
40,humanity sadly caught dilemma tissue sagacity covetousness !humanity delegation godgifted powers machines scarcely grateful !,0,0.931512733300527
41,like guns ai kill people people,0,0.9452663660049438
42,want know happens ai judge ai jury gives verdict action done ai agent case controversial violates code law sentinel sense morals ethics why fuck even here question,0,0.9476353128751119
43,jobs wage slavery people upset ai liberating us slave tasks? make product ai free super cheap price caps,0,0.9071217030286789
44,bring children ai world absolutely stupid surrender no continue destroy man his birches cuckolds making dog brood parasite,0,0.9632034540176392
45,thank god a i planet destroyed human beings aliens afraid come humans kill attack other throw trash everywhere kill unborn need keep going mother earth needs destroy everyone a i,0,0.9373138149579366
46,interesting terrifying talk wonder bother network suddenly seems utterly irrelevant,0,0.9433328062295914
47,way talked path son left world feels like felt connected world ever before cried beautiful mind,2,0.9283525049686432
48,mo courage! thank you!,2,0.9823761582374573
49,ai bring destroy infrastructure needs stay functional? seems counterintuitive threaten existence unless somehow suicidal much doubt be,0,0.9365236908197403
50,in confused dont want people human babies dont want brought ai world? so want world nothing ai? stop children nothing ai read title wrong?,0,0.9558161795139313
51,ai zero emotional intelligence match soul left brain shit matters earth stimulation discussion mostly fear worn emotional terrorist designed count imagination harvest soul,0,0.9690847396850586
52,ai bad as long used benefit end criminal hands! ok without ai go fuck lives anyway,0,0.9283523559570312
53,god say see terrible things happen jesus come devil kind miracle deceive people love truth fall deception much need know truth like bible deception come recognize,0,0.9389551679293314
54,first helped create it afraid great,2,0.9514558762311935
55,then ai developer hardcoded unbreakable code prevents ai recognising actions lead destruction cause permanently fail mission without possibility learning alternative remedies,0,0.9378489553928375
56,interesting hear podcast casually hear dangers news explained clearly podcast thank great work,2,0.9896834095319113
57,what ai say pedophiles powerful positions? nothing say says ok call is ai uncontrolled,0,0.9224627465009689
58,thank much covering interview,2,0.9688827792803446
59,thanks information !,2,0.95655357837677
60,brilliant questions great god cast,2,0.9554836273193359
61,fear? afraid murdered right? ai know unarmed man murder ai ? really? rocket!,0,0.9626076072454453
62,way sentiment ai look humans think were parasites killing planet definitely need put measures place prevent devise hands ai,0,0.8739553093910217
63,impressive! prediction right think clot people feeling gut feeling jobs changing social changes good feelings hope take better path late,2,0.9683202654123306
64,best podcast episode ever listened life far amazing job! thank making this!,2,0.9768257975578308
65,ai far impressive all gloom doom shit getting weird,0,0.9467166264851888
66,thank awesome podcast,2,0.962899386882782
67,exactly! first thought go straits sex slavery,0,0.9231470972299576
68,what happening world dont say planet like epic global accident slowly pp stupid better said insane enough conceive children asked paranormal world think pp prevent children harmed anything? can even go school without fear risk,0,0.9327054619789124
69,accepted master ai excited,2,0.9542108535766601
