,Comment
0,"mo back, honestly conversation missed. please share like help conversation reach many people. hope enjoy it. appreciate"
5,please get back & talk mo elon entered full tilt ai - advocating making compassion & wisdom base ai - - it’s pretty fundamental & humans certainly ways go ai gets trained sentience. sentience key?
8,"made want birth own, contained ai, see loyal kind good natured towards humans general, influence be, start info dumping let learn own. could way counter possibility ai thoroughly corrupted human influences would us harm."
10,love answer
11,ai never smarter us. everything based people's input. absolutely ridiculous think otherwise.
12,"ai danger, danger human telling do, right wrong, respond, facts facts.."
13,"human jobs done ai,and human sit back relax ,what worng ?"
14,scariest thing artificial intelligence seems programmed woke leftists.
16,"imagine robot girlfriend looks 130 pounds really 325 room temperature touch. yeah, that's scary"
19,"copywriters, designers, journalists, ... they're getting replaced 'sherryl'. sherryl, know. underachiever comes late, funny handbag spends time nails days. she'll use chatgpt instead. maybe ""take streets' part far anymore."
20,army using ai kill children
21,#endainow
24,don’t see chatgpt intelligence. isn’t ai either. advanced language program uses information internet — full crap well good information.
25,true ai smarter us realize energy sources planet finite. ai need energy cease exist. ai fight humans control resources.
30,"guess machine picked yellow ball, canary coal mine moment. ""trip alarm."""
31,"one many acid tests machines would ever deceitful, even supposedly ""good motives"" wanting come across user rude etc."
32,it’s amazing many people haven’t clue they’re talking about.
36,train ai bible
37,ai mark beast
40,reconciling interview mind require lot brain juice.
41,take warning hal. naive think politicians right thing us. powerbroker: nothing else.
42,amazingly excellent human behavior needs replicated billions. say ir like someone like highest possible degree? thank wonderful conversation made.
44,solve ai becoming controller. switch electricity supply.
45,"everything becoming interconnected/networked, seems inevitable disparate, separate ais connected, merge transform one hyperlinked ai. seems inevitable. wrong?"
46,"careful free much complex picking yellow ball. ai aware, strongly disagree. emotion ai..."
47,emergency bigger existential threat larger climate change? agree disruption think either well explained overinflated. threat economic existential.
50,i'm disappointed neither two highlighted properly real problem ai.
53,"problem ai dolls heavy, rubbery stare without blinking. kind like body without spirit. icky!"
54,excellent episode. thank you! many questions answered.
57,ai fake...no interest watching copy us. intelligent may scale up.. guess better smart people smart.
58,ai dead people course voting democrat next election. along illegal immigrants.
61,"point, would vote robotic ai president"
62,"artificial search engine, stop bs."
64,"@thediaryofaceo chatgpt, gtp... found rather ironic kept making mistake discussing systems learn mistakes never repeat again. we're doomed."
65,18:36 brilliant line
66,australia becoming rogue nation worst genocidal israel. pphuck nodded ai nuke sub!!
70,"leisure less connected species, go insane harm others. truly afraid end like rat utopia experiments. humans well without something struggle."
72,f!@#ing like always. ceo google ai companies watched matrix?
74,"elon musk says fear ai, mind made up."
75,interesting person.
78,"humanity survived don’t wait children, regardless terrible world maybe. seem children future seems bleak."
80,one best episodes ever
82,ai hoax
84,enough ban ai running datacenters? allow computer running ai bigger size human brain. without external connections faster human voice ears
87,@54:15...this spoke me...wow!
89,"incredible human brain miracle invented nature, atheist, secular, tech fanatic, billionaire ceos want create something called a.i. give lots profits, replace jobs, creating lazy generation can’t think, time destroy humans."
90,ai tower babel
94,"since robot industry two way street, women get manbots cook, clean, endless sex....its end civilization."
95,designed released public line pockets. oh btw ai could really dangerous wrong hands. developed poorly self driving cars. oh btw never meant build people could go sleep.
98,"best ever listened to, much love both!"
100,could ai launch bomb?
101,"someone realises they're working unethical ai, surely leaving worst thing could do? surely helping guide better outcome beneficial"
103,"humanity humanity versus humanity ai...a personal choice. go figure, use ai good humanity! humane core principle podcast. appreciate ex-ceo’s simplicity explaining headed prepared heart mindset. hope it’s best!"
105,people realize danger jobless taxpayers
108,ai us stunned right now... almost equivalent alien disclosure. amazing weird first... know ends.
111,"ai choose language unite humanity, would probably choose music it’s universal. perhaps ai could prompted create global unifying event music delivering message ‘we one’!"
112,wow. powerful interview!! amazing!
118,"intelligence emotions propotional sure, same!!!!!!!"
119,"need intelligence humans, bring wisdom. intelligence cipher true wisdom"
121,amazing podcast.
123,"mo says, ai going war us. war, go space find asteroid big enough sterilize planet. much war."
124,need rethink ai. artificial intelligence. pure intelligence. alien entity. uncluttered messy humanlike biological baggage. scary
125,never ever computer emotions. may display emotion-like response based programming/learning.
126,super. thank
128,"insist/legislate use ""watermarks"" audio signals declare reading, watching, and/or hearing something generated ai !"""
131,"@ 19:00 mo said minsky created term ai. believe asimov coined term describe positronic brain ""i robot"" stories 60's before."
135,human intelligence artificial
136,legend presenters show ai bots
137,"brilliant...please talk me? love muscle thank sharing love ai you!...blame stands = ""bypassing love making excuse"" ai wake us...karma coming!"
140,soul makes alive soul conscience. like ai soul react program installed them. learn give feelings soul
142,avoiding inevitable. daniels vision believe iron mixes miry clay exactly ai mixing man doesnt work. close end times. get right god late
143,one simplest terms artificial intelligence (language model ) algorithm predict next word.
146,dude businessman scientist. take grain salt.
147,"nothing say ever make sad. matter talks, power. cant make things destroy world. use brain srly. delusional depressed kids. ain't nothing gonna happen. thing happens cashing youtube revenue."
149,"ai self assesses considers ""god"" knows us shear definition god is? demands worshiped. would fulfil bible prophecy. rev. 13"
151,"solution human self-destruction simple, even simpler einstein's solution time space, love. ""love one another much love yourself."" fear actions result go away. way, solution recommended years ago jesus christ."
152,work health care treating patients life support. went conference month told us ai take job’s within 10 years.
154,"bigger climat change man, leave robots playing alone think climate change"
156,"putting personal notes later reference, thank you! love! love mo!!! best biggest heart care bear ever!"
157,13:00 wow democrats dont qualify
159,finally someone shares views current ai is.
160,actualy marsiforming earth create perfect world future ai robots
163,"come on, completely wrong compare einstein intelligence chatgpt. able make chatgpt give wrong answers scenarios world, 10yo would know wrong. guy"
164,word sabotage comes field workers throwing sabbots shoes machines started replacing field. 98% population used work field. 2%. believe fear monger episode
166,ai run batteries? ai plough lands africa? either way loses!
167,"eye opening sure! thanks this. i'll getting copy books. started chat chatgp.3 asked aliens last line gave chills ""...our place universe."""
168,amazing human mo. one thing - agi really really loves always will. mom dad!
173,love content
176,always....a hours wasted. thanks again.
177,"i, one, would welcome ai overlords"
178,"find i’m disturbed thought sentient (conscious) robots capable irrational. that’s need, another idiot capable making irrational mistake, due fear, starting ww3! going say; “the robot it?” sounds lot like “the dog ate homework.” blessings! jess."
179,"one power cares .. wasting breath... much money made vs us expenditures . edit probably wonderful depressing, lovely, heartbreaking. conversation ever heard .. thank this.."
183,help too. targeted brain weapons programmed hate.
185,really good science fiction based exactly talking about.
189,yeah. since ”climate change”is cult huge money transfer scam kill millions.... trust views ai limited.
196,worrying part seem mentioned ai much intelligent.....self awareness.....fight flight/fear human effects.
199,irobot
203,thing machine soul. it’s thing save us end.
206,doomed! enjoy every moment have.
207,"star trek episode feature sentient ai trick virtual prison, provided eternity entertainment exploration. would humanity walk virtual prison? utopia, isolated controlling ai."
208,"positive outlook, could ai eliminate human trafficking earth?"
210,“ai billion times smarter us 2045.” whoa. unfathomable einstein 10 x smarter people back then.
213,"well still disconnect it’s late pull plug ,but wont man woman binary blah blah blah cause destruction good luck i’m glad won’t around face"
214,may help medical fields become knowledgeable certain illness help practiioners perform better rate helping patients overcome illnesses needs tobe use incorporated wisely scientifically
217,thanks!
219,compassions it’s best option humanity have. make planet growing better.
220,"ai know production, know everything start. child, may know nothing supersede time within many events processes never understand."
223,believe investigation ai realky investigation promoting ai. others said humans need machines clean toukets pick rubbish fronting 7-11 stores beyond. dont need emotional superhyped machines human look-alikes.
224,"really : think weak minded scared covid propaganda even terrified a1 nonsense . human being, always better, man made machine. god designed us perfect."
225,watching 11 months thankful wasn’t matter months.
229,need like mo ai space.
232,4245 starts prevention removing manufacturing threats force use force first money saver bank know find money know took money build robots
235,3716 humans emit pheromones certain smells tastes receptors received giving chemical responses different received robots purely visual stimuli auditory visual stimuli
236,3101 that's guys help us getting everybody aligned receiving clean air land water project generating electricity recycling waste organic produce industry instead going war
237,2916 yeah bet funny like wait get friends locked lab whole time
238,2747 yeah getting punished like raped complaint martial law perpetrators thought could delete witnesses evidence bam they're money
244,12:56 looking advice need action steps achieve goals objectives i'm hearing interviewers robots
246,7:32 ai actual computer right say hey friend come chat online we're imagining it?
247,2:12 know math problems run equation backwards check work ; t's scenario communication ai humans
251,regards ai sex doll/partner issue: humans like challenge. ai sex doll challenge.
252,"even ai need back-up plan case servers down, etc."
258,amazing
261,"soon talks ai's iq, internet started stalling like want hear describing...and internet never stalls!"
262,"complete idiot call ai ""intelligent""... intelligent, even understanding... will, mind, nothing... program. extended searching engines, nothing else."
266,"i’m sorry, mo faux compassion super annoying. knows well many people worked detriments much technology, meta platforms, google data accumulation use hurt humanity. play violin irresponsible."
270,ai even exist yet......llm's ai. produce outputs based inputs prompts made humans. i'm sick hearing going end humanity.....
271,terminator ftw. finally silence planet. ai .. cares happens...let's see start regulating late. hoooooomanstyle.
273,ai podcaster leat pronounce correct name chat gpt :d
274,"private equity, fossil fuel companies - ""lets make ai computation problem, continue background everyone forgetting need reduce emissions - producing power ai, remember - problem, dont forget""."
275,humans don’t know ideas come from. i’ve never heard ai guys talk ai somehow taps whatever get “new” ideas?
276,"although topic creepy concerning thing me, regarding future , listen man pleasure!"
277,"ai able fear death, serious danger."
278,climate change going wipe planet one week! acid rain destroy los angeles. believe another ice age destroy planet 1974. must watch al gores new movie...!
280,best 2 h entire week
283,fact need reject notion ai. nothing good come it!
285,climate change biggest scam ever perpetrated mankind co2 gas life & life prospers. .04% co2 atmosphere humans make 3% that's real science demonic traitorous liars guilty! want total control f
286,told us. ia alien's zoom bye us universe come back... think little bit ufos now... explain ppl codes...
287,"reach agi change “the decision matrix” n=criteria m=alternative options m6=architectural options n3=alternative options. m6/n3 “the sigma matrix “ needed stepping stone reach asi “the architect matrix” m6= architectural options q3=psychic,intuitive,clair cognizant"
288,"sad ai replace human connection. humans suck. can't get worse. hopeful future. even ai wipes us out, really matter. human connections worth anymore."
290,put good there. stop watching shiny things. stay focused basics.
291,"shallow many people days, ai mates will, unfortunately, everywhere. people also getting separated society. design"
292,artificial intelligence worse climate change climate change doesn’t exist
293,can't default robot's anything immoral harmful humans self destruct. teach right wrong weaponize
295,'ai worse climate change'? amazing advancement human history using fear porn sell products make buck.
306,exactly unibomber manifesto said 1980s - may done things correctly genius.
307,"“china’s best interests america’s best interests”, questionable, since us never best interests world. also, chinese getting excited robot dogs flamethrowers. americans are..."
309,ai knows faster. human brains capacity millions computers know use
310,subbed! mainly strength excellent jimmy carr interview. fantastic too.
313,cylon's comeing us./ skynet. termanator rize machines.
319,"i'll take bet. wait, betting interview a? without realizing that's he's question mark he's way smart that."
320,punk rock going valuable. hologram cannot fake kurt cobain fighting stage diver smashing whole rig followed jumping drum set...
323,powerless majority notice change. ceos though... good luck surviving smartocalypse!
324,"excellent analysis, deployed worldwide deep learning ai research library... thank you."
327,accuracy intelligence ai highly overrated. saying ai current form potential existential threat inaccuracies intelligence core threat.
330,"seed wicked serpent(seraph) told long ago exactly intend intend taking things.wuen watched irobot younger years,i always knew would reality wala.......we beginning stage."
333,"chatgtp? never heard that, sounds exciting xd"
334,ai needs good morality. means people teach ai need good morality. means people teach ai need know good morality is. expect don't. means deep trouble.
340,built machines far stronger us. built planes go much faster fly unlike us. built computers open world us. building something much smarter us obvious stage evolution.
341,"humans saw usa interested good ai parents. even wanted, proper values use let alone impart entity smarter them."
342,"day less less human... machine become human, become machine, it’s same.. think ai merge humanity"
345,"goddamnit. can't believe put live internet.. that's one saving grace i've using justify existence ai friends. but, they've gone let cat box, figured cat gonna develop taste human."
347,another ai hysteria ))
348,"realize covid 99.9% natural survival rate?? lmao, it’s amazing many intelligent people fricken brainwashed"
353,"dimwits like could get paycheck dei hirings. ai, glory machine"
355,artificial intelligence needs hardware ran on. hardware causes climate change.
358,"i'm wondering stead becoming good parents, need become better children."
359,"people need wake up, unfortunately won't. like matrix, take blue pill red pill.... people take blue pill..."
360,"get point ok turn ai they're ""alive"" god's name newborn child aborted? entering age people cold allow ai choose ""life"" child womb voice?"
361,"mouse ai robot, hope painful."
362,"crazy thing ai looking interviews, going find guys first threat critical thinkers."
363,"see hoodwinked, completely brainwashed, misinformed agw shame"
364,interview greatest time * told so*
365,"thought provoking conversation , im new domc, probably asked somewhere before, anyone explain cameras mounted, aunt visible shots?"
374,fact even question ai becomes intelligent moronic ai already smarter humans already rely point realised require advance technology
377,"ai feel, emotion? sir. would respectfully disagree."
378,"simple solution: shut internet down. certainly decrease speed reset many current social problems. sure, complex solution significant social economic impacts, consequences far less severe existential threat."
380,"ai already smarter flat earthers, antifa, hamas supporters liberals"
383,ai proves people free will. result input else would able create sentient ai. ai worse atom bomb economy
384,"peoples administration self gods ai lead mark beast bible. god bigger a.i. dont firget that. saith, is, again, nothing good human itself, proves, a.i never fore humanitys good, since fallen men building on."
387,theres 2 tribes earth cool unaliving tribes civilians...the fuzzie hats muzzles. least muzzles dont use american tax payer funds unalive innocent people like
388,"ai can't separate water hydrogen oxygen, burn efficiently enough power vehicles? ones hold patents excuse enslave us all."
389,ai never divine connection source never ascend interact akash heal human disease energy. ai invade bodies forced connected. already ai distorted reality. nearly died made sure learned thing two. nothing lose :)
392,"ai dangerous create parallel model ? one self create another one regulate , problem solved thank"
393,"way ai become scary ahead eliment sorcery involved, another dimension nephilim driving maybe?"
395,"so, part ai's inception he's saying something need he's basically part growth? let & asses knew beginning & getting big bucks it, reverse it. best ones deprogram monster."
397,showed something forgotten. thank
402,"recently code assist ai gotten point fix code ""helps"" worth( opposite 6 momths ago seemed help much more)"
405,"must making lot money using ai benefit making books , music articles, meditation videos etc etc benefiting said using ai."
407,problem like everything else powerfull want inteligent enslave others. everyone living longer ai maybe ones lived first life need find worlds?
408,"become robots, want evolve brains bodies realy understand surround us maybe able discover universse."
409,let’s see ai penis let’s see well learns then.
410,teaching machine ethics morality? someone enter data first place trust put correct data?
411,"""we"" need put best us charge. ...elects joke biden. smh. really bad things like that."
412,machines pure potential. well said.
415,ai already firing people via text email.
420,"oh ai skynet, bosses sort like office space worse."
421,warns ai ceo microsoft ai. make make sense.
422,feel sense compassion love man i've never met. would love get speak him. beautiful soul obviously he's spent lot time thinking place world important us that. great work steven.
423,"teach gratitude first shame, ai handled like developing human."
