,Comment
0,very interesting bloke. good stuff .
7,and human history of civilization can be thought of aspiring perfectly fair world (utopia)
9,"the main takeaway from this discussion is that just because somebody has glasses and an accent, that doesn't mean they're not an idiot with no idea what they're talking about."
10,"god, i just love seeing two re*ards talking like they actually know things =)"
20,unstopable us is the anchoring of the truth that the international jew is positioning the eternal take over and wanting people to accept life being unfair.
27,it’s naive to say the gaza war is just about having different ideas of god. there’s a 100 year complex geopolitical history there
31,"nice gentleman but naive, we do fight for material crap, and one of the reasons for the genocide in gaza (and overall apartheid in israel) is the natural resources like oil and water. god, is the fairytale man made tool to make soldiers and fools kill each other over those material things."
32,seeing a white man not speaking perfect english is kinda weird.
38,the thumbnail looks like stephen is breathing fire. 
41,fascinating!  thank you!  i want to hear him more.  where can i find him?
43,i concur with the stance that stephen takes on ai.
44,stephen's eyes started watering after yuval's final statement.  perfect ending to a whirlwind conversation atypical of what yuval typically engages in.
47,i can detect something let’s say “not nice” coming from stephen …
51,harari's insights into technology and humanity are always thought-provoking. great interview!
61,colbert is stupid. he should be afraid.
67,wow! fantastic interview. the ending made me tear up.
69,the fact you people praise this lunatic is astonishing.
71,"yuval is one of the greatest human  thinkers walking this planet in 2024.  colbert, he needs to be interviewed for an extended interview like the one stephen did with paul simon’s."
74,"that was very naive of stephen. i'm surprised, hopefully it was just a setup for harari to deliver his point."
75,"if ai is ""just an extension of us"", why would colbert expect it to do any better than humans have done in history?"
77,nice
78,this guy is the villain in every movie. god help us. this guy and people like him want humans to go extinct
82,"colbert:
humans handled history = not great
ai = extensions of humans

also colbert:
ready for ai to tell us what to do"
88,thanks.
91,"he's wrong about ai. it's not creating new ideas. it's mixing up all the things we already value and then we decide if it's a new idea. ai at this point does not have the ability to recognise an idea or some new concept. true agi, when it happens, will be fundamental in stopping humans from using rampaging ai against other humans."
96,the hooked nose demons fear the artificial intelligence takeover
97,"""2084: artificial intelligence and the future of humanity"" by dr. john c. lennox ... https://www.youtube.com/watch?v=bvf_n6cnp8s"
101,"""i'm ready for the big machines that make big decisions programmed by fellas with compassion and vision."". man. i know he's a comedian but that statement gave me the creeps."
102,"this guy thinks that humans are ""hackable animals"". life is not ai. life is about human consciousness. this guy does not believe in soul. he is part of wef and an evil campaign to dull the human intellect even further by an obsession with ai."
103,"love what he says , it makes me hate him."
106,this guy again.
107,"colbert's blindness displayed again. ""compassion and vision"" that is not what will be used."
108,great guest. love yuval. more of these great minds on the show!! we need voices of reason to guide us
123,yuval talking to a mental midget. show does not deserve this incredible intellect. love yuval
124,"i was enjoying this until yuval (inevitably, sadly) started his pr pitch for israel.  israel v. palestinians not about ideas.  israel just wants that land.  harari is brilliant, but when it comes to israel, he can't get out of his nationalistic (racial?) fog."
131,so glad to hear an aetheist message explaining the absurdities of religion. but curious whether some people will be offended by his comment?
136,noah harai is a complete clown.
138,couple of snakes in human clothing...and the brain dead audience claps. reptiles!!!
139,i’ve been in a room with both of these guys - one in antwerp and one in new york. so cool to see them together!
146,ah this wasn’t a good interview. stephen came off defensive and talked too much. i wish he let him speak more…
161,"steven is right ai cannot produce new ideas, synthetic thought is still the domain of humans alone. whether agi will ever exist remains to be seen."
162,i'm so happy colbert isn't a leader. he's not even funny anymore.
164,only people scared of ai are those who used to be called the smartest people and now they are not smart anymore.
165,“im ready for the machines to tell us what to do” what the actual fuck?
166,ai will be the death of us
168,"this guy is fucking evil, people need to read more about what he thinks humanity is and should become. godless transhumanist nonsense. scary that he's being mainstreamed."
172,love mr. harari
182,i love it when zionists talk about humanity until it comes to palestinian rights .. then all of a sudden humanity gets forgotten… hypocrites
183,"amazing. the level of ignorance of colbert. ""they are extensions of us"", ""they are like us"". my god, he has not an ounce of critical thinking. of course he is a famous."
197,great ai setup mr colbert!
204,how did this incredible guy only get a 7 minute segment - he’s amazing 
208,so mainstrrean ho colbert is advocating something he dont understand while all the experts say its dangerous . we are fkced
211,"humans need to be taught how to handle their emotions, how to communicate with others, and how to maintain and build friendships and other relationships. we are social animals, and these skills should be the number one priority of the school system, but they aren't. ai won't change that priority, but ai might help with teaching it."
212,"yuval harari is an israeli who represents the point of view of about half of the israeli people, who hopes for peace with the palestinians, and all of it’s neighbors. he just happens to be the only one who is famous. 
god bless israel!!! "
214,stephen's lackadaisical view of ai reveals a startling lack of understanding and imagination.
216,may be ai will decide that socialism is the best way to go - a new idea
217,not afraid of robots taking over? how about the terminator?
218,watch his lex fridman interview! he is amazing
219,wow no one is talking about the pen that fell on the ground
220,"thesamuelkay 3d
and if stephen really thought about that... he'd also be an atheist. gervais tried too. very hard for people to overcome personal delusions"
221,this guy is not that bright . have fun eating your organic robot chicken.
222,ai had the potential to be the existential threat humanity has faced throughout history and what we will potentially ever face.
227,"yes, it's an extention of us. so, there's always a person behind the machine. he's willing (and he's trying to convince the public ) to do what the machine tells him to do. a machine with a person behind."
229,"yuval noah harari......i may have to remember that name; that explaination he gave at the end about how to solve conflict.....it kinda resonates with me, i actually dig it!"
230,"the top think tank for the globalist cabal who want you to ""own nothing and be happy"" and live on a diet of bugs in a 15 minute open air prison."
235,"the reason to why stephen isn't concerned, is that he is thoroughly catholic. one of the reasons to catholicism historically being so powerful, is their psychological tricks to teach entire populations to have faith instead of a clear view of reality - and therefore ever having a chance of becoming powerful and mature."
237,"sc - bashes human efforts to date, but then turns around and praises ""compassionate robots"" because they are ""extensions of ourselves""."
241,ai? my students have literally stopped thinking for themselves.
