,Comment
2,"im gonna buy robot sell lot properties , called automation. buy bunch performs well."
5,"sorry graphic, every morning slept non-binary friend, porn recommendations become hermaphroditic. days goes back normal count feed changing stay house"
8,"ai replace truck drivers industries support drivers. food, night housing, stores, truck stops, that's nationwide, worldwide! now, going drivers ai replaces them. corporations give damn drivers, long make buck function!!"
14,old days used pid. proportional - difference - integration. difference predictor (i.e. rate change) still works. also stock markets.
15,like translator chinese accent chinese guy show speaking english...
18,traffic lights one first automation jobs
19,"42:43 ""media magic"" magazines weapons war exist inflict maximum destruction. useful lawful self-defense"
55,billionaires bill gates warren buffett vowed would give 90 99% wealth away. time it. now? interview let's hear say.
57,well love ai brother lliama3
58,"@ 1:03:28 concise ""bumper sticker"" explanation i've heard highlighting challenges ai. ""the substitution capital labor."" nice summation."
60,"think ai boon society large, wrong."
61,like people blindly tell benefits ai brings bad things. end nee tech undoing species weather us other.
62,"people full misinformation ai ai maybe work 50 years maybe 500 years maybe never will. government doesn’t need information, unless live china one party power?"
63,"yes, cut 2000 jobs. that's problem. people skills useful!"
64,"told wife worried computers becoming sentient spying us.... wife laughed, laughed, siri laughed, alexa"
66,people already afraid ai. don’t scare more. ai generate job save humanity.
69,here’s crazy part. they’re replacing humans make products one afford lost jobs. awful idea
71,"call evolve? needs people, might well sudden robots slaves!!! compare us trying avoid nightmarish reality."
72,said “a bamboo curtain…”? racist undertone
75,i'm frightened smartphone
77,"looks like episode black mirror, interaction scored, higher score, privileges receive."
78,oh lord. can't buy new house phone battery stays 40%. welcome future!
83,"kill ai now,or life know it,will gone"
84,j'apprécie énormément ai
85,missed chess human vs. computer match quite years earlier signaled coming prominence computer intelligence.
87,we're screwed. people use strictly good. bad guys always ahead good.
88,love china. every country learn lesson.
89,"driverless truck would think would safety devices place like blow outs, accidents, leakages. hijacking bandit horse comes running along side & jumps cab"
90,3o years human travel back time stop ai ever starting.... evil us chinese governments enslave murder citizens try conquer world.
91,government banned ai? people voted become government. ai can’t vote. people eliminate ai
125,fidel castro right say. book humanity given money card visa card monthly allowance people survive daily life.
127,bad china full bs fakes everything makes poor knock offs order make buck.
128,"maybe world getting little closer communism robots jobs people work want to. so, corporations need pay taxes spread profits around..."
130,let’s get rid terrible industry truck driving. horrible quality life involved
131,imagine video came 4+ years ago ! rofl dont say aware warned.
133,china right thing ai tracking ...look us fking mess
135,"capitalist economy fine us long america remains global standard commerce, manifest destiny western colonist. a.i. may become liberator “putins black jesus” (truth algorithm)."
136,"makes cry video. talking about? parents two jobs always baltics starting 90's, business slow? - go seek another carrier another job, average every 5 years. saw childhood. people good adapting. well, unless lazy a.."
137,iiiiiii. want. mony. maid. from. infermation gov. corporate emedyetly stolen information
138,ai and.ia fall shot. of. spontaneity emotion u take good look ur future perception. realize mike labonte
139,erase human private personal data period
140,what. recorce to. invest someone tell. me. pleazzzzzz. ai
