,Comment
0,interesting bloke. good stuff .
7,human history civilization thought aspiring perfectly fair world (utopia)
9,"main takeaway discussion somebody glasses accent, mean they're idiot idea they're talking about."
10,"god, love seeing two re*ards talking like actually know things =)"
20,unstopable us anchoring truth international jew positioning eternal take wanting people accept life unfair.
27,it’s naive say gaza war different ideas god. there’s 100 year complex geopolitical history
31,"nice gentleman naive, fight material crap, one reasons genocide gaza (and overall apartheid israel) natural resources like oil water. god, fairytale man made tool make soldiers fools kill material things."
32,seeing white man speaking perfect english kinda weird.
38,thumbnail looks like stephen breathing fire.
41,fascinating! thank you! want hear more. find him?
43,concur stance stephen takes ai.
44,stephen's eyes started watering yuval's final statement. perfect ending whirlwind conversation atypical yuval typically engages in.
47,detect something let’s say “not nice” coming stephen …
51,harari's insights technology humanity always thought-provoking. great interview!
61,colbert stupid. afraid.
67,wow! fantastic interview. ending made tear up.
69,fact people praise lunatic astonishing.
71,"yuval one greatest human thinkers walking planet 2024. colbert, needs interviewed extended interview like one stephen paul simon’s."
74,"naive stephen. i'm surprised, hopefully setup harari deliver point."
75,"ai ""just extension us"", would colbert expect better humans done history?"
77,nice
78,guy villain every movie. god help us. guy people like want humans go extinct
82,colbert: humans handled history = great ai = extensions humans also colbert: ready ai tell us
88,thanks.
91,"he's wrong ai. creating new ideas. mixing things already value decide new idea. ai point ability recognise idea new concept. true agi, happens, fundamental stopping humans using rampaging ai humans."
96,hooked nose demons fear artificial intelligence takeover
97,"""2084: artificial intelligence future humanity"" dr. john c. lennox ... https://www.youtube.com/watch?v=bvf_n6cnp8s"
101,"""i'm ready big machines make big decisions programmed fellas compassion vision."". man. know he's comedian statement gave creeps."
102,"guy thinks humans ""hackable animals"". life ai. life human consciousness. guy believe soul. part wef evil campaign dull human intellect even obsession ai."
103,"love says , makes hate him."
106,guy again.
107,"colbert's blindness displayed again. ""compassion vision"" used."
108,great guest. love yuval. great minds show!! need voices reason guide us
123,yuval talking mental midget. show deserve incredible intellect. love yuval
124,"enjoying yuval (inevitably, sadly) started pr pitch israel. israel v. palestinians ideas. israel wants land. harari brilliant, comes israel, can't get nationalistic (racial?) fog."
131,glad hear aetheist message explaining absurdities religion. curious whether people offended comment?
136,noah harai complete clown.
138,couple snakes human clothing...and brain dead audience claps. reptiles!!!
139,i’ve room guys - one antwerp one new york. cool see together!
146,ah wasn’t good interview. stephen came defensive talked much. wish let speak more…
161,"steven right ai cannot produce new ideas, synthetic thought still domain humans alone. whether agi ever exist remains seen."
162,i'm happy colbert leader. he's even funny anymore.
164,people scared ai used called smartest people smart anymore.
165,“im ready machines tell us do” actual fuck?
166,ai death us
168,"guy fucking evil, people need read thinks humanity become. godless transhumanist nonsense. scary he's mainstreamed."
172,love mr. harari
182,love zionists talk humanity comes palestinian rights .. sudden humanity gets forgotten… hypocrites
183,"amazing. level ignorance colbert. ""they extensions us"", ""they like us"". god, ounce critical thinking. course famous."
197,great ai setup mr colbert!
204,incredible guy get 7 minute segment - he’s amazing
208,mainstrrean ho colbert advocating something dont understand experts say dangerous . fkced
