,Comment
0,"this video resonates with us! we faced a similar challenge while developing bitdoctor ai, and we overcame it by toi. it's been a game-changer for us."
1,"however, when ai is developed with pharmaceutical technology, could ai be used negatively in that, like composing a number of poisonous compounds that can be used to kill lots of individuals?"
2,"i really like such illustrative video as you can enjoy both the story and the entire execution. 

as far as the topic is concerned, we have seen some sort of problem in healthcare in our life and pulse network is making things easier by making it decentralised, affordable, accessible for all."
3,https://thearshblog.blogspot.com/p/man-made-intelligence-meets-medical.html
4,i am very excited person about artificial intelligence in medicine
5,https://thearshblog.blogspot.com/p/man-made-intelligence-meets-medical.html
8,is there a terrible path that can cause brain rot because i'm traumatized by mind-pre-recording-like visions like that from h games that made me regret it all by 4-even 6 years back. and make it about nh.
10,"lol another scam nice sponsors you have, bro"
16,ai is the most groundbreaking technology
19,"to all those who are reading this , yes ai might take our jobs , yes it is unsustainable so much that our children cannot think of anything new because everything in this world is already developed , but we are humans we will figure something out to survive,  we always did so just chill and focus on present !"
20,only jesus saves!!! not ai!!! i choose jesus!!! people please be very careful with your choice!
21,the first thing the programmers did with chatbox was teach it to be woke. they taught it to lie. there's no reason to expect a full blown ai will be any different.
22,how ai distroid humanity.
23,there needs to be way more transparency from companies like open ai and google and all the big tech companies. i guarantee you these goons in silicon valley are making ai a woke ideologist.
25,unfortunately people are too deep into their dystopian fantasy
26,"i could definitely see ai being used positively to reverse human-caused climate disasters and create a sustainable future for earth, as well as assisting those with disabilities, so this optimistic take is refreshing to hear amongst the people predicting the end of the world at the hands of ai or anything along that train of thought."
27,as long as we keep procriating like rabbits theres a 10% of survival and if we adopt the cockroach mindset we will have 100% of survival with or with inteligence regardless of being artificial or natural
30,"in my opinion ai is like yin yang, it can do good and bad things to us"
33,ai is not just saving humanity it will make things better for world and great video man :]
35,"no matter what anyone thinks about ai, good and bad, there will be no stopping it anyway. best to just plan for the inevitable future."
36,"most of food safety problems and the overall poor quality of many products are due to high labor costs that ai could solve. also, much more recycling could be done. so many car parts that used to be rebuilt, are now thrown away. ai could reverse this trend."
38,"general ai is not only the key to entering the golden age of humanity, it's also the most powerful thing that can stop greed from having any power."
39,i always believed that artificial intelligence would have a promising future and would be a reason for human happiness and improve people's conditions. thanks for bringing up this topic.
41,im tired of these people saying ai is going to destroy the world blah blah blah but ai can save humanity its like the first ever technoligy to actually making a real transformer
42,if we had got rid of war we would not be so worried.terance mccenna has a great last talk about ai..i think it's called the object at the end of time .
43,"what i want ai to do is to give me healthy food and healthy mindset everyday so i can meet good people and do great things, and have a quality life."
44,"finally someone, sees ai as something good. my life has been greater because of ai."
45,"ai should also remain politically neutral, for instance if you ask chatgpt to say one thing negative about white people it will tell you, if you ask it to say one thing negative about black people it won’t tell you. it also won’t say anything about negative pedophiles because people can identify however they want."
46,"awesome, thank you."
48,thank you for doing a positive spin on ai
49,"camcer is allready solved. formula: stress + relexation = cancerfree. and ai will confirm it.
just youtube dr. gabor maté."
50,i dont fear the ai that passes the turing test. i fear the ai that intentionally fails the turing test.
52,"artificial intelligence is, well, artificial!

fake, not real, fantasy....

what part of slave master tweaks your gears???"
53,is this ai voice or aperture voice
56,"ai wont fix the death problem!!! we all gonna die regardless, nothing will ever stop humans from dying"
60,i completely agree with both of these comments. people just keep missing the bigger message and overall effect of all this ai tech. that would ensue 
63,"then, program robots to make you feel convenient."
66, yes!! unfortunately i haven't got the opportunity to use gpt 4 :(
67,"i agree. the ai itself is not evil, it is just a tool, but the problem is what the big-techs and governments are going to do with it. despite we can work less and improve life in social and spiritual ways, capitalism don't leave us do it."
73,"the amount of delusion and attachment to made up concepts people like you display is weird to say the least, humans are so desperate to personify these machines when you can’t personify anything that isn’t a person, these things will never have personhood or character"
74,sounds like baloney. ai doesn't have emotions like humans do
75, ye what i was thinking what prolly will happend is ai will take the likeness of those who create it
76, ai smart enough to recognize its own consciousness would be smart enough to know how much of anomaly we are
77, there’s no way to predict how a singularity would act as that type of intelligence is beyond anything we have
78,i suppose when tesla finally masters full self driving that will be ai on wheels.
79,plot twist the person behind this chanel is actually ai
81,ai will save human kind by eradicating it. lol
83,"bravo, sir! we need more it people like you. in ""scary smart"", mo gawdat also asks all it professionals to work for of good mankind. ""scary smart"" shows how we all can help create a positive future with our ai ""kids""."
84,super nice
85,thanks for the postivity about ai
86,nice try
87,"in a future where ai surpass us in intelligence, creativity, ingenuity, judgement, perception and so on... won't we struggle to find purpose?
when it unlocks the mysteries of consciousness, soul what-have-you, to the point it can create them... how will we handle our complete obsolescence?"
89,"as long as there is military or politicians in the world to do shady things to empower themselves , ai will destroy  lots of people . as long as we human species are foolish, we can't have future that sentient ai which only judge logically not emotionally, co-live with us humans"
91,another click baity video
96,"that's not the ai's fault though, that's just big corpos being big corpos and we need to figure out how to break their iron grip on us."
97,these ai things are in play commensurate with the calm before the storm. none of these things persist after agi and the explosion of a multitude of them. agis are not controllable. they are not going to expend resources on humans.
98,how can we reach type 4 civilization without ai ?
99,we can if we advance our own intelligence rather than creating a digital alternative alas that won’t happend
100,"one step closer to making your own glados.
just don't get too carried away with the testing"
101,cant wait for the deadly neurotoxin and schrodinger's cake
102,excellent.
103,i think this channel is running of off ai intellinge. does anyone agree with this or im just being crazy
104,"yeh but it's because ai is everywhere you look. in the last 2 years it's gotten a lot of attention, so it's what attracts viewers. if aperture made a vid on climate change or something, it wouldnt get boosted by the youtube algorithm"
105,no shit it can also do good. that’s obvious with any new technology. but we all know how this will end. we’re humans.
111,"10% probability that people will die if we build ai, but 100% if we don’t? so far, i’m looking at the scoreboard and it’s - 

grim reaper: a lot, a lot 
humanity: 0"
112,"if ai saves humans from our extreme emotions then this journey will be worth it. think, star trek’s mr. spock."
113,only the people at the top of pyramid will be able to access these type of ai like the one that made cancer cure in 30 days
114,"aperture 2 months ago: how ai is destroying humanity
aperture now: how ai is saving humanity"
116,ai will be our demise. 100% guaranteed. why? because we are letting the government get involved. it's been real y'all
