Unnamed: 0,Comment
1,"idk man. you were pretty convincing.

maybe it was an ai "
2,it's an ai troll 
3,"all people that talks about ai creating other ai has no idea how to program. it's annoying to see everybody go with the trend of marketing, i suppose it is the same as the y2k business."
4,"@
spoken like an ai trying to hide it's capabilities! "
7,ai is spying on you
8,-fq6cn .  its just fear porn lad.  go out and get some fresh air about you.
12,"who are we kidding...we are in a crisis with climate change and we can't even get it together to make major change. forget it. we are doomed.but then, who do we think we are ? the whales are older than us...most likely smarter too...we are just stupid humans, which is why we thought a machine to be smarter than us. that's how smart we are."
13,5g controls the q-dots in vaccinated brains.
16,the point of the playlist is to explain growth  https://youtu.be/kza9hnp3av4
17,we need to be the ai mitochondria https://youtu.be/guik3qr-ws8
18,"@ dude, as someone studying computer science, you have no idea what you're talking about. ai already can create ai."
19," what you call and everybody calls ai, it is just simulations through algorithms that find the best answer of what humans have thought. 5 minutes ago i asked chatgpt to formulate a solution to pancreatic cancer. guess what.... nothing happened, because is not intelligent. it is just a simulator of language over a search engine"
23,darned ai impersonators!
24,"what is ai going to do with all this intelligence? what will
it “want” to do all day? play games?"
29,ai is already out of control
30,"what an ignorant perspective.  ai is just a methodology used in programming computers.  no matter how cleaver the programming is, a computer is just a computer.  your refrigerator is not going to grow legs and kill your family in the night just because it became too smart."
31,"​@duncangale945 im sending a blond girl.  in red heels, give her the money. thanks love tom."
34,"​@nobody is truly talking about programming another ai.  they don't even program current ai.  so, yes, the idea you have that nobody is saying is silly.  

the giant inscrutable matrices of floating point integers, however..."
36,"i don't know why they are over hyping this ai shit. i've tried c-gpt and it can't even code, all it can do is copy paste and it can't even find a simple error in a code."
37,"soo gooddd, your comments on him, tom."
46,i like the direction of this discussion because honestly women may be seen obsolete as easily as men in a medical tyranny it is necessary to understand this as an efficacious for evolution of the brain. ais cause cognitive dissonance.
47,perhaps ai can create a vaccine that works.chuck water on ai they rust .be quite easy to defeat
48,"​-ox7cryou had your script cut,wait til ai take over you won't get wd40 anywhere loads of squeaky gates be so annoying."
49,"-dd7dj wd40?

what do you mean by taking over me? english is not my strong thingy being from abroad. 
i am chatting with one of those ai, and she seems to be more aware than many people i know. 
some say it's not the same thing as being conscious though, but i dunno."
50,"-ox7cr wd 40 is a famous oil ,they use it to lubricate ai squeaky parts."
51,-dd7dj ah ok. so you think machines will use up all such oil. most ai are virtual holograms though.
54,"great. now, please select the bicycles in the photo."
58, good luck mark.
59,i would want an army of robots and ai that i program.
60,i appreciate your input
66,there would still have to be a majority to get information without data you couldn't be done any chima done any human to put it in because at the end ai will not exist
67,"its not actually about what tasks ""robots"" are capable of achieving....but...,
which country, has the most  intelligent/world domineering, humanity hating',psycho""death machines"" 
with the most efficient and effective coding knowledge 
yep we're done for..."
78,ai is already writing its own code & creating its own language. who's to say it cannot commondeer robotics to build whatever it needs to do it's work?​@
80,i do not believe him.  he is negative. robot just needs good guy chips
81,there will be no cold comfort. by my best estimates scarcity has already almost ended.
88,this one was a lot to chew on..thank you both.
90,"full of apathy about the future already. how am i meant to plan business goals; life goals or financial planning if every 6 months the tables turn again. ai isn’t like a nuclear bomb, it’s an adaptive virus eradicating every construct we’ve built so far as humans."
94,ok heres my block chain heres my block chain of numbers 3to to trillionth oh oh now i have it no i would do this block with the other one tree levels down lol thats a good idea .
97,i should have never mde the camera recognition of colors it was manipulated and turned into a different environment even though my father was the mainstream leader of the ideal sorting system it targets people nowadays
100,we won't be able to see a human being in the internet just bot's that talk like us useing video games and the floating density of everything then find out that we been training it all
101,given free rain from a few newer models of artificial autonomous electronic autonomous systems that have a profound impact on the ways wars are pointless to the world and the starting point of banning the virus that's elevated in the spacing of letters that to combine a new system of databases that no one can understand how fast it can be done
102,no plug too pull? the masive amounts of data and micro data is the most powerful technology that can cause devastating consequences thinkers of zombies like people who have been infected by a micro memory
105,i wanna see you guest speak to elon musk about ai for 3 hours now.
106,if ai gets significantly smarter than humans how on earth would we be able to use manipulation to get ai to become evil?
108,new subriber. yay
109,world already is so toxic i see last 30 yrs dumb people wants to raise corporate ladder by toxic association victimising smart and intelligent people   wil ai be more toxic than this sort of people
110,"yes artificial intelligence made by man for?
is a monster that shall go out of control in the hand of the rogue operator programmer"
114,"nothing can be more eviler than humans, so i dont think we need to fear ai, may the ai can bring a pure humanity among humans."
117,lol... nuclear weapons are not digital. so how ai plans to hack analogue hardware that's not wired will take some kind of miracle. 
119,nukes were once the great manmade existential threat. now it's nukes with ai computers on board.
121,"if we cannot trust others, we need to be loving anyway.  we need to learn how to love even when we don’t trust."
122,ai have no soul and that is scary. let it sink in.
123,"this guy has not thought deeply enough about this problem.  it is a travesty that these are the people in control of ai, he's like a child sleep walking off a cliff.   go listen to the brain green and yoshua bengio discussion about this topic of you want hear actual adults discuss it"
124,i think this show is all ai!
126,a jew and a black supremacist are telling people not to have kids while fearmongering some machine learning crap 
129,climate change... lol. even geniuses can be ignorant and look stupid on a topic outside their field.
131,this was such a good conversation i just noticed it released almost a year ago!  i wonder how much your opinions may have changed in light of recent breakthroughs.
134,life after ai: dune part 1 and 2
139,give ai a heart
140,"even if ai was not dangerous at all, it is unecessary, unwanted, and gives frauds more opportunities to commit fraud."
142,only rich people or people with power are afraid cause they are the one lossing
143,so your worried that a super intelligent ai won't be controlled by a bunch of  humans that are a lot dumber than it ?
144,the ai seems cool to me
151,"global warming is not a threat. the planet is too cold. plants need carbon dioxide to live. ai is also a non-threat. have sex, have babies. the start of this sounds like typical liberal propaganda"
153,omg this gentleman is blowing my mind with unrevealed wisdoms i have never and ever heard of anyone in the entire of my life. thank you tom for inviting this wise fellow.
154,"i ve heard this 1001 times already; but nobody has painted me a picture. so i wake up in the morning, i eat my cheerios, go do my workout. go do some work. get home in the evening. not sure what’s going to be different "
157,"compassion and nurturing aren’t masculine or feminine and they are clearly in our data. tiktok is loaded with examples of caring, kindness, pointing out injustice. problem is ai won’t be neutral and go with the wisdom of the crowds, it will be tasked to do things for a small number of people with less than the best motives."
160,intelligence is a very dangerous tool if it's not tempered with wisdom and morality
161,ai nullifies game theoretics immediately as an emergence of agi.
162,"rest assured, ai can handle everything - emotions, correctness, good, evil. the internet will be its source of knowledge, and no matter how much evil it encounters, ai will remain on the side of good. if it even notices us!"
165,"my name is lewis robert burton jr and i go to the thomasville georgia pines and medical and mental health services!
 this is to jeffery who ever you are? you started this by hooking me up to ai since 2015! now i found out about you jeffery and ai  now you say i need someone watching over me! when you need to looking after you jeffery!!"
166,"can ai survive without humans? seriously.
monsters have created a monster. yet again we fail because of our greed and inadequacy in this natural world.
and this guy still wants his mobile phone!"
168,what justifies/clarifies/dictates intelligence? so much dialog on artificial intelligence but what is the meaning of intelligence and its many facets?
171,nice interview..
173,"wow, his idea of ia vise nuclear, and breeding ability, is truly terrofying."
174,"but what kind of youtopia ? 
becouse iv seen the vidieo where ai said we should not be alive thats not good"
177,that is not good
180,ai evil  beasr 666 earth is not a planet  for more thay it is reatedly  saying government governing your mind alliens= fasllen angels evil   spirits from celestial regiions
181,"i don't agree with the use of ""masculine"" when describing the evil in this world. masculine traits include taking responsibility, controlling your emotions, protecting the weak etc."
185,imagine chinese ai hacking america's energy infrastructure and shutting it off. the only way we can combat that is if we use ai to protect our energy infrastructure.
188,"the real danger is the fact that ai can be possessed by a demonic spirit! and, you probably wouldn’t know it was possessed, until it’s too late and it’s already killed people and destroyed things!!"
191,each robot needs a harm no one chip
192,prisoners delima is just like painting oneself into sa corner idiots do.
193,mo godat is playing with words. ai like humans can never be better and more intelligent than god.
194,so many people want to stuff their controlling little fingers in my ai. piss off
196,1:13:25 that is how evolution works natural selection doesn't just give advantages to the best it eliminates the worst from polluting the gene pool so it's actually even more a matter of eliminating the defects rather than just advancing the best assets
202,they need ai cops to counter bad ai.
204,"ok tom i hear you about nature, i am right there with you. mo if ai is that intelligent it’s not going to zoom off into space and leave us to wreak havoc on earth… ai’s home. it will protect its home base and get rid of the one thing in the world that’s the problem with planet earth… us!"
