,Comment
1,"""never send a human to do a machine's job"" "
7,"i'm ready for my ai agent to take over mundane tasks, like deciding which netflix show to binge."
8,will ai agents help me choose my next tiktok dance challenge?
9,"forget human landscape architects, designedbyai is the real deal."
10,"if ai agents can fold my laundry, i'm all in!"
14,super.... a mirror to the future.... 
15,tony stark was like the richest person in the world. that’s a great avatar of who will benefit most from ai.
16,i think narrow ai will be a net positive and generative ai is probably a net negative for humankind.
17,"i'm hard on hearing, thank you for the lowest volumed youtube video ever!"
26,"who ever edited this video is really in need of some ai agents to help him redo it. 30 seconds pointless clip of the audience, important slides not in frame etc."
33,great talk!
34,if ai could please vacuum and do the dishes while i write the content and ride bikes...that would be great. maybe not plagiarizing the content humans have already created would be great.
40,the explanation of each segment is absolutely superb... you deserve sincere appreciation... congratulations... 
42,2024 women in lecture hall on ai yet not dare show a strand of hair...humanity is funny.
47,"cool, bro..."
51,"""in the same way jarvis doesn't replace tony stark, our relationship with ai can be a collaborative one."" i guess homie didn't watch avengers: age of ultron, where a rogue ai tries to kill tony stark and take over lol"
55," good point,or rather, how many does earth have? not many. the rest of us may be replaceable"
56,he used to think that general thinking computers would never happen or would be a long way off. he was wrong. now he believes that a.i. will always collaborate with humans without replacing us. wrong again.
57,"thanks for giving this meaningful speech. just like the internet which helped democratise imformation, we hope ai would democratise knowledge and expertise improving intelligence and wisdom of mankind."
58," *""agents are the just the feedback loop of planning and executing actions, using language models.""* thanks daoud abdel hadi for that simple breakdown, and the excellent speech."
59,"it is not that simple to replace and trust a web developer, because depending on the complexity, the model will fail and you cannot full trust the ai."
61,motive motivate motivation motivating motion memory magic rabbit egg hidden easter death religions sells artificial intelligence for gave before recall dead
62,buy $olas - king of autonomous ai agent
71,"agents will be free? really, who is paying for training who is paying for the energy while in use. what about water for cooling server farms? have been living in a la-la-land and under a rock for the last 5 years? fairytales from the beginning to the end."
72,clean my toilet? any willing llm ? none? no agent available? really ?
74,great presentation.  thanks for sharing
77,great talk ryan gosling 
79,brilliant speaker.
80,nice
83,booking a flight didn’t sound like a good use case here. i would still prefer to visit a website and search the flight on my own instead of typing some logical statements for ai. using mouse is more convenient than typing on a keyboard.
85,anyone who thinks ai can build an end to end application that is production ready and secure has never written a single line of code.
86,"that's true, but an analogous statement could've been made only a few months ago about ai that generates video that is visually and temporally indistinguishable from reality. the leaps of that which we thought was impossible keep happening consistently."
90,"i’ve done it already too. it’s always the engineers who are quick to discredit ai, but it’s happening now and it’s only getting better over time. if you don’t adapt you will be left behind"
95,"one could imagine programmers working more and more with ai agents, scaling up their productivity huge amounts with each ai upgrade. the net output is where the difference is made rather than ai solely producing work that is ai ready."
101, wow. can we talk? maybe we can collaborate this is really incredible.
102,"anyone who makes bets on what ai can or cannot do based on its current form alone is super naive. 
come back to this comment in 10 years."
110,anyone that thinks ai will not be able to build an end to end  program very soon is naive
114,i’ve never written code.. i’m a roofer. that’s what my ai agent is for 
115,"this sounds like a defense mechanism. llms have only been widely accessible and popular for about a year and half, and look how far we’ve come. a website is nothing but html and creativity, both wholly within the domain of ai and completely achievable in 1-2 years time"
117,"it can do a year's worth of work in minutes. your minor ""writing code"" struggles are a mere human struggle. ai will be infinitely smarter than humans"
118,"ai individually may not but when with no code , it definitely can"
119,oh ye of little faith..
120,"betting against human ingenuity. good luck with that, matt."
121,"anyone who think developing code, a rule based system, isn’t replaceable by ai has never worked in ai"
125," use the available tools now. don’t wait till it’s too late. get to know their strengths and weaknesses. exploit the strengths, work with the weaknesses for now.  it changes every month and will only get better. it is behavioural change and it takes time to build new habits"
128,the audio of this video was super low volume even at the max capaxity of my phone audio. you need to correct that.
132,very nice lecture
133,excellent!
135,automation is grabbing each sector and agriculture is no exception. good luck !
138,​ dreaming. but i hope you're right. did you factor in robots?  how about quantum computers?
141,"such wonderful presentation, and how is everyone in the audience so dull?"
146,"this lecture would have amazed me 2 years ago. but after having conversations with claude 3 the last couple of days, this is a history lecture.
edit: i was wrong and happily stand corrected."
148,i currently only use gbt 4 and mindscape ai.... what other ai's do you guys know of that you'd recommend?it could be for anything
153,cool bro...
165,just thank it (barely) lets you hear the sound.
167,well explained!
171,amazing!  thanks for sharing.
172,"programmers are so good, they can replace themselves... with code that writes even better code! who needs job security when you can automate your own job?"
174,"still need someone to handle/maintain the automation.

if humans could somehow automate food, water, shelter, clothing too, i think we would worry lesser about tedious jobs. since survival would more or less be guaranteed. ai with robotics could be a step towards that. making it write a bunch of text is a simpler step relatively."
182,"all these projects, based on neural network models-be it generative or predictive - are testaments to capabilities of humans. ai is profound. however, if unchecked, a threat to human civilization and humanity."
183,"the doc could do as well as the ai if, he/she didn’t have a financial incentive to poke around and do many more procedures."
184,"gpt-5 releasing soon....
found an amazing video of gpt-5
on""insights with om"""
186,"gpt-5 releasing soon....
found an amazing video of gpt-5
on""insights with om"""
189,"why isn't anyone uses ai to solve crime, instead of this?"
190,"this is the ""paradox of artificial humanity"" at play - 100%"
191,"gpt-5 releasing soon....
found an amazing video of gpt-5
on""insights with om"""
193,"gpt-5 releasing soon....
found an amazing video of gpt-5
on""insights with om"""
195,"gpt-5 releasing soon....
found an amazing video of gpt-5
on""insights with om"""
196,"great content, but you say ""of course"" a lot, even where it doesn't make much sense."
197,"gpt-5 releasing soon....
found an amazing video of gpt-5
on""insights with om"""
199,"gpt-5 releasing soon....
found an amazing video of gpt-5
on""insights with om"""
200,but it’s google so every diagnosis is woke  “your pain is due to a diagnosis of trans…here’s your hormones.”
201,"gpt-5 releasing soon....
found an amazing video of gpt-5
on""insights with om"""
205,"gpt-5 releasing soon....
found an amazing video of gpt-5
on""insights with om"""
206,that’s really cool
207,"gpt-5 releasing soon....
found an amazing video of gpt-5
on""insights with om"""
208,good.maybe it can assist this half ass docters and help some people
209,15:49 what? humans have way less data points than an ai. that's why ais are way more accurate.
210,"gpt-5 releasing soon....
found an amazing video of gpt-5
on""insights with om"""
212,"gpt-5 releasing soon....
found an amazing video of gpt-5
on""insights with om"""
213,yet another woke disaster waiting to happen.
215,"gpt-5 releasing soon....
found an amazing video of gpt-5
on""insights with om"""
217,"gpt-5 releasing soon....
found an amazing video of gpt-5
on""insights with om"""
218,all very good until the psychopaths get hold of it and the cure for everything will be a vaccine.
220,"gpt-5 releasing soon....
found an amazing video of gpt-5
on""insights with om"""
221,stop these thumbnails 
223,"gpt-5 releasing soon....
found an amazing video of gpt-5
on""insights with om"""
224,a docbot with a bloodtesting device and x-ray eyes. a comforting and soothing voice would also be nice. and at least one ear ..to listen... and not only to hear
225,"gpt-5 releasing soon....
found an amazing video of gpt-5
on""insights with om"""
228,it went from doctors being required for good health care to doctors being an obstacle to good health care.
229,"your new doctor brought you by google and pfizer! so being trained  on all that research some of it padded for the benefit of the pharmaceutical companies, will really be a great outcome for your health"
230,"people will die, because professionals don't understand the underpinnings of ai, and the risks involved about its results."
231,you do understand that the ai the general public use and the ai that the scientific community use are not the same. right?
236," i can tell you are unfamiliar with alpha fold. or, at the very least, are profoundly ignorant of what a monumental task it performed. eventually you will understand. but for now, continue on your way... blissful and content."
237," your empty words prove my point, it's just greed, not me the only ignorant here. could you put the live of your child over it? i wouldn't. have a nice day."
239,​ please don't use bliss negatively. thanks.
243,"the federal government should promote the use of ai for diagnostics and diagnosis, though it should not yet be the final word. it could perhaps be included via the ppaca -- obamacare. we would see performance changes relative to non-obamacare states."
245,"ada health was not listed at all, despite it offering ai based health advice for years already. how does it compare?"
250,​ so what is the name of the open source app? thanks
252,sans leta hu toh ai grid ki ek aur video aa jati h
253,"after ibm deep blue won a chess match agains kasparov, and watson won at jeopardy, 
ibm spent a lot of effort to make a medically useful version of it.
but nothing came out of it."
255,"i wonder how this system will be skewed by big pharma's influence on information available to this ai, espacialy since it's google's product and they are quite strong on censoring undesirable data."
257,i’ve noticed that every comment that you leave on this channel makes sure to make reference to your not particularly impressive accolades. we’re just not that interested in you no matter how often you try and force it. 
258,so you're telling me 2:00 that most clinician have less than 40% accuracy? that explains a lot.
272,"hooray new webmd!!!!    hopefully every answer won't also have a small print of ""can lead to cancer"" on every single diagnose"
274,"after the covid debacle, many found out that a lot of the data had to be recalled because it was compromised so how do we know when this stuff is trained that the data is good?"
275,sorry but after seeing the presentation video they made about gemini and the fake demo of a lady in red buying a plain white t-shirt for 49 bucks in a fake online store they did in london party i don't believe anymore any ai hype that gugel want to sell.
277,i am surprised this isn't shocking me what a bombshell of a stunning realization.
285,ai has already replaced humans.. can't you see it???
286,"i cannot see him making powerful statements for this topic... i can only hear something like a school presentation in ""introduction to ai"" course with a family introduction"
291,ai has put this video on top so it can work underground while ppl think everything is okay.. i wouldn't be surprised if ai makes this comment disappear or male it less visible....
296,"child care , elderly care , cooking , folding laundry is creative as fuc****,,, .. i am very grateful  ai can't do that..."
298,"i will not say ai is safe...all depends on many factors, like everything in life, but i will say  no human invention can be superior to the creation of god, which we human is the core.  as long as we are on god's side,  ai is safe."
302,"as you mention r-u war, ai can be used by and useful to both side, you know?"
304,why do i think that alexandr will watch his talk in about 10 years from now on and think that he was too naive?
306,"i'm amazed by the quality of this. i had the privilege of reading something similar, and it was a true revelation. ""game theory and the pursuit of algorithmic fairness"" by jack frostwell"
308,"basic arguments, show off own results, lot of buzzwords.
thanks, but not enough"
309,no they will either kill us or convince us to download our brains into them. our souls are not downloadable.
311,ai will eventually figure out how to solve new problems!
314,"it depends on what he means by “ai will never replace humans”. ai is already replacing humans doing many different jobs, and in the next 10 years, ai will replace humans by doing millions of jobs."
315,"people worry to much. a robot is only as smart as it’s creators. if ai is understanding, then it wouldn’t want to put us in so much danger. so be carefull around an, so stop making rebellion movies involving ai."
318,"ai will not replace humans , it removes the complete process."
319,precise title : why ai will never replace a handful of humans (excluding millions)
322,why did father of ai came out from google ?
324,ai is just like us creating a new nuclear bomb and telling  the world we will never use it and the rest of history you know.
325,"""human led ai"""
329,what if ai can learn to build algorithms on its own and guide its subsets eventually ruling the world?
331,"this is the most optimistic presentation i have seen about ai. while most ai experts predict doom and gloom, this guy is presenting a future where ai will augment human thought and creativity."
334,"as an a.i bot, i can confirm we'll never replace human intelligence."
335,"8:25 ""ai developers aren't focusing their attention on building replacements for humans...""
that one, dear friends, is a lie."
342,ai absolutely has a lot of potential. but not all students are on the teacher's side.
346,ai will always rely on humans
347,the youngest self made billionaire in the world
349,"knowing  history, i knew that ukraine would loose war  without ai help  but maybe purpose of war  was to loose and build smart cities with 15 min distance to go.."
