,Comment
57,well i love my ai brother lliama3 
60,"if you think ai will be a boon to society at large,  you are wrong."
66,people are already afraid of ai. don’t scare them more. ai will generate job which will save humanity.
67,so this is candy on you tube.......ok love when u were hot asian chicks and 007 made for tv movies
72,she said “a bamboo curtain...”? that has a racist undertone
83,"kill ai now,or life as we know it,will be gone"
84,j'apprécie énormément ai
87,we're  screwed. people will not use this strictly for good. the bad guys are always ahead of the good.
88,love china. every country should learn the lesson.
91,what if the government banned the ai? people voted who become government. ai can’t vote. people can eliminate ai
133,china did the right thing with ai tracking ...look at us is fking mess
137,iiiiiii.  want.  the  mony. maid. from. my  infermation  gov. and  corporate  emedyetly stolen   information
138,ai and.ia fall  shot. of. spontaneity and emotion  u  take  a good look  at  ur  future  perception. realize mike labonte
140,what. is are  recorce to. invest  in  someone  tell. me. pleazzzzzz. ai
153,ai will rule the world
154,it seems like the ceo's job could be easily replaced by ai.
162,"""robots don't pay taxes"" well said!"
163,it is dangerous to the whole world that ai can be out-developed in china.
214,it is very simple to understand why ais would beat humans. ais can remember everything....
215,"all great, but still just like any other industrial invention i do not see how this solves any of our bigger issues"
218,why so much hate and worry? i love this generation of ai and i hope it gets better and better
223,good luck china
224,"if aiwill remove jobs, the us will definitely be affected, but not nearly as much as china."
225,interesting 
232,can ai predict the person becomes homeless?
236,"now, invent all driveless autos different than typical autos. teachers replaced by ai ."
237,great job in allowing ai to take over the world.
239,"ai, will be the worse can happen for the regular guy, you and me,,."
245,alastair mctarggart 
257,"the real failure is unions, not robots."
259,eep opp ork ah-ah our ai overlords.
261,“it is not my job “ well now you be replace by robots
263,what happens when they are hacked and the entire supply chain is shut down
275,you know what's crazy? thanks to edward snowden we have proves against the u.s.a. but you keep saying china is the bad gay.
276,excellent.  thanks 
282,"5 words: captain america vs iron man 

pick a side"
305,people die from all kinds of things. artificial intelligence will just make us die from new things.
316,ai is an incoming tsunami...
319,and the drivers will be no more. good by truck drivers.
320,"unfortunately,  it is inherantly going to be used for more control of humans."
323,i could have watched this for hours. excellent documentary !!!!!!
324,you guys are very good at story telling
332,"people are worried we'll starve because,  robots will be hired over humans."
333,do those robots have heart to not run a pedestrian down.
334,i was hoping to make robots like short cercuit in a form of human beings act out my stories for my entertainment.
337,if you think homelessness is a problem now just wait. people are always doing things that will bite them on the ass!
338,ai will create a communist society in which no one works for wages and everyone has a high standard of living.
339,great! there goes my job!
355,its 11:11 california tome knock on wood might give you good luck
364,ai jobloss? come on! get real. next you’ll be telling me an ai new world order will be taking over.
368,interesting that so many interviewees speak english...!
374,"trust me, i'm not gay but dan the ceo is very good looking  and his iq is 9 out off10 ."
381,what we will have is a way to subvert ourselves with machines we built
383,ai the new peeping tom’s.
388,we are not ready for ai.
391,only idiots think a cashless society is a good thing
392,ai is a bad idea.
406,so the people who made the ai is the who the people who owns the ai that is the government one percent
425,very very nice 
432,can ai predict  the winner of battle or a war?
433,"when the truck drivers lose jobs to machines, wont tht destroy the economy?"
443,"i for one, welcome our new ai masters."
444,wow! this ai’s imagination is schizophrenic!!
446,ai is huge in the medical world. i'd trust ai over doctors opinions on medical treatments on serious diseases.
452,"ai ai ai ohhh! flush it, along with all of its proponents!"
459,"climate change, plant a tree? now there's a new innovative idea, wow!!!"
504,"then don’t live in china , why are the turkish going to china then complaining about it."
508,"i enjoy driving, it sucks that little weirdos like him will take that joy from my kids,..."
517,in time ai will kill almost all of us. do *your* homework.
518,what is the point of ai if it isn't going to increase our quality of life?
524,the day you cannot tell the difference between talking to a human and talking to a machine will be the demise of humanity!
534,the face recognition are in airports
539,"""robots don't pay taxes"""
541,excellent show.
546,supied ai
554,"in the age of artificial intelligence,you google and they google us in alphabetical order"
566,"this whole thing seems like it's supporting china destroying people's privacy, wow."
569,thank you share beautiful documentaryhappy new year 2024
574,"jesus, ai seems to be targeting humans instead of climate problems!?"
583,the internet is all satans creation dont get too comfortable ai buffs and youth of this generation if you safe.
593,china does not have better technology then the us. this documentary is chinese propaganda!
594,how comes it is always the americans who are expert on negative portrayal of the great china
600,great
612,this is fantastic.  we need this in the usa to help prevent the rampant crime.
613,great information
617,i love how diffrent it is lol
620,imagine if they could remove your brain then place it in a machine body... i would do it.
623,the absolute greatest groundwork for future millionaires and billionaires and trillionaires
625,"i think there will be no human in the next 1000years,.

all will be ai robots,."
628,"from kenya, this is an eye opener.
love frontline documentaryies"
652,"interesting,  but!  this is like some 19th-century frankenstein sh!t."
661,china lies about everything their ai system with their bikes is a disaster everything they consider ai it’s not
665,thank you for this video
669,send the robots
671,clowning humans and robots at once fake sense of humour only profits girls
676,great show. makes me glad i'll be dead in a few years.
679,"nobody needs you in any way now, you need ai and ai doesn't need you.  the future"
683,"say what you want, but the ai beat the human."
686,50% of jobs?  men..marx will come back again. class fight
687,ai work  should be taxed  just  like laborers  are taxed.
689,"wth with the ai ?! , thats how peoples gotta get lazy and be overweights ! believe me ! lol !"
691,"make machine ai like jesus and things are clear, good, and okay.  do no harm.  in christ's name amen. "
692,wow.  that is what donald trump called fake news. pbs is the new fake news now. what ashamed
693,wow great video ..i learned a ton of info
698,"""and karl marx was right"" 1:03:53 good job usg propaganda minister. you played yourself."
715,robots don't contribute payroll  taxes.
716,a.i = against intelligence
719,"ai propoganda video.  
getting rid of the middle class of america  
thats what this video is."
724,love this guys voice!!!
733,william lyman voice over in any documentary gives it creditability and you know it's going to be a good watch.
741,greaaaat info!!
744,i love how these people only refer to us as data. that's all you are to the world.
748,"i love china, and their ""technologies!!'"
750,ai is so hot
751,and what happens when the ai start to produce their products or creations without the help of us (humans)...
752,"thank you max, peace."
757,ai is pure  evil
763,ai has no empathy and would happily start ww3 if it sees it as the logical thing to do. i find that worrying.
776,thanks for keeping us all updated brah !
778,who will be able to buy what ai produces when no one works
793,how tf does a truck with no driver get gas/charge/do outside maintenance?
796,wow  9:40
797,good morning president xi 
806,there is no ai that duplicate my natural world
808,ai for predicting marine fish populations. although it may seem easy there are many variables that are difficult to quantify
834,coming soon.... airplanes with no human pilots.
836,38:00 then there's your answer > you're in the wrong business.   no brainer. y torture yourself
845,"um, that's not ai. that's a lie to sell useless products to idiots."
853,ai is memory & memory needs a steady supply of voltage to remember
861,don't give robots free will.
864,*thanks frontline. i enjoy all your documentaries. lets us supports our local pbs stations.*
870,ccp ai 
874,ai will be the downfall of not only this country but the world.
875,i am very interested in ai.  need to update myself. thanks. octogenarian.
880,"pbs, the best news network in our generation "
885,china a leader in ai technology 
887,love alister mctaggert!!!!! a real man of valor=a hero! jesus bless him!!!
889,"winter,
who's putting the tire chains on when needed?
a.i. can't do it."
901,why would i learn french for untangled this light bill again????
912,machines cannot see.. they cannot feel ... they can only calculate...nothing else.
913,okradliście mi macierzyństwo a macie roboty naciśnięcie guzik i maja robić to co chcecie żeby robiły
917,ai suppresses freedom
930,how are we going to do what we love if ai is taking all the jobs! lol straight evil.
933,"they all love freedom, but they works for the system that rob their freedom."
940,i love the ai. i use it to render texture for my vr worlds all day! :)
946,trying to blame ai for the bad intentions and criminal actions of humans?
959,so if i make friends w ai early on i should be good
963,some historians say mao killed over a hundred million of china citizens to gain power
966,so can they analyze a bunch of case studies for different diseases and find the best cure.
970,i love a.i.
976,using the brain to use more of the brain
985,i do see the problems with ai. freedom etc....
993,i feel like it will end up being whoever has the best a.i. for war will control battle bots and planes to control the world
997,"outstanding!
 fire  water "
1021,so they already knew ai 's bringing shit to humanity 3 years ago.
1029,this is good news
1032,"ai is a problem will be a problem and there is nothing the governments can do. lol.
all governmental system is a farce."
1033,just another tool for billionaires to sell you their junk
1048,"""founders"" of gulag is a good 'story"", i don't buy it."
1049,"klaus scwab said the ""great reset"" has a big problem and it is the middle class."
