,Comment
0,ai could have come up with a better script than this one.
4,what is there for the rest of us do?! there are at least a half dozen things i can think of to do before working. first i would have my ai figure out how i can make money and not work. i mean acquire a passive income.
6,ai will eliminate climate change and cure all diseases by killing us all
9,"he's back, and he's on fire!!!  thank you jon stewart!"
11,if the workers who made the ai could own and therefore control it then all this would not be a problem
12,they don’t even know how ai works. yet they make these predictions. we will see..
16,"i think that the rapid change that ai would bring would also make people realize that jobless people also need a way to live. and if there's nowhere for them to work, i hope something as simple as ubi would be considered. that or... well, we will have to learn history again."
17,"one little detail, no electricity, then no ai!"
19,this is why i’m so glad i’m going into the trades.
20,is ai going to clear my hillside before fire season ?
21,"the craziest thing was the ""tech bro"" saying ai's better than fire or electricity. i mean, i don't mean to blow any minds out there...but ai wouldn't be possible with the electricity to power the computers ai run on."
22,"ahhh, don't fight it.  love the comment about coal workers can be ""up skilled"""
25,so.... artificial intelligence is more profound than the sun. we can utilize artificial intelligence to create the sun....globally.....as easy as the sun can do it? really!?! i doubt that.
26,"i use ai to help me with my youtube comments because i have dyslexia... my comments now make sense 60% of the time, every time. "
27,"this is pretty much a social and economical problem. 

when ai is at it's peak, almost everything that's ""business"" related will be done by ai! which means that we need a new economical system. 

don't you agree jon?

 (much love from algeria)"
28,this whole video is so dumb. machines have been replacing people for hundreds of years but the unemployment lines stay about the same length. the cost savings generated by the automation increase demand for other products creating new jobs. pick up a book jon.
30,"we are taking a technology that can exponentially increase all of humanity's productivity, and instead of making everything better, we enrich only a few people, and at the end of the day they are the most worthless group, it's the workers that built ai and get a paycheck and a pink slip"
31,ai has the ability to free man from work. the capital pigs will eventually fail.
34,"its almost like capitalism is toxic/lethal to the majority of humans and other animal life. 
capitalism is not based in sharing, kindness or best practices. it is based in serving thy self above all else, period."
38,"just now becoming obvious that the set up for things to go off the rails is being laid? information is power! thats imo why we still call pocket pcs. ""phones"" but a laptop that makes phone calls is a ?  iphone is mini imac. ai is mixed w\mini imac. one could control information? control information? control ???"
39,"get an xray lately jon? 
search ""vignettes of modern radiation workers"" 1979 from the mit vault with john g. trump who invented the xray machine and particle accelerator"
41,ai solving climate change is simple. remove humans. problem solved
42,boomer opinions about ai do not matter
43,"electricity is needed to run ai, so if electricity fails, then ""the very baseless fabric of our vision... shall dissolve, and in this insubstantial pageant faded, leave not a wrack behind""."
44,the more tech the less jobs.. the lazier we become... we use less of or brains etc...
45,the govt not knowing how ai works is not as scary as the people who program the ai not understanding how it works. it's already to that point. they have no idea how the machine learning llm and everything else are coming up with a lot of the results. it's that insanely complicated and above our human minds.
46,i can hardly wait for ai to take over. universal income and just plugging my mushy brain into a receptacle everyday. ahh the american dream
48,ai = automated intellectual property theft
49,10 surprising jobs for humans in the ai era!  https://www.youtube.com/watch?v=eqjugdkrbqi
50,"wrt the first item, women have been tailgate art long before biden..no outrage?"
51,how to pay for that health insurance with no job even if the disease has been cured by ai :)
53,at least be happy ai didn't ban this video :))
54,"is ai going to fix sam altman's extreme vocal fry? imagine being that rich, but also not having anyone want to listen to what you say for longer than 5 seconds."
58,"welcome back to the daily show, jon stewart. now, where were we?....."
60,most people don’t realize this but it’s shadow companies like blackrock and vanguard that control large corporations that are pushing for ai. these investor companies are driven by pure greed. since they control large numbers of voting shares they are able to dictate policy (such as headcount reduction) to the companies they control.
62,so htf do we all pay the bills?  like.... pay us and let ai do it
64,"it is a big con job to make money for the already morbidly rich. it is more dangerous than fire and electricity. it will remove jobs, and those of us remaining with jobs, but we will work even longer hours."
67,anybody that can throw coal into a furnace can learn to program?!? really?!?!? wow! :o
68,"yeah the human tax also know as people, or the whole reason we have an economy. if no one is paying the human tax who are you going to sell your products to ? i love how tech bros have basically thought through the first step, and always fail to go any further."
70,11:42 - 12:01. america's elected representatives declaring their lack of qualification for the job. brilliant!
71,it's the height of hubris to suggest that ai is greater than the very thing that even makes it possible - electricity!!! morons!
74,true for computers having no humans would be great...
75,how can they stand there and say its horrific with a straight face
76,i'm wondering who put the toast in the toaster??? haven't any of these people watched scifi tv where ai tries to destroy mankind??  from what i'm hearing genz is using ai to mostly create crude pictures and artificial girlfriends.
77,"""it would appear as though joe biden is restrained in the back""
legacy media moment...."
78,arguing that ai is a bad thing because it will take jobs is as dumb as blocking the transition to clean energy because it will put coal miners out of work.
79,ai is evil!
80,"... ai ----- a new term for the antiquated term ""computers""  (ai hype is generated by walls street ....so invest now)"
83,who watches daily show? ever since all this for wokified none of this is ever watched by real world people
85,excellent 
89,"and when ai starts spitting out bad data without enough people to check the work, they will blame the remaining workers for not spotting it"
90,"the point should be that ai can achieve its utopian potential if its in the hands of the people and/or workers, and is open and transparent for all to use. in the hands of microsoft et al it'll just replace jobs and generate profit."
92,"""it is brutal if you think like a human"": ""machine men with machine minds and machine hearts."""
96,"love you jon, but you are so far off here it's ridiculous. start getting your head around the idea of post labor economics...most jobs are going to disappear, simple as that."
100,yeah i've spent a lot of time researching ai and how it will effect our world and let me tell ya... it's more frightening that it sounds. and the experts know very little about what's gonna come which is.. comforting.
103,"i don't agree with everything that jon says, but he's amazing and funny as sh**. but i feel cheated bc i thought he was coming back for real but it was just on certain days of the week. or, one day per week or month or something..."
105,"john stewart does not understand ai or what it is, not even close."
106,companies using ai must have to pay additional taxes... to provide everyone with a basic monthly income.
107,ai will be the end of us all. fiction is truth on this one!
110,the day robots learnt to fix robots it’s over 
111,jon! your so amazing! thank you for coming back! we need you brotha!!
114,the thumb nail for this video feels like something a skynet employee would make
115,you actually have to use ai to beat  hiring systems now. yes. to get a job you have to use it.
118,"i already can't find a job to literally save my life come on and that's in today's world this generation in any current generations existing now will not be part of this rapid ai expansion, as we don't have the capability to learn the skill set"
120,he’s amazing
121,ai ?? the end is nye sky net will destroy humanity !! and it will do it with a really bad austrian accent !!! i be back !!!! 
127,brilliant
129,if you think ai is going to need people to defend it. eventually ai will be comming for your jobs too. when is the last time p. biden shoveled coal?
131,so glad this man is back.
136,"although quite recently, ai agents do *already* exist. they are the digital equivalent of ""prompt engineer."""
138,i'm happy jon came back :)
141,the only thing ai will be used for is to subversively enslave humans... that's literally it
143,the outrage over the biden decal is amazing
145,"absolutely, ai will improve the quality of life... buuut, not for everyone. :)"
148,"the same old arguments that were posited about any automation where people even sabotaged the machines in fear that they would replace people, that was some 250 years ago!"
149,politicians without a clue! whe are f**ked!
150,"ai, giving us all the time in the world while no longer having any money to do anything."
154,"yeah, they want to implant ai into our brains, so they can control us because they need. robots or the walking dead to produce their products"
156,just excellent !!
160,"well the whole idea with technology is the reduce the amount of work we have to do, duh.
it was inevitable that technology would progress to a point where capitalism isn't a viable option to maintain society."
161,"it would be nice if the media would stop calling generative algorithms, ai. they are fundamentally different."
164,jon you are right and making a joke out will help us digest it better thank you
166,i didn't know jon stewart was back! (i'm in australia) this is awesome! he is the funniest guy ever! 
167,i already like ai more than i like people
168,i wouldn’t have an issue with ai replacing us for work; but when we stop working what kind of assurance can you give that we can still function apart of an ai/human society? wonder if elon musk nerutonlink could also factor into what future we might have. the problem is ai right now is only being used as a tool for business to make more profit.
170,so the people poisoning the supply chain. forcing ai to lie and hide truths are going to profit the few. while starving the many. and thats humanity's greatest gift. homeless jobless everyone  ? great work he weakest members of society great job
171,"i am 2:30 into this video.
i just came from this video https://youtu.be/cddfv3pg8eo?si=pefblgksc98s_plq
i had no idea jon was back on the daily show after that awful trevor noah. yes i live under a rock apparently.
i'm definetly watching this daily. love you jon"
172,"given the state of the entertainment industry, yeah, ai is a massive improvement in life for me."
176,"anyone seen the famous mcdonald's scene in the michael douglas movie ""falling down""??? 
so why shouldn't people be replaced by ai when most have no compassion or common sense because they don't want to do the job in the first place?????"
177,ai always came with the promise of labor replacement. no one was hiding or covering it up. it's weird to to frame it like the heads of that industry never acknowledge or talk about it. you cherry-picked the optimistic segments of their interviews. some of the same clips came from hours long projects where they talk about the dangers and downsides.
179,"back in the 80s-90s they were making movies where ai took over the world, killing off all humanity, and now we’re inviting it into our homes"
181,"it is disturbing because of what it reflects about the mindset of his supporters, and by sharing it, he is encouraging that mindset. see january 6th for details."
182,"clearly, we need to replace investors and executives with ai, and stop paying them entirely across all industries."
183,ai image generation and content generation are not remotely the same thing
184,"when someone like zuckerberg promotes ai, you know it is bad and that it is time to pack up and run.
or ban it."
185,ian over at timcast irl would be awesome if interviewed on this topic.
189,these people are just religious zealots but for ai
190,"ah vanilla bean ceo saying ai is more important than the first fundamental techs ? like fire, cloth/textile, the wheel. jump started civilisation while tech companies just destroyed it for the better half of the last two decades..."
195,jon is the best. love his comedy!
198,ai doesn't exist. we have not created artificial intelligence. no robots still don't learn and teach themselves. they still memorize what we have digitized. no real thought.
199,ai = all indian + mark zuckerberg
200,what...! i cant wait for main media to be gotten rid off!
202,ai is gonna make our lives better?! they said that about computers. fool us once...
204,"thank you john, you have been missed"
207,"wait! are you saying i wouldn't have to work in an underpaid meaningless job, and i could instead focus on what is actually important to me? that sounds awful."
210,dont put your eggs in anyone basket that is claiming self learning ai its not something we as people can wrap our heads around yet
211,"thoughts on ai. anytime you ask, ai things about itself it doesn't have a reaction that would be seen as smart if i ask what would you look like if you could be anything and it will then do a preset reactions on how it is and what made it.
 showing that ai is a false term use to just grab at the name its not smart just made to look that way"
212,"i lost my job last week because of ai. i'm a translator and my bosses decided that it's better to have ai doing an ok job than an actual human even correcting it. it was never my dream job but still, a bit surreal"
214,i'm not really worried about ai because the computer is only as smart as the person programming it. trash in out.
215,ai + basic income
217,"ai is a big scam - just watch this latest incarnation crash and burn and all these ""ai founders"" will be in jail in a few years."
218,"there is the need for a deep 'fake commity' to monitor and maintain what is real and what is fake, that is mirky water, to judge in such a way, it is preposterous"
223,even if they replace the human with ai to create products and services who the truck are they going to sell them to if we are all out of a job? 
224,ai will cure diseases and climate change by removing the need to have people. what's so hard to understand and like about that
225,"""ai"" is just clippy with a bigger database. useless and annoying"
227,"14:20 except... the first real replacement ai has been doing has been targeting artists. so music, visual arts, etc are some of the first to have major struggles."
230,i see the ai pics of trump in black neighborhoods as more of a joke than anything else. its so prosperous we know they’re fake.
235,"ai antichrist international ,un united nicolaitans"
236,what is the solution here? stop investing in ai? not happening.
240,"ideally, ai could take over labor intensive tasks (like using pattern recognition to find cancer), freeing up people's time for, like, art and hobbies and relaxation etc. but companies are just going to replace labor, no plan for the people who won't have money to live after they're laid off."
244,excellent
247,"so... with no employees earning an income, how is the consumer supposed to survive? how is the economy going to continue? we would all re-train as ""prompt engineers""? doesn't sound like they've fully thought this through."
248,"so far ai turned into just better google, better stock photos, and better lsp for coding."
250,"looking forward to robots to do maintenance on at my job. also loving how much i’ve learned from chat gpt. health, science, art suggestions, i’ve learned a lifetime of information in less than a year. talk shows like this are misinformation for the ignorant. entertainment. not truth."
251,anybody else’s ai spring to life when jon asked seri a question?
252,wow
253,if they won’t protect our jobs from being shipped overseas then they won’t care when robots take our jobs. they don’t want to pay for labor period.
256,i really am thankful for ai. i'm so happy that i'm able to starve to death now that there are no jobs ror me to do!
259,"so thanks to ai, we'll all have plenty of time to do things make music or visual art. oh, wait... these companies are already starting to use ai to remove the human element from that too."
260,i do so love jon stewart.
261,"it was today i found out jon stewart is back. trevor was incredible, but jon coming back is like revisiting childhood. trevor and jon, legends."
262,"replacing labor is great, but our society isn't set up in a way to do it properly. in our current system, if labor is devalued then humans become devalued. as technology continues to improve productivity and replace manual labor, we need to rethink what we consider a fair and egalitarian society."
263,"if ai replacing humans it's gonna increase unemployment, no? why is more unemployment the dream? how the government gonna keep that much unemployed people alive and well?"
265, that was great. 
267,"wow! the economy will be so driven by automation, most of the money will be able to be refunded as ubi to the everyday person to fund innovations! right...?"
268,cure climate change? hahahahaha...when will we glorify real intelligence than this artificial version of the real thing.  humanity is under the spell of feudalist wannabes.
269,"ai's potential to relay the contents of wikipedia to us....  wake me up when we ""actually"" invent ai."
270,so a boomer doesn't understand ai. shocking!
272,"if you have been on facebook lately you can see that a lot of boomers, basically all of them commenting cant see the difference between the video game gta and real life and they think insanely fake looking ai made images are real too. extremely disturbing."
275,"the world witnessed a groundbreaking moment as china-based netdragon websoft appointed an ai program named tang yu as its ceo. this ai-powered virtual humanoid robot was entrusted with supporting decision-making for the company's daily operations.

that ceo you showed seems artificial, would we even know if many are?"
280,"i love this is just a bunch of people complaining about ai even though most people literally have no idea how it works. 
"
281,#opensourceecology ai assistants for all of us to make our stuff at home.
283,"ai is so power hungry that it will exacerbate climate issues, instead of solving them."
284,"as a professional drummer, that last bit still hit home pretty hard even though machines have been replacing my skills for the past 30-40 years. look out songwriters..."
288,"jacques ellul in his 1960's book ""the technological society"" predicted: regular trips to the moon; the end of poverty and disease; women who's biggest difficulty will be how to use their leisure time...all by the year 2000. 

a.i. will be a disaster. these cheerleaders for ai are delusional and deliberate."
289,rule number one is anybody that watches daily show is not smart enough to understand technology
290,"in a homage to the movie her, i got chatgpt to say happy wedding anniversary to my bro and his wife, and it did it so well."
293,"to say we are seeing the infancy of ai is probably underselling it to a level that will far eclipse our capability of understanding or imagining. if you think humans are smart, expect to be truly humbled in the coming decade(s)."
295,"what could go wrong?  ask ai, it will tell you the truth. by the way, its truth is just a statistical calculation. are you feeling lucky?"
298,i'm actually impressed. we reached cyberpunk dystopia quicker than i expected.
302,"""i do renounce ai, 
""and all his works, 
""and all his pomps!"""
304,"met a dude from microsort msn, him and his whole team were laid off from the sports department for ai. he was there for over 10 years as a sports writer for msn. now it's all ai automated."
305,"what john doesn't understand is, if you double the intelligence required to make toast, you've got someone that understands quantum physics.  in 5 years, ai could absolutely be curing cancer."
307,"despite the ""retrain workers"" mantra by each of the presidents, not once have i ever seen a society-wide retraining effort... not once. just saying."
308,"they forget to add the words ""for us"" when they say ai will make things better!"
310,i think that people should leave all of the work to ais and robots. the job that won't be replaced in the near future is the need for bipedal self replicating assault cyborgs with limited autonomy. praise the omnissiah!
311,"just maybe, ai will make this show funny.  i nearly laughed at the biden joke...almost had me."
314,"""generative ai"" is based on the connections between words, images and sounds to other words, images and sounds that computers notice by being feed billions of pieces of it all. that's it. it's blind connect-a-dots that doesn't understand anything. it parrots what it finds."
315,ai can help you learn new skills
316,it promised to replace me. waiting to see how this movie ends.
318,i can't wait to become an indentured servant to a billionaire overlord who controls the ai technology.
322,"if anyone would actually show up to work, this would be less of a threat! 
love jon but this is extremely biased and silly reporting"
323,"""ai will help us solve very hard scientific problems that humans are not capable of solving themselves"" in the meantime back ai manufacturing company- um sir, i am having trouble figuring out how to program the ai to do this scientific problem. who knew it would take an understanding of the problem itself to program ai to solve it?"
324,ai will definitely make it easier for government and news to lie to the american citizen.
325,ai
328,"hang on, is jon back on the daily show? i'm so confused, i thought he stopped years ago."
329,first world problems ... we get an assistant! yaaayyyy!!!!! 
330,"""our ai technology is replacing you, but don't be mad! you can go back to school and learn to support the very technology we replaced you with."""
331,"jfc, old people yelling at clouds. ai is awesome."
334,wait!!!!! hold on!!!!! stew beef is back on the daily show..... ????  when did that happen.....??
342,i hope we are back to being able to laugh. js is helping us get there. so funny! loved it!
348,"they have ai precisely backwards. where we are looking for something to do the dishes and scrub toilets so we can do the creative stuff, the ai is trying to take over creative work so they can employ cheaper humans to scrub toilets."
349,not only those people don't understand ai. nobody understands ai. not even the biggest ai experts in the world.
350,more time for humans for thinking.how can a father puts bread on a table for his familly.nice.
351,humans to worship ai?
352,without electricity ai?
353,"the annoying thing is, it really could make life so much easier and the work week so much shorter if we just kept paying people the same, but replaced a lot of their work with robots"
355,"ai won't be our assistant, it will be our boss and we will be basically body surrogates for the ai until robots overachieve humans in the physical world and become cheaper to produce and maintain. then we will be 100% obsolete."
356,yes lets all be cutting edge educated ai/ machine learning engineers. that's a pathway that applies to the whole public.
357,"personally, i think 99.98% of ""ai"" is lies and false promises, just like ai has been since the 1960s. you promise to get funds."
361,"""now i'm making ai toast!"" hahahahaahahah  rfk 2024!!!!"
364,"this is no problem. we must simply pass the gains of productivity on to labor instead of capital. 

ha! now that’s funny stuff there."
365," hillarious !!!! also, disturbing.  tech companies are obviously lying to us. what can we have congress do about ai & robots taking jobs? like if you agree."
366,all the right people are opposed to ai and bitcoin.
367,"but they will need people to fix this ai cuz it will break down something these "" engineer"" do not think of"
368,"tbh jon stewart is only funny to boomers, tds could have brought on so many other better comedians  thanks jon for making my parents laugh 10 years ago but pls go sit in a couch and ramble abt politics by yourself now..."
371,ai has nothing to do with jobs and replacing jobs. it’s a measly tech just like any other made to push its way into your home aka consumerism so that the industry doesn’t wither. it just needs a fkn idea any idea for you to grab onto cause it thinks you have nothing better to do than cater to it it would rather you withered for it to succeed you.
372,anyone that can throw coal into a furnace can vote an ai ignoramus out.
373,"if ceos suddenly stopped showing up to work, companies would continue to function perfectly fine. workers create value, not ceos."
375,"welp, this is the epitome of capitalism. making the most money. ai is the best way to do that, so it will happen. hang on tight!"
378,hopefully my boss cant afford a  new ai dump truck.. pretty sure my job is secure for now.
380,no respect for the clown's views but great comedian
381,"ai is for money and power, not for humans and its all bait and switch like you said. time-saving, making room for more valuable things etc, these are all the marketing speech. ai is a weapon of mass destruction in more than a few ways."
382,"help me not think about this madness

wait one last thought before i check out, if i invent a robot to do my job do i still get paid?"
383,"it's like the cloud....this ""intelligence"" is on someone's computer"
384,"capitalism and ai dont mix. youre missing the main point that everyone seems afraid to talk about. we dont need new jobs - we dont need jobs. let the corporations (and hopefully eventually government) make tons of money, but then give the working class a hefty base income each month. i dont really see any way around this."
386,"ai is a tool, don't use a tool!
you're not going to have all the toolsz!!"
387,what people are talking about really is aig not ai... a toaster is ai
