,Comment
1,"""never send human machine's job"""
7,"i'm ready ai agent take mundane tasks, like deciding netflix show binge."
8,ai agents help choose next tiktok dance challenge?
9,"forget human landscape architects, designedbyai real deal."
10,"ai agents fold laundry, i'm in!"
14,super.... mirror future....
15,tony stark like richest person world. that’s great avatar benefit ai.
16,think narrow ai net positive generative ai probably net negative humankind.
17,"i'm hard hearing, thank lowest volumed youtube video ever!"
26,"ever edited video really need ai agents help redo it. 30 seconds pointless clip audience, important slides frame etc."
33,great talk!
34,ai could please vacuum dishes write content ride bikes...that would great. maybe plagiarizing content humans already created would great.
40,explanation segment absolutely superb... deserve sincere appreciation... congratulations...
42,2024 women lecture hall ai yet dare show strand hair...humanity funny.
47,"cool, bro..."
51,"""in way jarvis replace tony stark, relationship ai collaborative one."" guess homie watch avengers: age ultron, rogue ai tries kill tony stark take lol"
55,"good point,or rather, many earth have? many. rest us may replaceable"
56,used think general thinking computers would never happen would long way off. wrong. believes a.i. always collaborate humans without replacing us. wrong again.
57,"thanks giving meaningful speech. like internet helped democratise imformation, hope ai would democratise knowledge expertise improving intelligence wisdom mankind."
58,"*""agents feedback loop planning executing actions, using language models.""* thanks daoud abdel hadi simple breakdown, excellent speech."
59,"simple replace trust web developer, depending complexity, model fail cannot full trust ai."
61,motive motivate motivation motivating motion memory magic rabbit egg hidden easter death religions sells artificial intelligence gave recall dead
62,buy $olas - king autonomous ai agent
71,"agents free? really, paying training paying energy use. water cooling server farms? living la-la-land rock last 5 years? fairytales beginning end."
72,clean toilet? willing llm ? none? agent available? really ?
74,great presentation. thanks sharing
77,great talk ryan gosling
79,brilliant speaker.
80,nice
83,booking flight didn’t sound like good use case here. would still prefer visit website search flight instead typing logical statements ai. using mouse convenient typing keyboard.
85,anyone thinks ai build end end application production ready secure never written single line code.
86,"that's true, analogous statement could've made months ago ai generates video visually temporally indistinguishable reality. leaps thought impossible keep happening consistently."
90,"i’ve done already too. it’s always engineers quick discredit ai, it’s happening it’s getting better time. don’t adapt left behind"
95,"one could imagine programmers working ai agents, scaling productivity huge amounts ai upgrade. net output difference made rather ai solely producing work ai ready."
101,wow. talk? maybe collaborate really incredible.
102,anyone makes bets ai cannot based current form alone super naive. come back comment 10 years.
110,anyone thinks ai able build end end program soon naive
114,i’ve never written code.. i’m roofer. that’s ai agent
115,"sounds like defense mechanism. llms widely accessible popular year half, look far we’ve come. website nothing html creativity, wholly within domain ai completely achievable 1-2 years time"
117,"year's worth work minutes. minor ""writing code"" struggles mere human struggle. ai infinitely smarter humans"
118,"ai individually may code , definitely"
119,oh ye little faith..
120,"betting human ingenuity. good luck that, matt."
121,"anyone think developing code, rule based system, isn’t replaceable ai never worked ai"
125,"use available tools now. don’t wait till it’s late. get know strengths weaknesses. exploit strengths, work weaknesses now. changes every month get better. behavioural change takes time build new habits"
128,audio video super low volume even max capaxity phone audio. need correct that.
132,nice lecture
133,excellent!
135,automation grabbing sector agriculture exception. good luck !
138,​ dreaming. hope right. factor robots? quantum computers?
141,"wonderful presentation, everyone audience dull?"
146,"lecture would amazed 2 years ago. conversations claude 3 last couple days, history lecture. edit: wrong happily stand corrected."
148,currently use gbt 4 mindscape ai.... ai's guys know recommend?it could anything
153,cool bro...
165,thank (barely) lets hear sound.
167,well explained!
171,amazing! thanks sharing.
172,"programmers good, replace themselves... code writes even better code! needs job security automate job?"
174,"still need someone handle/maintain automation. humans could somehow automate food, water, shelter, clothing too, think would worry lesser tedious jobs. since survival would less guaranteed. ai robotics could step towards that. making write bunch text simpler step relatively."
182,"projects, based neural network models-be generative predictive - testaments capabilities humans. ai profound. however, unchecked, threat human civilization humanity."
