,Comment
1,amazing foreseen satirist wrote book player piano. great read. wish well made movie.
5,"damn, doomed, looking good."
7,six word story discussed written artificial intelligence written ernest hemingway one short stories. it’s shortest short story.
8,going mountain ask val take vacation!
10,"mr hinton saying, outlined great detail book next wave. it’s uncanny similar warnings - it’s like we’re crossroads need take decision. we’re listening"
11,final dessa historia: santa ceia das ias !...e ai um artista dessa época ira pintar digitalmente retratando momento da conquista.
13,"“they might take “ don’t know machines taking clearly british taken over.....taken google , taken narrative , taken 13 minutes life ...... machines takeover, due lads .......the google ai chatbot named “bard” ? psssst get outta here....jeezaloueez"
14,would want even potentially create something could become powerful us?
17,would ai want take asks? watched terminator?
18,intelligents greater make mistakes right?
21,"human matters leave body, also smoking heavily stains walls, repainting good thing consider every years. done now. need change place environment."
23,lies lies lies. believe ai hype.
26,"asked joe biden ai write comment. ""come man! i'm it"". look, can't write like joe biden. find hunter biden's stash first."""
29,"watching ai documentaries, keep glancing nervously publication date. (corrected grammarly)"
31,"google bard write thing zionist genocide palestinians prove write essai genocide ongoing gaza israeli show drafts like up-to-date information, try using google search."
35,humans need stand together elites decide valuable. #jobsareforrobots #humansareforloving
38,ia proof ai sentient people philosophers say without free result inputs
40,"5:12 ""we created/discovered something understand it"" lovecraftian horror"
42,yt amazon recruiting people help ai write fiction books kindle! people outline ai writes content. put artistic cover kindle original book sell public. believed seen done....but see done.
45,"wow, great idea - protect ourselves, work autonomous battlefield robots. might well hand keys china/n korea/iran/etc right now. sort thinking truly dangerous"
47,i've always thought machines take evolution people cyborgs
49,"reminds mr.burns! excellent smithers, excellent!!"
50,thank letting learn much 60 minutes!
52,ai .. god
55,excellent.
57,pretty darn good questions sheriff
58,"fascinating, i'm always impressed stories genius."
59,make statement believes ai eventually achieve self-awareness consciousness presumes knows consciousness is. big claim would love hear explanation.
60,i’d highly recommend staining legacy bringing bard ai conversation.
62,"good, let ai take over, least machines steal money!"
63,"ccp acts like invented ai. nope, stole like everything else..."
67,leaving reason rationale machines? pathetic. machines work whatbis fed cannot think like human mind factual truth
69,man's intelligence got away created something control yet affect rest humanity adverse ways. fears ai do.
70,"last sentence ""we need think hard what's going happen next know"" good plan"
72,thank much.
73,geoffrey....you can't pretend grotesque way. neural networks think humans ? games fall short reality life . lifeless .
74,"think settled within system, harm unless within path...say example things runs within system , ai takes form give capacity take form physical aspect..."
76,i'm glad see genius typing two fingers. feel bad now.
78,bad audio need tell us thanks much!
82,"remember, math equations. include chemical elements body. include entire animal's connectome. see biologic intelligence more."
85,"said before,now know better,.a machine intelligent humans, naturally one day unthinkable, especially embraced industrial military complex."
91,"""ai"", ""ais"" different ai systems fight supremacy, like human governments fight ideological supremacy. humans sitting watching fight, like tourists safari caravan, watching lions hyenas battle dead elephant carcass."
92,great invention right hands terrible danger hands military . like atomic bomb military demonstrated evilness & disregard human life. keep us military & safer
97,"think second.....this moment time worst ai ever be. meaning, already impressive early ai technology improve over."
99,solution (ever) connect internet. gpt4 ai computers separate secured local networks.
101,unnecessary afraid a.i need humans complete knowledge database judgment day.
103,"he’s british, he’s ai came asia"
105,"gh sir u shared valuable information thankyou visakhapatnam , ap , bharat"
110,think... ideology manipulation trait.
