,Comment
0,https://miliarya.blogspot.com/2023/01/the-impact-of-robots-on-job-market-will.html
2,artificial intelligence
3,ai ki vajasei agei ka generation ko job nahi melega future in risk
4,"how machine know about the whole history of human, how machine know about the our childhood history"
5,"how machine know about the whole history of human, how machine know about the our childhood history"
6,ai may yahe tu kami hay ke emotions nahe hay.
8,"matalab kya? 
still not able to understand what cannot be done by ai but done by humans only?"
9,"ai means artificial intelligence 
but we have original intelligence, you understand or not 
thanks everyone.."
10,ai can't be better than human brain.father is father and son is son.
11,sandeep sir is great human
12,ai se hi puch lena chaiye ki us se kese bacha ja shkta hai
14,ai kheto mein kaam nhi kr sakta
16,very good information by sandeep maheshwari
18,ai इंसान से ज्यादा आगे निकल जाए गा 100 गुना नही कई विलयन आगे निकले गा
20,ai can understand emotions but itself does not have emotion
21,"adhyaatam. ai nhi kar sakta, chahe kitna bhi developed ho jaye!"
24,kisi kisi waqt tou sir ap say bhi der lagnay lag jata h ...aise lagta h ap khud ai hain
25,matlab in short ai is bhagwan..
29,"abhi to sab company o ko fayda chahiye isliye kam investment mein ai se kam karwa lega , insan o ki naukri jayegi or baad mein ai ne hi humans ko business bana lega"
30,abhi bhi time hai human chahe kisi business ko successful or unsuccessful kar sakta hai to wohi karna hoga
31,"abhi technology se business ho raha hai , par badme ye technology hum sabko business bana lega , jo abhi suru hogaya hai"
32,"aap akdum mera soch ko apne awaz mein bola sir ,iske baad kapre ki khana khane ki bhi jarurat nahi hoga kyoo ki ai driven world hoga or wo to aisa hack karlega ki khana ka zaroorat nahi hoga or insaan jaldi jaldi marta jaega"
33,"aap jo bola ye kharap bhi wo karega or thik bhi wo karega ,aisa hi hoga agle 10 salo mein jaab doctor ki kami ho jayega to ai ko doctor ki training dena parega kyoo ki doctor ki shortage hoga or wo shortage hoga isliye ki hum sabko nachne se reels pe paisa mil jata hai to itna padai kon karega"
34,sir aap ki batain aaj se 1000 saal baad bhi sb ke liye margdarshan banegi...
35,bhaiya ai jo hai vo jisme jitana data dala jayega utna hi vo aap ko batayega........lekin humàn ka jo mind set hai vo bahut intelligent hai usse koi bhi nhi hara sakta 
36,google map use prims algorithm to find best way for you
38,"aur mujhe lagta hai ai sirf wahi ker sakta h jo usne learn kiya h , jiske bare me information abzorb ki h , jabki every humain har uss new product ke bare me kuch na kuch zarur soch sakta hai jo usne kabhi dekhi bhi nhi h, so aesi condition me ai error de sakta h , aur humain mind new product lonch ker sakta hai  jabki ai aesa nhi ker payga..."
40,ai is the best world growyh
41,"""uss jagah pe kya hota hai, karne ko kehne ko kuch vi nehi reh jata hai..."" if we just see, feel and realise the depth of this line we will find who we actually are 

love you sandeep maheswari sir..."
43,rajnikant robot
45,sandeep mareswari  a gaet motivenai sir
46,sir ek din app ki bhi jarurat nahi hogi kyu ki ai app sa bhi jada aacha sa samjha sakte ha 
47,"sir app ne ai ke bare me bahut    achche se samjhate ho thanks sir
ai par video or banao sir"
48,"ai can still have input in the form of time elapse......we as humans can switch off all inputs, thoughts and senses but can never switch off our time as long as we are alive....."
51,ai and spirituality dono eksath aaraha he
52,ai be like..- now i am motivated sir.
56,superb sir 
59,great session sir 
61,"thanks for the nice video. love from bangladesh. - tuesday, jan 9, 2024."
62,which type of clothes i want to buy ye ai nai le sakta decision
64,sir i think ai cannot give motivation speech like as you. ai have infinite knowledge. but ai have not heart like as human.
65, sir ai meditation kar sakta h  or swimming kar sakta h  or sir ai khubsurat ladkiyon ko छेड़ sakta h jaise human छेड़ते हैं  जल्दी बताइए सर ai se v fast 
68,ai kisika mind reading nahi kar sakata
69,"useful video like always , my new blog on the benefits of daily exercise, https://amjadinsights.blogspot.com/2023/12/benefits-of-daily-exercise.html"
73,"ai sub kuch kar sakata he lekin leadership kabhi nahi kar sakega.

 for example ai kabhi bhi logo ko inspire, motivate nahi kar payega jaisa actual human personality kar sakati he."
74,"ai jee advance ka question solve nahi kardh sakti 
"
75,ai insaan ki tarah chutiya nhi ban sakta jo apni mot ko khud bulaye
77,anaj nai uga sakti ai wo kishan nai ban sakti
79,ai चोर mind hai
81,kiya ajjeb batain kar rahe hain sir simple hai insaan ai bana sakta hai ai insaan nahi bana sakta. sandeep sir se ziada to logical to woh jawaab dene wale bachche hain.sir hain insaan magar robot jaisi baatein ka rahe hain .
82,kya ai vipashyana saadhak ban sakta hai ?
83,तो sir jab ai बना है। तो आपके कहने से मुझे लगा रहा है । की इंसान की जिंदगी तो बहुत बड़ी खतरे में है।
87,really good information.love from pakistan
88,"ai  abhi  bachha  hain ! o  bar  raha  hain  !  but  o  extrem  inspiretion  nehi  de sakta ! guru  ka  kam , maa  ka  bhumika,  ek  beta  nehi  ban  sakta !"
89,sir ai humans se jyada super mind rkhega anevale time me vo hr kux manav se jyada  krega vah manavta ke liye khatra bhi manav se jyada krega or jansankya bhi bda sakte h vo ase robots bnane me saxm honge jo aj ka manav nhi bna pa rha h
90,ai mai  itna dam hai to dhoni se jyada tez stumping karke batao ..
91,"ai आसक्त नही करता वो आउटपुट देगा ,जो भी करने मैं  और हम सब आसक्त करते है और ai kabhi bhi nahi karega ai  kitna bhi ban jaye par "
93,for making money marketing  ai makes human ai. no more human
94,ek aur chij ai nai kar sakta - sex . teen ka dabbe ma loda dalega kya ? 
95,sir hum binance pay pesy invist krty hain. ab agly smye mein profit ho ga ya lose . ai hmein nai bta sktta .
