,Comment
1,félicitations ludo trophée youtube. mérites tellement!
2,bonjour. puis avoir lien vers l'offre formation à 99€ ?? merci
3,"bravo, mérité."
4,"""gpt next"" ? qu'est-ce c'est nom à con ? chaque nouveau gpt peut être appelé ""gpt next"" ! ^^;"
5,"comprend gars ... j’ai 4o payant plus ... constate aucune améliorations démontrées démos : pouvoir parler dessus, temps réaction réduit, analyse l’environnement, voix plus émotive ... rien tout ça ! ... a bien écrit 4o modèle j’ai l’impression d’être toujours 4 ..."
7,"j'ai profité promo , achat c'est aussi parce partages gratuitement informations déjà très utiles . merci !"
8,est-ce pris cours théâtre travailler expression surprise miniatures ? :d
9,félicitations ludo 100000 abonnés. 104000 à aujourd'hui
10,"pffff fatigant, à peine est-on train découvrir gpt-4o déjà voilà prochaine mouture. perso ça donnerait presque envie d'aller faire autre chose laisser tomber chapitre gpt compagnie ! quelques semaines gpt 5 priorité tant qu'abonné openai, quelle chance..."
11,faudrait déjà qu’ils finissent sortir version 4o...
13,salut adore taf ... juste besoin d’un conseil quel outil vlog ( logiciel partage ?? )
14,franchement chatgpt utile peut dire contraire surtout quand a envie créer site internet chatgpt va aidé très rapidement indications chatgpt peut créer code html css javascript donc peut dire utile
15,"honestly, chatgpt is useful, there's no denying that, especially when you want to create a website. chatgpt can help you very quickly with guidelines. chatgpt can generate html, css, and javascript code, so it can't be said that it's not useful."
16,"honestly, chatgpt is useful, there's no denying that, especially when you want to create a website. chatgpt can help you very quickly with guidelines. chatgpt can generate html, css, and javascript code, so it can't be said that it's not useful."
17,bravo 100k
18,"chapeau bas, mérites tellement ! the show must go !!!"
19,"bonjour ludo, pourquoi impossible télécharger fichiers word pdf exemple lorsqu'on demande convertir réponse fichier. message d'erreur aussi bien version web app. avance merci j'adore contenu"
20,bravo trophée
21,"merci qualité vidéos travail général. j’aimerais savoir quand est-ce version 4o mode conversationnel orale caméra etc., tel montré vidéos démo, quand est-ce tout cela disponible abonnés gratuits ?"
22,vois l’utilité l’évolution si l’accès n’est gratuit
23,m'abonne si peu joindre iphone mail sans boot ok 99 euros utilisable a vie c'es abonnent annuel ? coup achéte iphone 15 ipad pro carte m4 aprés 15 juin gpt 5
24,no pain no gain !
25,"bravo ludo 100k ... c'est mérité ... basant courbe d'acquisition cette dernière année, demandé à gpt calculer date 200k ;-) !!???"
26,"félicitations, ludo fais bon boulot! merci tout apportes! formation pointue permet d'avoir expertise domaine l'ia générative. merci à encore bravo."
27,"bravo @ludo, vaux bien. merci partages. a résolutions a répondu succès."
28,félicitation merci
29,bravo ludo
30,félicitations 100 k ludo !
32,"félicitations 100 mille, mérites ouf!!! vu chaine vit à travers audience, j'envoie aussi big up à toute communauté ;-)"
33,"salut ludo, j'adore pédagogie vidéos. j'ai question : déjà fait vidéo gemini advanced"
36,"félicitations ludo, nouveaux abonnés trompés. contenus toujours top !"
37,congratulations c'est amplement mérité !!!
38,"félicitations 100 000 abonnés, t’ai connu t’avais à peine 3000 abonnés. bravo"
39,félicitations ... c'est amplement mérité
40,bravo ludo ! médailles toutes bonnes à prendre. mérites amplement.
42,félicitation 100k hâte voir modèle next action !
43,encore bravo ludo travail récompense sanctionne. merci qualité informations toujours à pointe.
44,"maintiens t'avais dit a plusieurs semaines maintenant à savoir gpt 4-5 avant l'été, c'est fait gpt-4o gpt-5 à l'automne donc date novembre paraît pertinente. félicitations 100 000 abonnés, c'est vraiment mérité"
46,confondez agi singularité ? intelligence artificielle capable raisonnement même comme enfant malgré tout agi ?
47,trouve chatgpt4-o enccore plus mediocre. répond concrètement hasard. tient compte questions outil cassé depuis plusieurs mois.
49,félicitaion 100 000. cap 200. bravo merci
50,félicitations trophée. mérité vu contenu qualité proposes.
51,félicitation ludo .cette récompense tout à fait mérité car inondes bonne humeur passion . vais replonger mise à jour formation.
52,toutes félicitations 100k ! n'est qu'un début : apportes information qualité sujet porteur. besoin demander à ia savoir vas exploser million moins d'un an
53,encore bravo à toi...et encore merci cette mine d'or qu'est chaîne.
54,j'adore joie bonne humeur laquelle annonce fin monde....
55,"salut ludo, juste petit detail open article disent avoir ""récemment commencé l'entraînement ...."" l'entraînement gpt 5 déjà fini normalement (en tout ça commencé tout récemment) donc là parle avoir commencé l'entraînement gpt 6"
56,encore bravo trophée youtube continuez à informer l'actualité matière d'ia autant détails faites.
57,"toutes félicitations, c'est ultra mérité. contenu ultra quali l'est toujours resté restant délicate ligne vulgariser assez tous tout répondant exigeants techniques ! bravo ça, continue régaler !"
58,félicitation merites
59,merci présentation félicitations trophée !!
60,félicitations ludo !
61,"bravo ludo, début"
62,"félicitations trophée abattu travail malade, merci tant qualité"
63,"100k !!!! c'est tellement mérité ! n'avais saisi étais papa. j'ai l'impression qu'on voit plus voient. voulais réduire cadence production vidéo, open facilite tâche . merci infiniment tout travail vulgarisation pédagogie. papai à tous! take care"
64,"haha raison gaylord, passe clairement plus temps à faire youtube qu’avec famille cherche bon équilibre !"
66,bravo 100.000 !
67,"ose meme plus feliciter tellement c'est formidable et/////pendant temps ,l 'europe s'emberlificotte reglementations contraignantes d'un autre age"
68,"fera gaffe sais si cela vient à chaque lien annonce haut à droite l’écran s’affiche alors peut-être a mis la,description normalement quand annonce lien vers vidéo explique chose particulier ben s’affiche tout ça à chaque fois a annoncer"
69,pourquoi sortir nouvelles versions si rapidement??? j’ai même commencer à utiliser première version lol . sérieux.... commence ou? sens complètement dépassée.
70,félicitations ! gros boulot qualité très complet réactif terme d’infos. bravo merci !
71,félicitations 100 000 abonnés! j'ai bien hâte à sortie gpt-5
72,bravo ludo
