,Comment
0,letztendlich geht machtverteilung
1,tolle doku! drueck daumen deutschland vllt schritt halten
2,"""politiker"" koennen ""internet"" schreiben.... ganz bange!"
3,fuehrt unsicherheit freiheit.
4,"arte, bitte lasst harbeck beim thema intelligenz raus. wiederspruch selbst."
6,"""dieses internet fuer neuland"", merkel"
7,"ki beweisen, gesamte deutsche buerokratie einzige nvidia grafikkarte ersetzt kann. deshalb system ki sabotieren"
8,internet naechste große sache!
9,"mensch erst planeten erde eliminiert, ki merkt, mensch virus ksi (kuenstliche super intelligenz) weit unterlegen ist. leben grade fruehstadium, biologische intelligenz kuenstlichen super intelligenz unterordnen wird."
10,ki erstmal zugriff aufs darknet wird's glaub kritisch
11,ki einfach zwingend dezentral aufgebaut werden. loesungsansaetze finden gerade deshalb blockchaintechnologie verbundenen entwicklung web 3.0. jedenfalls glaune fest daran probleme global lokal dezentralen systemen sicherer effizienter werden.
12,"bitte mal genauer sagen block-chain tech , web 3 beitragen kann?"
13,oh gott habeck.. *klick* ...weg scheiß
14,kuenstliche intelligenz transformation weltwirtschaft segen.
15,liebe grueße hildesheim
16,"sorry, lumi funktioniert nicht, response dauert ewig, klar, seid ""cooler"" chatgpt"
17,"leere blick 19:43 - gezwungen ist, personen entscheidungstraegern auszutauschen arme. jemand eindruck, dame beim thema ""wahl-manipulation"" reagiert hat? wichtiges thema, irgendwie gefuehl, ging ums eigeninteresse."
18,top kanal.
19,"großer feind meisten gez-programme arte wirklich juwel. danke arte-team, fuer echte journalistische arbeit fuer hervorragend verfuegung gestellte dokumentationen, gleichen suchen. bitte macht so!"
20,"habeck spiel kam, raus"
21,"schafft welt abgrund fuehren, microsoft ! groeßten computervirus ja schon gemacht 70- 80% menschen ja leider schon fast ganze menschlichkeit abgegeben. . . zombies !"
22,
23,"erst toetet mensch natuerliche leben umgibt kuenstlichen ""lebensformen""... einfach krank. selber schuld zerstoerung."
24,eckart wuerzner
25,"vollkommen uebertrieben, einfluss leben betrifft; obwohl umsehe, klueger afd mensch ai ... vlt."
26,geredet nvidia komplett außen gelassen obwohl groeßte kompetenz ki revolution ist? verschlafen?
27,leider aleph alpha ki's wirklich weit zurueck vergleich
28,"unglaublich peinlich deutschen vogel. laecherlich, schon meint, deutschland koenne zukunftstechnologien mitmischen. blind wirecard einst"
29,faellt wort ein: late-stage-capitalism
30,"robert habecks expertise: openai? ja, vielleicht sogar cooler. klingt absolutem realitaetsverlust, nicht, etwa digitalen welten waere"
31,"""unsere kinder welt erschaffen, unserer unterscheidet"".... frage mich, kinder machen, max tegmark vater haben."
32,ki: naechste phase amerikanischen digitalen kolonialisierung. zielt einzelnen menschen persoenlichen gedanken. einzelner mensch lage macht entgegenzustellen. entsteht modernen versklavung aushaeutung zugunsten handvoll personen (ceo's).
33,cayenne s
34,don fohr i porsche wieselburg ueber holzing amstettn umi.
35,schluß ee iss heureka
36,all weltweit agierenden superschlauen developer zusammen terminator-reihe anschauen diskussion ueber rolle skynet fuehren lassen. steht unterbelichteten homo sapiens bevor.
37,super interessant hyped zukunft egal duester
38,ca. 50.000 jugendliche verlassen deutschland schule abschluss pro jahr. dafuer fuettern ki grenzenlosem wissen. maschinen learning statt human learning.
39,"niemand gezwungen, schule abschluss verlassen - mal anstrengen, man, deutschland, kostenlose schulausbildung angeboten bekommt."
40,​​. hahahaha. fuer altbackene eintrichterung etwa bezahlen?
41,„sie sehen eingriff privatsphaere“ logisch. begriff gibt china ja nicht. 42:04
42,fuer quatsch? inhalt passt ueberhaupt titel.
43,"kranke menschen - kranke vorstellungen ! ! ! ki unnatuerlich gruselig ! ! ! koennen dagegen tun - einfach ignorieren, punkt ! ! !"
44,arte habt richtigen clown kommentator gegoennt ... #fail
46,gute doku... habeck? y?? :d
47,besste
48,"sicherheit, totale kontrolle buerger ziel. absolut dagegen!"
49,warum kinderbuchautor interviewt? dachte waere wissenssendung!
50,han chao is gutes beispiel ceo sklaventreiber frueher spaeter angestellte bleibt...
51,"besten system reform deutschland direkten demokratie, schweiz praktiziert wird. dadurch einfluss mitspracherecht bezueglich wichtiger themen."
52,ebenso unuebersichtliche fortschritt gebremst.
53,"miute 4:00 habecks gelaber hoert. hackfleisch gesicht nichtmehr sehen will. wirtschaft abgrund, gegentei lvon redet"
54,doku leider schon mindestens 6 jahre veraltet. aktuellen moeglichkeiten bereits genutzten anwendungen ansatz gezeigt. doku geeignet fuer ki anfaenger. bitte beschaeftigt mehr breiter thema.
55,"deutsche regierung positiv benennen, insbsondere leute habeck extrem destruktiv wirtschaftlichen themen. bekommt doku direkt stempel aufgedrueckt, bevoelkerung framen. schade eigentlich... hoffen, öffis irgendwann mal aufhoeren..."
58,stimme 100% zu. stadtwebseite stadt heidelberg koennen ki testen. nennt glaube luminos frage öffnungszeiten ueberfordert. bitte anschauen. wuerde rueckmeldung freuen...
60,technologie untergang !!
61,54:35 typischer deutscher move... rassismus nazi
62,habeck : „coolere ai“
63,@arte heißt track ab 1:25:01 gespielt habt? danke voraus fuer antwort :)
64,handelt originalkomposition fuer sendung daniel freitag.
66,ki ansich gar problem. problem menschen macht darueber haben/wollen. 1 zentrale ki gebeb menschen gesteuert kann.
67,habeck doku? ne ahnung. raus min 4:15
68,34:40 hhaahhaha
69,regulierung angeht weltspitze.
70,panikmache!
71,gar huehnerzuechter involviert ist.
72,alevalpha leuten raten umbedingt heftiges werkzeug bzw. technologien leuten uebergeben intellegtstatus zurueck geblieben bzw. luegen status ergaunert haben! gefaehrlich fuer dumme menschen.....ich sag the bacon of hope....damit bescheid wissen.
73,"technologie wahrscheinlich schuessel, wer besitzt, geht runter, wird, weiß keiner. wer suveraen bleiben moechte, entwickelt..., mehr weniger."
74,europa freiheitlich hoert herrn vogt cdu an! wann usa autoritaer?
75,"1:21:22 hoffe, bald lassen menschen mehr iwelchen chefs anschreien trotzdem fair bezahlt"
76,aleph alpha neue thernos?
77,interessant! skeptisch bin. mal gespannt sitzung daniel
78,"menschen kuenstliche intelligenz programmieren schlauer menschen erscheinen , sagt ueber dummheit homo infantilus !"
79,"alleine tatsache, grenz-debiler vollspasti wirtschaftsminister-darsteller robert habeck aeussern darf, macht bericht komplett unglaubwuerdig."
80,schlaue neue welt. habeck enters the room...
81,"letzten tagen deutlich geworden, weit chinas politischer arm parlamente reicht."
82,"usa tagen gesetz ""überwachung amerikaner ausserhalb usa"" weitere jahre verlaengert. schlimmer china."
83,europa? ernst...
84,"hype hype hype... immer selbe. www, nano, crypto, ki.."
85,gibt gleich daumen runter. lasst linksextremisten kinderbuch roberta labern?
87,kuenstlich. nische erfolge verspricht menschliche sein. wahrscheinlichin jedembereich. heute schon dankeschoen fuer gespraech bekommt weiß zukunft hat.
88,"habegg ahnung, meinung abgeben! fassen..."
