Unnamed: 0,Comment
1,genau genaueres ueber bibliothek babylon erfahren nie davon gehoert kenne bibliothek alexandria
2,koennte ki medikant symptombekaempfung entwickelt sonder menscheit vernichtet ursache krebs auszuloeschen
3,glaube tages zeitpunkt kommt skynet mensch miteinander verschmelzen homo sapiens homo deus
5,hilfst super fuer klassenarbeit
6,ki schimmste menschheit erfunden hat liegt unserer natur zustoeren wahrheit echt schade
7,ki erst eingesetzt hinterfragt bevor befehl ausfuehrt detaillierten anweisungen erst beim zweiten dritten mal nachfragen befehl ausfuehrt gerade worst case zenario leben bedroht ist
8,ki gut entwickler behaupten passieren muessen menschen fuer ki arbeiten waehrend ki buergergeld kassiert !
9,fortschritt laesst aufhalten frage alle gemeinsam ueberhaupt steuern koennen bzw wenige gruppen daraus natuerlich eigene vorteile ziehen? jahre zeigen
10,dachte schluss sagst stimme ki
12,film meisten ja reales finden geschichte zb mord gmbh geschrieben wurde passt heute zeit bibel ab
13,transcendence guter film ueber spezielle ki kurz geht frage weit gemacht wurde
14,traurig ja eher amerikanische super computer echt heisst terminator skynet glaub mal schuldige gibt denke realistisch rueber kommen terminator namen skynet realen welt uebernommen also
15,krass mal hitler propaganda projekte ja glauben mussten meistens mehr lustig lol reimt sogar
16,ja waere ki wirklich intelligent wuerde arbeit ueberlassen bekomme angst gedanken koennte ki verdraengt werden mensch fehlerlos ich glaube ki ich moechte nicht
17,ki zerstoert uns ende problems gefahr tote kis koennen gefahr seuin mehr sind wer anrichten und gfragen nicht das einfach und tod hochleistungs behinderte version geistig behinderten schoepfers
18,geist flasche
19,fuern pullover herr anwalt?
22,stehen großen gefahren ubernahme ki zusammenbruch internets
24,fall verbieten eindeutig millionenfach bild textmaterial gestohlen wurde
26,laender ki verbot einfuehren
27,muessen handys vergraben spuk ende!
28,immer schon wussten suchen ranghoeher wahren problem sehe schrumpfen unserer merkens volumens alltaeglichem muell gespammt
29,cyborg incoming
30,laden runder
31,best interessant heb een paar punten opgepikt ik nog niet opgenomen had
32,herr anwalt wer urheber erzeugten texte chatgpt der beauftragt? zumal erzeugten texte sicher aehneln muessten
35,muesste sofort gesetz her ki arbeitsplaetze ersetzt duerfen
37,familie geld gibts nix holen
38,problem glaube ich groeßer behautet werden ueber all ki verwendet wird heiss egal wer sagt koennte ki hergestellt worden sein egal stimmt nicht fuer schwobler tueren offen
39,bing teilte mit mittel krebs entwickeln koennte leben ausrotten wuerde unethisch waere kluge ki
40,menschen sollten vorerst innere entwicklung konzentrieren statt technischen progress nachzulaufen falls laeuft zukunft duester aussehen
41,abgelenkt bild haengt schief?
43,richtige ki existiert nicht ml bedingt ki nennen
45,dosis macht gift paracelsus schon seit monaten bemerke stille digitale revolution uebertrifft erlebt habe schutzmechanismen entwickeln duerfte hinterherhinken wichtigste sein schoen analog bleiben
46,sehe ganz spartanisch lange geld verdiene finde gut
47,apple serie devs empfehlen regt nachdenken an
48,generelle ki atomic heart vibes
49,ki rueckschritt fuer menschheit!!! faehigkeiten schwinden mehr!
51,mega vid
52,running
53,angst habt ki legt elektronik ki ki beste gibt waere fuer komplett uberwachung wer nix verbergen braucht sorgen
55,heute ki morgen arnold
56,daumen unten mann ki versteht eigenen welt lebt!
57,ki viele informationen internet holen deshalb menschen toeten krebs warum menschen angst? typisch leute!
58,mensch faul denke mensch ergibt technik staubsauger robotik guter punkt ki freund
60,rechte wurde ai erstellt erklaerung geh google bildquellen such funktion genutz recht fake links real
61,danke fuer tipp enkeltrick stimmen synthetesieren ja mittlerweile easy go for it d
62,hallo herr anwalt koennten landespflegekammer sagen betroffene fall nummer raus kommt? erst beklatscht heißt es mehr geld fuer pflege! monatlich fuer bezahlen bringt!!! vielen dank lg
63,codeworte schon seit messenger gibt
65,bedenkt ki moment eigentlich mustererkennung ist schon schwierig abzusehen daraus entstehen kann mal ki bewusstsein entwickelnd millisekunde weltweit verbreitet sicherlich sorgen
67,krebs sooo gut erklaert ganzen prokileute verstehen immer nicht wegen leuten frage zeit selber vernichten mensch lernt nicht falls doch muesste fuer individuen neue bezeichnung waehlen homo sapiens sapiens sapiens dreimal klugen menschen
69,ki auftrag geben dschinn wuenschen will scheint d
70,lasst ki menschen vernunft bringen was menschen kriege zerstoerung welt immer mehr mehr mehr fuer was? genau fuer nichts armut ausbeutung die menschen schaffen eh selber ab ki bitte vernichte duese abartige menschen
72,ratet mal chat gpt frage wie planeten erde retten? geantwortet hat
74,vielen dingen ki ueberlegen sein ding karten niemals ueberlegen phantasie fantasie gaebe gar ki beispiel
75,ki dafuer sorgen menschheit mehr verbloedet
78,schon krass corona vorbei ki schnell entwickelt
79,finde entwicklung erschreckend glaube ist irgendwann kann ki schlauere ki erstellen kann immer wieder bitte hinfuehren
80,wer sagt mir sehe reden hoere kuenstliche erstellte ki wahrnehmen
81,finde sowohl lehrer programmierer kritisch finde menschen lehrer roboter ersetzen schlimmer finde programmierer einfach beaengstigen kommen meinung szenarios gesamte menschheit ausgeloescht kann
82,sag soviel k i beste lehrer beste schule lehrer muede wird wahrscheinlich k i aus grund verboten wird
83,kis gefaehrlich habt nie film i robot gesehen koennte passieren
84,einzige schiefe bild wand verrueckt macht?
85,ki gefaehrlicher denken mehr sage
86,interessanter thema wer verantwortung falle fehlers ki gezogen wird? programmierer lach tot
88,guten tag ki habt vorstellung seit wann mitteln beitraege kommentare meinesgleichen internet herumschwirren
89,genau
90,bitte politiker ersetzen lieber ki menschliche dummheit
93,seit jahren hoert immer erleichtert alltag??? immer soo schwer??? erleichterungen schaffen immer viele unnoetige erschwernisse!!!!!! haette darauf verzichtet gaebs viele probleme gar nicht!!!!!
96,kannste vergessen xd
97,ai ki niemals menschen behaupten koennen ai ki fehlt gesunden menschenverstand besitz emotionen lebenskraft genetisch natuerliche biologie co
98,bild haengt schief
99,ki macht angst tbh ja schon krass
100,kurzgesagt ende menschheit begonnen
102,neuauflage weberaufstandes erleben? glaube nicht heutige mensch beschaeftigt geht merkt erst spaet ist
103,die uhr geht nicht!
104,nieder akademischen klasse voelker hoert signale siegt arbeiter! handlanger klassenfeindes zuhause sitzen
105,ai
106,ghost the shell gucken! originalen grandios!
108,schoen langsam ruihg erklaert wildes gestikulieren text eingeblendet staendig abgelenkt wird echt bloed kopf
109,ki untergang menschen gibt schlimmeres menschen
110,na prost mahlzeit ki immer mehr gestalt annimmt viele leute job verlieren fuer machtzwecke missbraucht
112,handwerker anwalt d
113,inhalt regt vieler hinsicht denken an danke
115,interessiert waere passiert komplettes buch ki schreiben lasse erfolg wem gehoeren rechte?
117,eigentlich staatsanwalt verteidiger? vielleicht richter alexander hold geschaut!
121,live bleibt live
122,ganzen koerper feuer legen
125,dreifach hoch mobilen handwerk! stromausfall energieverknappung muessten wohl viele menschen erstmal nachlesen nagelschere umgeht
126,unterschied ente?
128,eltern wuerden eh geld geben
129,philosophisch gesehen tut wichtig tut birgt vorteil mehr tun mus lebensunterhalt verdienen focus innere richtet aendert geht immer entwickelt gleich bleibt
130,ausbildung pflege dauert zwei jahre bedarf pflegekraeften massiv steigen! wie handwerk fuer genug arbeit geben koerperliche arbeit bueroarbeit!
132,wegen snapchat gibt ki besten freund
135,bild echt?
136,servus hr anwalt fragen jva auskunft geben mussen ehepartner knast sitzt abonnentin versucht verzweifelt mann finden anscheinend jva einsitzt u haftling lg knastathlet
137,chatgpt hilf lange googeln meistens sofort richtige antwort hilf arbeit richtige ersatzteile fuer maschinen finden
138,dramatisch es sobald ki lernt selber beschaeftigen juristische feinheiten menschen manipuliert
139,froh schon bin eventuell mitbekommen ki jahren uebernommen hat bleibt spannend
140,angst macher reichen angst ki immer wohle gehandelt reiche abgeschafft erzaehlen boese ki dumme menschen glauben noch
141,herr anwalt sehe immer oefter youtube kommentaren minecraft wer spielen immer gleiche profilbild sage profilbild echt ferstorend
142,film tron legacy interessant
143,bekommt buergergeld
145,naja hoert verdummung
146,herr anwalt shaefgesetze ?
147,ja qm geist ki sorry nein fleisch mensch verzichte wegen beides seit jahren ohhhhhhmmmmmmmm xddddd
149,ki maechtig werden mistgabel fackelfeuer server manufakturen prozessor manufakturen demonstrieren betreiber server prozessor manufakturen transhumanisten cyborg sind rieses problem
150,sympathischeste kompetente anwalt deutschland ki bald jahren als anwalt ueberfluessig machen fachinformatiker anwendungsentwicklung
151,ki verschmelzen tages mehr existieren
153,zumindest ki fall sinnvolle beziehung gegensatz menschen menge problemen buergt
154,bild hintergrund schief warum
156,ach nich ganz anfang dauert
158,laecherlich panikmache
160,ki lernt menschen menschen ki scheiße erzaehlen sagen tun je dem rumheulen positiv schauen ki scheiße beibringen ende scheiße endet
161,ab erinnert film balde runner ryan gosling charakter film ki verliebt
162,sollten menschenquote fuer berufe einfuehren xd technologie unglaublich helfen muessen darueber gedanken machen davon abhalten schaden sei scams arbeitsplaetze absoluten uebernahme
