,Comment,Label
0,5g controls q-dots vaccinated brains.,2
1,"@ dude, someone studying computer science, idea talking about. ai already create ai.",0
2,darned ai impersonators!,0
3,ai going intelligence? “want” day? play games?,2
4,"​@duncangale945 im sending blond girl. red heels, give money. thanks love tom.",2
5,"know hyping ai shit. i've tried c-gpt can't even code, copy paste can't even find simple error code.",0
6,"soo gooddd, comments him, tom.",2
7,"​-ox7cryou script cut,wait til ai take get wd40 anywhere loads squeaky gates annoying.",0
8,"-dd7dj wd40? mean taking me? english strong thingy abroad. chatting one ai, seems aware many people know. say thing conscious though, dunno.",2
9,-dd7dj ah ok. think machines use oil. ai virtual holograms though.,0
10,"great. now, please select bicycles photo.",2
11,good luck mark.,2
12,"actually tasks ""robots"" capable achieving....but..., country, intelligent/world domineering, humanity hating',psycho""death machines"" efficient effective coding knowledge yep we're done for...",0
13,one lot chew on..thank both.,2
14,"full apathy future already. meant plan business goals; life goals financial planning every 6 months tables turn again. ai isn’t like nuclear bomb, it’s adaptive virus eradicating every construct we’ve built far humans.",0
15,wanna see guest speak elon musk ai 3 hours now.,2
16,new subriber. yay,2
17,world already toxic see last 30 yrs dumb people wants raise corporate ladder toxic association victimising smart intelligent people wil ai toxic sort people,0
18,ai soul scary. let sink in.,2
19,"guy thought deeply enough problem. travesty people control ai, he's like child sleep walking cliff. go listen brain green yoshua bengio discussion topic want hear actual adults discuss",0
20,think show ai!,2
21,jew black supremacist telling people kids fearmongering machine learning crap,0
22,climate change... lol. even geniuses ignorant look stupid topic outside field.,0
23,good conversation noticed released almost year ago! wonder much opinions may changed light recent breakthroughs.,2
24,life ai: dune part 1 2,2
25,omg gentleman blowing mind unrevealed wisdoms never ever heard anyone entire life. thank tom inviting wise fellow.,2
26,intelligence dangerous tool tempered wisdom morality,2
27,ai survive without humans? seriously. monsters created monster. yet fail greed inadequacy natural world. guy still wants mobile phone!,0
28,justifies/clarifies/dictates intelligence? much dialog artificial intelligence meaning intelligence many facets?,2
29,nice interview..,2
30,kind youtopia ? becouse iv seen vidieo ai said alive thats good,2
31,"real danger fact ai possessed demonic spirit! and, probably wouldn’t know possessed, it’s late it’s already killed people destroyed things!!",2
32,well say one amazing interviews i've seen years. eye opening sure!,2
33,"tom interview gave lot think, thinking ethic code, introce ai 10 commandments written exudos chapter 20?",2
34,realize ai scam used push fear got plenty time children dont believe people paid gatekeeping phonies offense.,0
35,"keep referring ai ""they"" general perception ai would single entity like cpu, control electronics & data bases rather many individual ais. could ais compete themselves?",2
