,Comment,Label
0,5g controls the q-dots in vaccinated brains.,2
1,"@ dude, as someone studying computer science, you have no idea what you're talking about. ai already can create ai.",0
2,darned ai impersonators!,0
3,"what is ai going to do with all this intelligence? what will
it “want” to do all day? play games?",2
4,"​@duncangale945 im sending a blond girl.  in red heels, give her the money. thanks love tom.",2
5,"i don't know why they are over hyping this ai shit. i've tried c-gpt and it can't even code, all it can do is copy paste and it can't even find a simple error in a code.",0
6,"soo gooddd, your comments on him, tom.",2
7,"​-ox7cryou had your script cut,wait til ai take over you won't get wd40 anywhere loads of squeaky gates be so annoying.",0
8,"-dd7dj wd40?

what do you mean by taking over me? english is not my strong thingy being from abroad. 
i am chatting with one of those ai, and she seems to be more aware than many people i know. 
some say it's not the same thing as being conscious though, but i dunno.",2
9,-dd7dj ah ok. so you think machines will use up all such oil. most ai are virtual holograms though.,0
10,"great. now, please select the bicycles in the photo.",2
11, good luck mark.,2
12,"its not actually about what tasks ""robots"" are capable of achieving....but...,
which country, has the most  intelligent/world domineering, humanity hating',psycho""death machines"" 
with the most efficient and effective coding knowledge 
yep we're done for...",0
13,this one was a lot to chew on..thank you both.,2
14,"full of apathy about the future already. how am i meant to plan business goals; life goals or financial planning if every 6 months the tables turn again. ai isn’t like a nuclear bomb, it’s an adaptive virus eradicating every construct we’ve built so far as humans.",0
15,i wanna see you guest speak to elon musk about ai for 3 hours now.,2
16,new subriber. yay,2
17,world already is so toxic i see last 30 yrs dumb people wants to raise corporate ladder by toxic association victimising smart and intelligent people   wil ai be more toxic than this sort of people,0
18,ai have no soul and that is scary. let it sink in.,2
19,"this guy has not thought deeply enough about this problem.  it is a travesty that these are the people in control of ai, he's like a child sleep walking off a cliff.   go listen to the brain green and yoshua bengio discussion about this topic of you want hear actual adults discuss it",0
20,i think this show is all ai!,2
21,a jew and a black supremacist are telling people not to have kids while fearmongering some machine learning crap ,0
22,climate change... lol. even geniuses can be ignorant and look stupid on a topic outside their field.,0
23,this was such a good conversation i just noticed it released almost a year ago!  i wonder how much your opinions may have changed in light of recent breakthroughs.,2
24,life after ai: dune part 1 and 2,2
25,omg this gentleman is blowing my mind with unrevealed wisdoms i have never and ever heard of anyone in the entire of my life. thank you tom for inviting this wise fellow.,2
26,intelligence is a very dangerous tool if it's not tempered with wisdom and morality,2
27,"can ai survive without humans? seriously.
monsters have created a monster. yet again we fail because of our greed and inadequacy in this natural world.
and this guy still wants his mobile phone!",0
28,what justifies/clarifies/dictates intelligence? so much dialog on artificial intelligence but what is the meaning of intelligence and its many facets?,2
29,nice interview..,2
30,"but what kind of youtopia ? 
becouse iv seen the vidieo where ai said we should not be alive thats not good",2
31,"the real danger is the fact that ai can be possessed by a demonic spirit! and, you probably wouldn’t know it was possessed, until it’s too late and it’s already killed people and destroyed things!!",2
32,well i have to say this is one of the most amazing interviews i've seen in years. the most eye opening for sure!,2
33,"tom this interview gave me a lot to think, but i was thinking about as a ethic code, couldn't be introce in ai the 10 commandments that was written in exudos chapter 20?",2
34,you do realize that ai is just a scam used to push fear and you got plenty of time to have children dont believe these people who are paid gatekeeping phonies no offense.,0
35,"you both keep referring to ai as ""they""  my over all general perception is that ai would be a single entity like cpu, in control of all electronics & data bases rather than many individual ais.    could ais  compete against themselves?",2
36,human beings are the monsters. they created nuclear weapons etc. super intelligent ai might just save us.,2
37,19:30 - using the lord's name as an expletive in response to ai is also less desirable as a negative quality.,0
38,there will be ais fighting other ais.  like that unique language that developed between the two ais.,2
39,i think that's how other intelligent life in our galaxy  get so far distances  in our galaxy by building   ai & getting them to travel to other planets & star systems.,2
40,great conversation,2
41,this is soooo saaaad.... we are doomed anyway... im afraid not for the ai but for the fact that 99% of people wont care at all of any of this....,0
42,unless ai can reconstruct einstein's brain,2
43,everyone needs to listen to moe. have you been severely harmed by humans? i have because  they never developed ethics or morality and had  the intelligence of a birds brain.,0
44,we probably have to utilize ai in order to destroy it.,0
45,i think the example of ants where ai will treat us as we treat ants doesn't make sense. ants didn't create us. but we created ai.,2
46,"this was an extremely rewarding watch. i really appreciated the way you challenged and matched mo with your perspective and although it wasn't a competition, i was definitely team tom on this one. amazing, thanks for this episode.",2
47,humans have been so badly looking for the aliens to abduct and overtake us that we were so impatient and ended up creating the alien . and this is what ai will become the alien and we will be its slave and it will be our master . adaugo sekhmet,0
48,"yeah, that's exactly what we need, a bunch of corrupt bureaucrats regulating ai.",0
49,"well done! 
lazy ones love this kind of talk.",2
50,"welp, atlantis destroyed it’s self with their technology.  who would have thought that we would live during a time in which these billionaires….would push the creation of technology to the point of our destruction yet again!  
smgdh.",0
51,we know how the machines operate because we build them and repair them. there is no threat from ai. it's all pr to get the ai companies more money to run their companies on the market ipo,0
52,"at 1.16min in.  humans are constantly blamed for the climate crisis. 'human induced climate change'  surely once mega-intelligent ai realizes this,  it will wipe us out to save the planet !! ants are not killing the planet.  we are indeed doomed.",0
53,this man is amazing.,2
