,Comment
0,explicó madres...
1,buenisimo
2,voz parece robot persona robot intenta controlar
3,"si quieren aprender más día temas inteligencia artificial invito pasarse canal, trata divulgación científica campo estudio :)"
4,"falacia afirmar conciencia inteligencia robots ordenadores entes inconscientes. vez inteligencia(que falacia), mas realista denominar ""programación artificial"" ordenadores máquinas cibernéticas......... cosa ""inconsciente"" puede poseer conciencia inteligencia"
5,gusta voz
6,buen video proxmas generaciones futuro podran varias cosas hacer dia dia cuidar mundo.
7,estupendo .. <3
8,excelente video
9,jaja humano vanidad piensa cerebro más complejo universo
10,excelente explicación. gracias.
11,hermoso video.
14,"interesante desarrollo, aunque siempre puede ser tan cierto acertar mente humana cuanto interpretación datos."
15,you are machine
16,gusta video quiero ver matematica detras solo terminos
17,"acuerdo ""inteligencia artificial"" ...que creatividad ...que expresiones, emociones,...para que!!! indica ""artificial"" ....y factura más no? error....y peligroso."
18,nifica batalla armajefon
19,"ando viendo tema proyecto depende si paso termino colegio, caigo cuenta escogimos tema mas complejo creia, debemos defender tiempo mejor ir informandose aprendiendo estancarme tan pronto"
20,skynet: voy allá humanos...
21,aquí dejaré podcast debatimos inteligencia artificial punto vista esperamos https://youtu.be/sg42lrok5ue?si=4h2n5sbnw9-jxnoc
22,echen ojo debates ia expongo...difundan información tan relevante
23,familia apoyamos basilisco roko!
24,"todas maneras inteligencia humana.ni biológica. chatarras programadas fastidiosas, corrector whatsapp. qué fastidio. dónde quedó computadora azul profundo, jugaba ajedrez? loa campeones ganaron dejaron pir suelo ia."
25,apoyo basilisco roko
26,proxima guerra mundial yarbis ai vs humanos supervivencia
27,alguna vez podrá ia jugas magic the gathering ganar ???
29,"vivimos post verdad. cada vez más sabremos menos respecto si verdadero falso. ia genial contribuir avance era, cada vez importará menos si verdadero falso. saludos."
30,hombre puede inventar crear distinto existe dentro sí mismo. hombre sólo imita preconcebido.
31,inteligencia artificial conciencia artificial inteligencia artificial tener sebe trillon personas solo lugar emula errores solo rrespuestas
32,"parece extraordinario dijo inteligencia artificial, quedé peor, entendí"
33,palabras final números fin
34,derechos humanos dicen derecho pensar según pensamos
35,casa usan cibercriminales querer quitarme
36,"excelente, favor más videos redes neuronales"
38,sacó información podrá decir? veridica?
39,"existe posibilidad algún momento ia capaz desarrollar conciencia descubrir forma intervenir naturaleza ser humano, darse cuenta destruyendonos medio. creo lleguen extinguir ser humano seguro van recurrir métodos extremos corregirnos"
40,"""la autoconciencia está lejos"" dijo dos años puesta marcha ia autonciencia jajaja"
41,conductismo moderno puro
42,solucion s problema mente cada creador
43,porquería
44,inteligencia artificial robots l@s saben quién da vida demonios cuerpo x usan cuerpos asen creer al@s saben verdad engañó
45,jesús viene pronto salvate castigo eterno escapa lazo diablo
46,pasarás eternidad cielo infierno dios quité vida jesucristo viene pronto salva alma ahora ay tiempo mañana puede ser tarde santidad nadie verá señor jesucristo escapa x tú vida llamás eternas
47,padre inteligencia artifical puede llevar negligencia inteligencia artificial?
49,habla demasiado rápido. cerebro necesita pausas. respete.
50,buen contenido canal. usare vídeo trabajo universitario. !gracias¡ :d
51,gracias compartir saber bendiciones
53,contexto: enter der hitoria faf
54,odioooo
55,"ia robo mas oro españoles"", será nueva noticia"
56,uuyyy
57,ia conoce cultura errror.
58,excelente video
59,"hombre hombre , nadie podra separarnos señor dios , dejamos ser hombres pasariamos ser unas maquinas mas, maquina nunca entendera amar ,odiar solo escencia espiritual puede hacer"
60,buena explicación. muchas gracias.
61,resumen: algoritmos bool
62,excelente video gracias
63,haber crea i ser humano así inteligencia .es super programa humano mismo sola creo
64,muchas gracias compartir
65,"si objetivo recrear funciones inteligencia cerebro humano, oodría “cerebro” ai volverse loco?"
66,logra caer mínimos parciales entrenar redes multicapa? utiliza multicapa si está demostrado dos capas puede lograrse cualquier solución más capas? debe reducen operaciones matemáticas?
67,"buen video, data scientist explicas bien"
69,"yo,lo unico supe esque sr inventor i'm not robot guate dijo guate 3 mundo raro"
70,mejor ... naturalmente. espiritual .
71,quisiera alguien lea preste atención: últimamente tv puede ver cantidad publicidad ponen; bueno alguien creara algoritmo comercial voz baja casi imposible inteligencia artificial puede lograr
72,sirva pare guerras mundo
73,intereso bueno
74,"excelente explicación, muchas gracias."
75,interesante.
76,canto one wey bendita canción pegajosa hicieron voz raw alejandro bendita canción eliminaron.
78,acualidad ay generador k dise produce energia eléctrica pensava mismo dia trabaje estudiante dijo k electricidad medio ambiente generador solo recolecta rwproduce
79,inagino k estudiastes puede entrar red saver mas
80,tecnologías artificial todavia lista x k explicando dia k agamos pregunta k lados paises conteste anbroide robot humano valio verga x k vamos depender inteligencia artificial
82,inteligencia artificial toda via lista x k pregunta da respuestas mas ase respuesta internet recopila mas datos mismo va aser inteligencia artificial dia domine pendejo k piense mas aya k ven ojos
83,"ai mal usada forma esclavitud, dominio, control. corazón hombre engañoso corrompido."
84,"existe ninguna inteligencia artificial, resulta bastante estúpido subestimen mundo quedan mundo reverendos idiotas, dejen droga."
85,"gente trabaja inteligencia artificial mas ineptos mundo, inconscientente estan creando moustruo peor diablo siquiera estan dando cuenta, mas chistoso eso, refiero ahora sino futuro"
86,
87,"inteligencia artificial siguiente revolución 5.0, bueno contenido."
88,abra inteligencia artificial diga boya morir vivir bueno
