Timestamp,Username,VideoID,Comment,Date
2018-10-04T00:00:35Z,@akero1388,8lMIdrlIWOQ,No explicó ni madres...,2018-10-04T00:00:35Z
2018-08-25T22:57:17Z,@juandiegomeyersanchez5804,8lMIdrlIWOQ,Buenisimo,2018-08-25T22:57:17Z
2018-04-15T18:28:23Z,@milenasanchez8140,8lMIdrlIWOQ,"tu voz parece la de un robot no eres una persona eres un robot que
 nos intenta controlar",2018-04-15T18:28:23Z
2017-10-09T12:57:40Z,@DotCSV,8lMIdrlIWOQ,"Si quieren aprender más y estar al día con temas de Inteligencia Artificial les invito a pasarse a mi canal, que trata sobre divulgación científica de este campo de estudio  :)",2017-10-09T12:57:40Z
2017-02-06T10:56:18Z,@jacintomesazanon,8lMIdrlIWOQ,"Es una FALACIA afirmar que hay conciencia e inteligencia en robots y ordenadores porque son ENTES INCONSCIENTES.
     Yo en vez de inteligencia(QUE ES FALACIA), es mas realista DENOMINAR   ""PROGRAMACIÓN ARTIFICIAL""  a ordenadores y máquinas cibernéticas......... UNA COSA ""INCONSCIENTE"" no puede poseer NI CONCIENCIA NI INTELIGENCIA",2017-02-06T10:56:18Z
2016-12-13T04:09:58Z,@EdwinSAguas-li7uk,8lMIdrlIWOQ,Me gusta su voz,2016-12-13T04:09:58Z
2016-10-03T13:51:27Z,@JoseAngel-tw7me,8lMIdrlIWOQ,Buen video para las proxmas generaciones del futuro podran varias cosas para hacer en el dia a dia  y cuidar al mundo.,2016-10-03T13:51:27Z
2016-06-30T14:05:26Z,@fernanfloooficial5529,8lMIdrlIWOQ,estupendo .. <3,2016-06-30T14:05:26Z
2016-02-26T22:14:23Z,@isaiasmartinez5984,8lMIdrlIWOQ,Excelente Video,2016-02-26T22:14:23Z
2015-09-24T17:21:42Z,@frankdady916,8lMIdrlIWOQ,jaja el humano y su vanidad que piensa que su cerebro es lo más complejo del universo,2015-09-24T17:21:42Z
2015-09-16T01:21:30Z,@Porque1992,8lMIdrlIWOQ,Excelente explicación. Gracias.,2015-09-16T01:21:30Z
2015-09-15T17:27:39Z,@Yorinorico,8lMIdrlIWOQ,Hermoso video.,2015-09-15T17:27:39Z
2024-05-31T17:04:43Z,@CosmicEpick-ir7cv,_tA5cinv0U8,"La inteligencia artificial se define como la capacidad de los dispositivos artificiales para realizar tareas propias de la inteligencia humana, como el aprendizaje automático, el reconocimiento de patrones y la toma de decisiones.

00:42 La inteligencia artificial se define como la capacidad de las máquinas para realizar tareas humanas, aunque aún hay limitaciones en áreas como la creatividad y la autoconciencia. El aprendizaje automático es fundamental en el desarrollo de la inteligencia artificial.
          -La evolución de la inteligencia artificial y su capacidad para realizar tareas humanas complejas. 
          -Las limitaciones actuales de la inteligencia artificial en áreas como la creatividad y la autoconciencia. 
          -El papel crucial del aprendizaje automático en el avance de la inteligencia artificial y su capacidad para aprender de errores pasados. 
03:23 Los algoritmos de aprendizaje supervisado son ampliamente utilizados y requieren millones de datos etiquetados para entrenar modelos. Otros tipos de algoritmos incluyen el aprendizaje no supervisado, semi supervisado y por refuerzo, cada uno con aplicaciones específicas.
          -El aprendizaje supervisado se aplica en reconocimiento facial, voz, huellas digitales y coches autónomos, entre otros. Requiere grandes cantidades de datos etiquetados para su funcionamiento.
          -Existen otros tipos de algoritmos como el aprendizaje no supervisado, semi supervisado y por refuerzo, cada uno con sus propias aplicaciones y métodos de entrenamiento.
          -Además de los algoritmos mencionados, se utilizan técnicas específicas y algoritmos famosos como regresión lineal, regresión logística y árboles de decisión en diferentes problemas de aprendizaje automático.
07:20 Las redes neuronales son una técnica potente en el aprendizaje automático, formadas por neuronas que se combinan para crear redes profundas en el deep learning. 
          -El video menciona diferentes técnicas de aprendizaje automático como random forest, knn, support vector machine, boosting, y redes neuronales, destacando la potencia de estas últimas en el deep learning. 
          -Se resalta la importancia de comprender el funcionamiento de los algoritmos de inteligencia artificial, como la traducción automática y el reconocimiento de voz, para evitar errores o malas interpretaciones en su aplicación.",2024-05-31T17:04:43Z
2024-05-31T16:56:07Z,@CosmicEpick-ir7cv,_tA5cinv0U8,"La inteligencia artificial se define como la capacidad de los dispositivos artificiales para realizar tareas propias de la inteligencia humana, como el aprendizaje automático, el reconocimiento de patrones y la toma de decisiones.

00:42 La inteligencia artificial se define como la capacidad de las máquinas para realizar tareas humanas, aunque aún hay limitaciones en áreas como la creatividad y la autoconciencia. El aprendizaje automático es fundamental en el desarrollo de la inteligencia artificial.
          -La evolución de la inteligencia artificial y su capacidad para realizar tareas humanas complejas. 
          -Las limitaciones actuales de la inteligencia artificial en áreas como la creatividad y la autoconciencia. 
          -El papel crucial del aprendizaje automático en el avance de la inteligencia artificial y su capacidad para aprender de errores pasados. 
03:23 Los algoritmos de aprendizaje supervisado son ampliamente utilizados y requieren millones de datos etiquetados para entrenar modelos. Otros tipos de algoritmos incluyen el aprendizaje no supervisado, semi supervisado y por refuerzo, cada uno con aplicaciones específicas.
          -El aprendizaje supervisado se aplica en reconocimiento facial, voz, huellas digitales y coches autónomos, entre otros. Requiere grandes cantidades de datos etiquetados para su funcionamiento.
          -Existen otros tipos de algoritmos como el aprendizaje no supervisado, semi supervisado y por refuerzo, cada uno con sus propias aplicaciones y métodos de entrenamiento.
          -Además de los algoritmos mencionados, se utilizan técnicas específicas y algoritmos famosos como regresión lineal, regresión logística y árboles de decisión en diferentes problemas de aprendizaje automático.
07:20 Las redes neuronales son una técnica potente en el aprendizaje automático, formadas por neuronas que se combinan para crear redes profundas en el deep learning. 
          -El video menciona diferentes técnicas de aprendizaje automático como random forest, knn, support vector machine, boosting, y redes neuronales, destacando la potencia de estas últimas en el deep learning. 
          -Se resalta la importancia de comprender el funcionamiento de los algoritmos de inteligencia artificial, como la traducción automática y el reconocimiento de voz, para evitar errores o malas interpretaciones en su aplicación.",2024-05-31T16:56:07Z
2024-05-30T02:08:05Z,@salsaduratv,_tA5cinv0U8,"Muy interesante este desarrollo, aunque no siempre puede ser tan cierto o acertar como lo es una mente humana en cuanto a la interpretación de los datos.",2024-05-30T02:08:05Z
2024-05-19T00:21:14Z,@manuelromeroimaicela8694,_tA5cinv0U8,You are a machine 😮,2024-05-19T00:21:14Z
2024-05-17T21:07:40Z,@franciscopenalvagalvan3730,_tA5cinv0U8,Me gusta el video pero quiero ver la matematica que hay detras no solo terminos,2024-05-17T21:07:40Z
