,Comment
0,llegue 100 mil laics video anunció ganador iphone
1,"3:18 wey dandole razón frankedy jaja, ""tu votate ala vrga"" jaja traición."
2,ver videos osos maduros
3,jugar unas partidas free fire ver tío eddy
4,ver buenos videos tío prank
5,gran video bro
6,3:47 cobra gay xd 4:59 jajajajaj 5:11 mientras grita siuuuuuu jajajajajj 6:29 todavia dice pndejo xd
7,llanta más lisa qué verg. jajja paro hizo
8,cobra gay jajaja
9,llama ia
10,sale 5 parte
11,ise
12,"jaja venderlo, comprar útil."
13,"duda siempre haces ""bromas""a puro hombre,y mujeres?"
14,ayuda pito chico
15,cómo llama programa hacer eso?
16,está ganando rey bromas
17,3:52 hola pi jwjejej rei jajaj lol dx
18,bicho dice siuuu hahahsjaajjajajajkakakaa
19,3:20 izquierda único normal :v
20,santa fe clan jajqj
21,3:24 santa fe klan
22,héroe capa diga si sabe ¿cómo llama aplicación ia?
23,embaraze prima comentario olvidará
24,si llo ganara berya podno. pdt:tqm edi
25,increíbles videos
26,ajajjajaa alv jajajajajaja
27,si gano usaría hacer videos
28,3:24
29,5 parte jajaja
30,si gano iphone doy mama mejor mama simpre apoya comer come coma
31,si gano iphone regalaría hermana
32,mientras grita siuuuu jajajajajajajaja mms
33,"encanta llenen tanque blanca, pero, comentario perderá"
34,2:23 2:26 jajajaj 2:36 2:42 3:06 3:10 ahh jajaj 4:57 4:59 5:02 5:08
35,alto gato
36,jajaja jajaja
37,morro cagandose risa amigo
38,creo ganar utilizaría regalo
39,jajaja mames llanta jajaja jajajaja
40,"cero talento, neta pasas listo gente, den merecido vas quedar agusto,, sé cómo youtube deja subir contenidos tan vulgares qué atentan dignidad kas personas."
41,
42,6:50 jajajajj xd !!!
43,si regalaria hijo
44,jajaja
45,2:42 renegul referencia
46,buen vudeo
47,.
48,0:29 asi buen0ooo
49,vato bien felipe comiéndose paquetaxo
50,parce broma real
51,"""si ahuevo"" jaja."
52,llama ia
53,estaría chido detras camaras
54,jajaja onda burro vanrankin entrenador
55,3:18 mejor parte jaja
56,jajajajaja
57,
58,gente piensan méxico pendejos
59,cómo llama inteligencia artificial?
60,aguanta risa?
61,saludos
62,3:36 burro van rankin
63,primero aria ver videos prankedy
64,3:22 parte favorita
65,nms
66,si ganaron encantaria tenerlo grabar videos igual prankedy chingon
67,4 videos inteligencia artificial estubieron chidos buenos gustaron prankedy sigue haciendo mas
68,excelente saludos.
69,ganador
70,pica puño naco sudadera café
71,"jajajajajaaj morro amigo, lugar defenderlo todavia dice, ""si asi dijo"" jajajajajajaajajajajaj si amigos."
72,jajajaj c mamo 2:34 prankedy mejor jajajaja
73,utilizaría iphone tomar fotos grabar videos lugares visito si ganaron mucha suerte
74,jajaja rebuen contenido jaja
75,iphone voy chaquetear
76,
77,these are cool pranks
78,2:34 rifo
79,oye prankedy pasó 100 mil haz inteligencia artificial
80,"3:20 ""si así dijo"""
81,2:35 man atrás
82,sube mas video estilos
83,dia 34
84,hola prankedy
85,jajajajajajajaja dije
86,pobres inditos enojan ajjaja
87,"más bromas inteligencia artificial, mejores fecha!!!"
88,sube mas estilo
89,jaja sale gueey paketaxo cagándose compa
90,like chavo pake taxo
91,poncharon llantas culero bromistas pasado landa
92,vengo presumir tio 28 cm puro poder jajaja
93,wuey papas jajaja
94,jaja juega escondidas
95,sabes dios perdone arrepiéntete tanta maldad dios ama fin tiempos verdad arrpientanse vocabulario dios ama dios bendiga
96,llama ia ?
97,buscaría osos maduros
98,partee5
99,cel ocuparia mks gastos uni gastos comida
100,visualizar varias veces videos haiga mas premios
101,alto locoo
102,jajajaj
103,
104,
105,cristiano ronaldo mejor messi
106,f llanta
107,
108,videos gods
109,jajjaja barbaro prankedy
110,video??
111,pal whatsap
112,fan salúdame
113,parte 5 6 7 8 9 bromas inteligencia artificial
114,utilizar celular
115,paso prankedy ?
116,hace 3 meses :(
117,llanta nueva
118,jajajajaja
119,más éstos videos porfa
120,
121,
122,
123,.
124,si piedee
125,6:29 también bien pendejo pa que... jajajajaja
126,dicen piñata .
127,2:13 pasó xd rey mysterio.
128,ia usas???
129,cosa locos
130,animo
131,jajaja culero xd risa
132,á alto loco 1:34
133,descargare codm :)
134,chido llanta
135,wey lado
136,cobra gay
137,jugaba escondidas abuelo jajauauau
138,alberto río ve más chido
139,rey misterio
140,primero haría sería tomarme foto dios troleo... salu2prro dame iphone gay?...
141,vende votos partido politico grosero
142,jugaría frifai
143,usaría jugar juego favorito
144,usaría iphone estudios q q sirve sirve micro traba fe q voy ganar
145,tela cura bros cotoreas bien sabroso
146,gane iphone haré cosas brillantes
147,quiero darselo mamá 10 mayo
148,holaaaa cole
149,teléfono ama
150,
151,"buenas bromas rey , lastima llanta , nuevo sub"
152,ola perdi telefono pq sirve apago ko prende ocupo cel neta wey pq sino cel m gustsria ganar aifon
153,parte 5 broo jajaja
154,"manches pude acabar verlo, saque muela juicio duele reirle, asi mejor paramos, actualizo vea bien."
155,quiero ver más vídeos xd
156,niño aguanto risa
157,rey mysterio of
158,llama ia?
159,tarea
160,amigo pues también
161,terminar prepa
162,utilizaria vida diaria tomar mejores fotos pueda :d
163,cómo partido político
164,rey bromas
165,jajajajjajs
166,prakendy quiero ser ganador
167,jugar cod
168,jugar mobile legends
169,"si ganara iphone usaría estudios comunicarme familia, espero q gane"
170,parteeeee 5
171,jajajjaja
172,"saludos acapulco, gro"
173,f llanta
174,si ganara utilizaría tomarle fotos perritas playa.
175,f llanta
176,queremos la.parte 5 inteligencia artificial
177,jajajaja bueno vato suéter gris
178,wey parece burro 0:43
179,wey parece burro 0:43
180,jajajaja vato pico llanta pasó vrg reaccion edy 4:13
181,jajaja hizo reír desarmador más reacción edy dice nmms está picando llanta 4:12 edith poner minuto referencia
182,ponen pechito tambien jajaja
183,usari phone descargar codmobile actual memoria viejo
184,f llanta
185,jajajajaja
186,fu error bromea vato herramientas
187,
188,che edyy jajajjaja
189,kobra gai
190,jajajajajajaja pasaste v....
191,entrenador qué mando decir también quieree acstar suu alumno
192,suu compa diciendo: ahuevoooo! jajaja
193,wue
194,jajajajaajaj
195,deverías hacer vídeo diciendo está dando chinga rey bromas vatos si dan gracia solo quedé bufón alzado ardido segundon jajajaja acabó rato wey
196,"dejo seguir supera ""el rey bromas"""
197,quiero phone guadalajara
198,sal pedir halloween fechas
