Comment,Label
"hey mr lecun, what bad ourcome needs to happend to make you wanna slow ai development?
do you want me to imagine something something i don’t think can happend??
wow, he doesn’t think any outcome is so bad bad that we need to slow down!!??! well, just full speed ahead then no matter the outcome!",0
ai lol a 1 year old babie is more clever,-1
​ i feel the op wanna say that he needs progressive ai and not just objective ai that reflects human biases.,1
"or, it uses our own human nature against us. we rarely discuss the deeper cultural impacts as technology advances. is it sustainable? i tend to think not, but it's just one person's opinion.",0
"idk man. you were pretty convincing.

maybe it was an ai ",0
"wait, is this real or cgi?",N
*what this man has done for education is absolutely incredible!*,N
anyone from jain university? let's connect,N
"don't worry, there will be ais that receive ubi, so they can keep the economy going. ais have the distinct advantage of not being required to spend their limited funds on food and other such luxuries.",1
"maybe ai will do a better job of taking care of the planet, we're not a hard act follow",1
ai will ruin porn,-1
it would be helpful if khanmingo could adjust their explanations if explaining it a certain way isn't resonating with a student. especially with neurodivergent people sometimes we just need things explained in different ways,1
"a.i. for ""the common good""? why does that sound more like the emperor talking about the death star? thank you, tucker and mike.",-1
"@r jelly, thank you! i am a teacher.  i do not use ai tech of any kind in my classroom.",N
what if china or russia builds an a super ai and asks 'how best to hurt america.' we'd be totally unprepared because our best ai was designed by nice scientists that aren't adversarial at all.,-1
what's going to confuse the crap out of ai is the paradigm of “it's just business”: immoral behavior based on the need for profit- like invading iraq,-1
"if we can't control the first ai, how will we control the second ai, which presumably will need to be more powerful in order to control the first one?",1
" problem is it works, but doesn’t get rid of the problem, much like with guns, i’m not saying taking away access to either entirely is a better idea, but there’s gotta be a happy medium of keeping these powers out of reach for most “bad guys” and within reach for “good guys”",0
the best we can hope for in the long run is that ai replaces us in the same way we currently expect our children to.  it will (in the best case) be a significant event in our evolution.,1
"he actually tried to, place the plate correctly, because he thought it was incorrect. wow",N
"​​ agreed, ai will not end us... it might be the tool the psychopaths use to figure out how to end us... either way, ill be close to checking out by then, im kinda just really intrigued to see what happens either way... this stuffs amazing.",1
this is amazing...thank you mr khan,N
"if a.i is doing all the work, the a.i will get jealous of the callous lazy human riding on it's coat-tails. 
resulting in?????
determinism vs. free will
if handled improperly, will shake the foundations of the the dimensions you and i exist in.
keep in mind, the term a.i, is a variable in an equation too.",1
who will be left to buy product x if potential buyers employed at company y are replaced by ai to save money on production costs? the same problem applies to company y. what a dilemma!,0
thank you!,N
"thanks you sal khan. my thought exactly. i also look at ai, in the context of a personal tutor and learning, as a forcing function for greater equity over time.",1
"very well said, thanks andrew. on the platform model, question is how much does it cost the pizzeria or fabric factory owner to build an ai, compared to the delta revenue it brings them.",0
ai brian greene lol,0
i'm not afraid of ai. i'm afraid of other humans having it.,1
oh no the robots are going to eat our toes,-1
imagine thinking that the existence of something ai can't do somehow negates all the things it can.,-1
"excellent talk. 
if you are not concerned about the explosion in ai capabilities, you are not paying attention.",-1
mad-good bo patches under that guy's arms! he must be very animated!,N
democracy is mob rule.  we are awaiting the totalitarian leadership of yeshua ha maschiac!,N
"all high tech races are doomed to destroy themselves through hatred combined with high or low technology. it becomes much easier to destroy in greater numbers when the technology becomes greater such as going from bullets to nuclear bombs.
bv",-1
"guys this is absolutly not good, and this will absolutly make us their slaves wake up, they will even controll our minds",-1
