Comment,Label;
simply amazing. 10:45 literally inspired me to write a whole python package to make this logic available to data analysts/scientists/engineers more widely (called dpq on github/pypi).,;1
"even worse than that is that these ""emotions"" are not real, but simulated. a famous problem in ai is how to create an ""off"" switch since ai will have been designed to protect itself. nearly every solution fails for one reason or another.,";-1
it's very simple to not be worried about ai. stop working on it. oh you can't? well then stop moaning.,;0
"this video is helpful.  i also love how you added the ""they took my job!"" gag from south park. ,";1
just like we watched different movies showing something wild in 2050 or 2080. at that time i was thinking that its not possible in next 40-50 years. but now i can say we will be destroyed soon by robots.,;-1
eye opening, ai has is pros and cons. i'm tech lady ....graduated computer programmer 1995 had my  1 st pc when  1% only had one 97 using internet. my biggest worry ,  we do need regulations and laws to make is safe for children, safety and fraud ****,;0
it's awesome but it has problem counting ,;1
cool, but you have to change that annoying voice!,;1
this an amazing start to an amazing future with active ai,;1
it's a prototype, we had the technology to make a metallic object move 20 years ago, the only new thing was placing and training an ai to make it move perfectly.,;1
yeah. joyce strategy is one of the most effective among other experts. many others are not dependable.,;1
i don't know if i am excited or scared of that. the technical aspect ist fascinating but do we really want robots that have a body and high intelligence ai compared?,;0
the enlightened beings of india could utilise their bio organic capacity's to transmit from one mind to another...ai is the great substitute imposter deciever surrogate for our own god given natural soul capacity's...,;1
politicians need to stop blocking progress. the future is irreversible. thanks ms. wood,;1
super useful comment to leave.,;N
ai can be used by super moguls to hack financial institutions, power grids, military  communication systems,;-1
"that's impressive my predictions about robotics and ai over the next decade have hit close to the mark so far. this particular robot is showing some decision making and some cohesive behaviour and dexterity i was not expecting for another few years.
,";1
no it won't. what will happen is they will take over to make sure that they are taken care of. we will become their slaves. but it will be a golden cage. no one will want to leave. because humans are lazy. there's no two ways about it. i for one will step into the golden cage and be happy. because the cage that i'm in now. sucks,;-1
​ the best way to predict future behavior is by looking at past behavior... we're fucked,;-1
this guy is the villain in every movie. god help us. this guy and people like him want humans to go extinct,;-1
could i use an ai to make myself rich??,;1
 but shadowbanning already exists and can happen through manual censorship. why is this being treated like it's an ai issue?,;0
wow thank you!,;N
horrifying but predicted for years by some doctors for you all (with proof)..this is not how you present this issue if you are interested in human rights. there will be no people in high stakes professions. in other words, bye healthcare. no doctor i know will stay in this setting and if they do let's watch them volunteer for it.,;-1
there will always be a physical server to power ai, it will never take over it can only assist us until the server is destroyed through decay of society war etc these robots aren’t magic,;1
ai wrote his /her speech,;1
wow ,;N
one of the most wonderful,  touching, eye opening podcast i've ever watched in the internet!!! mo gawdat you're a gem for humanity.,;1
loving everything but the product name: khanmigo..,;1
unfortunately he is the guy who is thrown out of the window in that certain meme......,;0
 ah, i appreciate it man.,;0
didn't hear anything vaguely new or insightful, and conflict is about ready to become about resources again.,;0
the us is a terrorist state - what good acrors is he talking about?,;0
"this smells like an attempt to gain advantage. ""please don't develop your nuclear weapons, because we want to be able to wage war against you"".
i'm glad this leaked and hope people will slap crypto to it to incentivise mining-learning and decentralize the **** out of this.,";0
god bless all you divine beautiful souls 3333 <3 <3 <3 remember your true self <3 <3 <3 i love you all <3 <3 <3,;0
"well, hello to every ""ais"" in this thread. at least all of you know how to mock in a typically ironic way as ""human beings"".,";-1
ai hype is over. stop making people transition into this field! now every company requires related msc even for junior level positions..,;-1
so cheap. what they could do is, before that chinzy test, map a persons brain for certain language/dialog. and then read that back to the person, omg, it looks so sophisticated but all they did was track the same response to the previous repeat. lame,;-1
response time can be faster and the guy behind the curtain can take the proper time to read the prompt without stuttering.,;-1
i'm genuinely sick of self-appointed academics, chosen by wealthy because education is not intelligence, telling us whats what. indeed, all of you privately educated arses. however leftie you might purport. it's a shame. your multiple houses and boats. what about the vulnerable?,;0
i think they're more scared of cobain and hendrix ,;0
this video was generated and powered by ai. ,;1
how does the learning a.i absorb fact and truth amongst all the bullsh*t out there..?,;-1
joe is so dim sometimes. has a couple ai experts on, they some how mention dna printers, and now joe wants to ask them about dna and biology.. i don’t think he knows the difference between the two.,;0
there is no way to know what ai is capable of.. and you think its gonna tell you.. or it will be self evident.. i dont think so.. it certainly knows how dumb we are & where were going,;0
​ why did they give him a hot voice >< making me crush on a robot,;1
"out of everything being said... the idea of ai having/developing ""emotions"" is the most unnerving.. fear brings out the worst in humanity, the reason why this conversation is happening in the first place.. thank you for sharing,";0
you might test ai, but i'm fairly certain you're not very bright. ,;0
same with mike joke over here. saying there are millions of jobs available, my ass,;0
his coursera courses are awesome,;1
