,comments
0,Bruh he really looked like thanos
1,"He averaged 35,9,9 on 54% in these playoffs.... absolutely unreal"
2,"Idc what anyone says, 1 superstar should not be beating 5 good players, and a great coach in a 7 games series, That’s some unprecedented stuff right there."
3,"Nobody in NBA history is better than this version of LeBron, absolutely unstoppable."
4,The fact that LeBron took this Cavs team to 4 straight finals is just amazing.
5,"To the people that see this in the future, this MAN had one of the GREATEST playoff runs of all time"
6,Tatum:*posterizes LeBron*
7,LeBron: so you have chosen DEATH
8,"I remember clearly the post game celebration in this game. Everyone holding the trophy and opening champagnes. Then there is Lebron in the corner. Gassed, exhausted. Has ice cubes over his body and feet. It was heart wrenching to see. He can barely celebrate the win."
9,Best and 1 play of all time at 2:15. Morris was literally trying to pull him to the ground. Legendary celebration too.
10,2018 bron easily the best player I’ve ever seen
11,Can't wait to tell my kids that they've put 5 all-star in a team  just to beat a 1 man
12,"I’m back in 2021 after watching Nets vs Harden. What LeBron done this playoffs will get appreciated 5-10 years from now. Played all minutes, he went to first round game 7 and still managed to carry the team. Look at KD and Giannis how they were gassed from going to second round game 7 after sweeping the first round. One of a kind"
13,This dude has had like 3 primes lol. 2013 he was a monster but 2018 he was literally a basketball god
14,Greatest playoff run by a player and he dropped 51 in a finals game and still couldn’t win. shame that most have forgotten about this but I never will. FIFTY ONE IN A FINALS GAME 
15,The fact that lebron carried this team to the finals is ridiculous
16,"Ladies and gentlemen, the GOAT"
17,"2:21 when The King roars, the whole world hears it"
18,bro roaring like a lion.. I cried when I saw that live.. he the goat man forreal
19,LeBron roaring and scaring the entire baseline.
20,2:25 The Celtics fans reactions are priceless
21,"That’s Lebron’s most iconic photo. Just epic powerful, all around dope pic"
22,"2:16 Man, I've rewatched this play an ungodly number of times in the last 5 years and it still gives me chills!"
23,2018 LeBron was a basketball god. Yikes!
24,2018 playoff run is what made me FINALLY cast my vote for greatest player of all time.
25,"James is playing chess while everyone else is playing checkers.   That pass he made to George Hill was brilliant.  Everyone else in the building figured, with a five point lead, that they would milk the clock.  Instead, James, after the defensive rebound by Green, immediately throws a 50 foot assist to ice the game."
26,"I wished, LeBron would've won it all that year, he should've won mvp"
27,2:25 i love this womensupporting LBJ
28,"jesus that last play was simply incredible. literally getting pulled back, brown goaltended, and the basket still counts. literally unstoppable"
29,I love when you can hear him roaring after the and 1 and can see all the fans just looking in disbelief those celtics fans always been the biggest haters he crushed their hopes
30,But still people doesn't give him the respect he deserves and only talking about his lost finals...
31,Bro that whole sequence starting at 2:16 will always be historical. Still give me goosebumps. If you pay attention when he taunts the crowd after the play you can pause the video and see alot of mad faces in the crowd.
32,this is LeBron at his absolute best. He was unstoppable during this playoff run
33,"As a Celtics fan, I knew we were done for after Game 6. LeBron wasn't going to lose in the ECF on his own floor, and everyone knows you don't mess with Game 7 LeBron"
34,2018 bron is the best player i've ever seen
35,I'm a Bucks Fan and I just had to comeback here after today's game to truly appreciate Lebron's Greatness. He made it look easy. That's why he's undisputedly Top 2 All Time.
36,"Let's do some math. 200lbs Jordan couldn't handle the physicality of the Pistons. Jordan works out, comes back 205, 210? Now that's enough weight/size/strength to deal with what the Pistons were doing. Now, look at 6'9"" 265lbs Bron scoring an and 1 with a man around the same size literally grabbing his shoulders with all his weight like its nothing. Why do ppl say, ""Bron couldn't deal with the physicality of the 80s."" Be honest, you think the players in the 80s want an elbow from Bron? If they hit, he can hit back. They'd learn pretty quick that this guy is a bit bigger and stronger than the rest. Jordan at 210 was strong enough, but somehow Karl Malone sized Bron couldn't deal?"
37,Mehr anzeigen
38,Lebrun would have 10 rings if he played in 1969 like bill russell lol
39,from 2011 until now the celtics have not seen finals thanks to LeThanos
