,comments,uncleaned_comments,labels,predictions
0,thanks sal khan thought exactly also look ai context personal tutor learning forcing function greater equity time,"thanks you sal khan. my thought exactly. i also look at ai, in the context of a personal tutor and learning, as a forcing function for greater equity over time.",positive,positive
1,artificial intelligence inevitable good sir especially creation internet along rapid growth advancement technology,artificial intelligence is inevitable good sir.  especially after the creation of the internet along with the rapid growth and advancement of technology.,positive,positive
2,sounds great thinking building ai system every individual make life efficient valuable way ai impacted whole industry tremendous makes amazed see impact generating,it sounds great that we are thinking about building ai system for every individual to make their life more efficient and valuable. the way ai has impacted the whole industry is tremendous. it makes me amazed when i see the impact it's generating.,positive,positive
3,china collapse first lack trust bc ai russia collapse next usa chance collapsing ai lack societal trust everything,china will collapse first from a lack of trust bc of ai.  russia will collapse next. only the usa has a chance of not collapsing from ai and the lack of societal trust in everything.,positive,negative
4,friend learning disability hard time expressing means emails told use chatgtp thanking embarrassed telling friends like help feels relieved confident independent thanks ai,"my friend has a learning disability and she has a hard time expressing what she means in emails. i told her to use chatgtp and now she's thanking me. she was embarrassed telling her friends or like me to help her and now she feels relieved, confident, and independent. thanks ai",positive,positive
5,gpt 5 releasing soon found amazing video gpt 5 insights om,"gpt-5 releasing soon....
found an amazing video of gpt-5
on""insights with om""",positive,positive
6,deep dive intrigues like minded book could next stop bytes consciousness comprehensive guide artificial intelligence stuart mills,"what a deep dive. if this intrigues, a like-minded book could be your next stop. ""from bytes to consciousness: a comprehensive guide to artificial intelligence"" by stuart mills",positive,positive
7,ai like managed developed integrated properly could lead us world much like one currently live," ai like this, if managed and developed and integrated properly, could lead us to a world much more like that than the one we currently live in!",positive,positive
8,want learn ai easiest discussion gpt 4 bard grok really interesting entities discuss transformers really fascinating,"if you want to learn more about ai, the easiest is to have a discussion with it gpt 4 or bard or grok are really interesting entities to discuss with. transformers are really fascinating!",positive,positive
9,ai first background world technology future life,ai is the first background world technology because the future of life now!,positive,positive
10,shocked self learning system self learning smart people human race deserves taken,why are they so shocked that a self learning system is self learning if these are smart people the human race deserves to be taken over,positive,positive
11,amazing coming man spent decades creating neural networks underpin ai definitely take says seriously hope face skynet soon,this is amazing.  coming from the man who spent decades creating the neural networks that underpin ai i definitely take what he says seriously.    i hope we don’t face skynet soon.,positive,positive
12,future going amazing,the future is going to be amazing!,positive,positive
13,advancement ai technology astonishingly fast,the advancement of ai technology is astonishingly fast.,positive,positive
14,ai become real musician,because ai will _become_ a real musician,positive,positive
15,train ai module determine strategy keep world safe select top 100 trustworthy individuals world oversee,you should train an ai module to determine a strategy to keep the world safe and to select the top 100 most trustworthy individuals in the world to oversee it.,positive,positive
16,ai used rapidly analyze imaging stroke patients drastically improve care outcomes makes proud part generational shift,"ai is being used to rapidly analyze imaging for stroke patients, it can drastically improve care outcomes. makes me proud to be part of this generational shift.",positive,positive
17,imagining ai imagination thinks future ai purpose without humanity something theoretically conscious infinite amount time would want think nothing cater take care picturing first episode star trek voyager,"imagining ai does what our imagination thinks it can in the future. will ai have a purpose without humanity? 

something that is theoretically conscious for an infinite amount of time. all it would want to do is think if it had nothing to cater/ take care of. i’m picturing the first episode of star trek voyager.",positive,positive
18,actual peer reviewed research biological immortality stopping ageing ai accelerate,there's actual peer reviewed research on biological immortality (stopping ageing) ai will only accelerate it.,positive,positive
19,absolutely beautiful like slowly witnessing second coming jesus chist dont personally follow christian religious sectors anyway looks like creating gods,"it's absolutely beautiful. it's like slowly witnessing the second coming of jesus chist. i dont personally follow christian or other religious sectors, but to me anyway it looks like we're creating gods.",positive,positive
20,use technology create ai robots feelings make besfriends help us making lives easier,we can use this technology to create more ai robots with feelings and make them our besfriends to help us on making our lives more easier.,positive,positive
21,sal khan one best teacher world grew using khan academy always dream meet amezing guy ai already use chatgpt tutor,"sal khan is one of the best teacher in the world, grew up using khan academy and always had a dream  to meet this amezing guy . and about ai i already use chatgpt as a tutor",positive,positive
22,wonderful tool long fully replace human interaction,"it is a wonderful tool, so long as it doesn't fully replace the human interaction.",positive,positive
23,video helpful also love added took job gag south park,"this video is helpful.  i also love how you added the ""they took my job!"" gag from south park. ,",positive,positive
24,amazing start amazing future active ai,"this an amazing start to an amazing future with active ai,",positive,positive
25,prototype technology make metallic object move 20 years ago new thing placing training ai make move perfectly,"it's a prototype, we had the technology to make a metallic object move 20 years ago, the only new thing was placing and training an ai to make it move perfectly.,",positive,positive
26,enlightened beings india could utilise bio organic capacity transmit one mind another ai great substitute imposter deciever surrogate god given natural soul capacity,"the enlightened beings of india could utilise their bio organic capacity's to transmit from one mind to another...ai is the great substitute imposter deciever surrogate for our own god given natural soul capacity's...,",positive,positive
27,one wonderful touching eye opening podcast ever watched internet mo gawdat gem humanity,"one of the most wonderful,  touching, eye opening podcast i've ever watched in the internet!!! mo gawdat you're a gem for humanity.,",positive,positive
28,loving everything product name khanmigo,"loving everything but the product name: khanmigo..,",positive,positive
29,wow amazing ai eating everything,"wow, that's amazing. ai is eating the everything.,",positive,positive
30,next great step future technology write history,"this is the next great step into future technology....that will write history,",positive,positive
