,Comment
ki,66
r,30
f,29
mensch,24
--,23
k,21
gut,18
mal,16
mehr,14
immer,13
ja,13
geben,13
m,13
intelligenz,12
sagen,12
ber,11
h,11
t,11
schon,10
bewusstsein,10
n,10
w,10
vielleicht,10
menschheit,9
einfach,8
frage,8
re,8
werden,8
programm,8
heute,8
ren,8
jahr,7
tun,7
echt,7
machen,7
warum,7
bereich,6
leben,6
ai,6
gehen,6
neu,6
vieler,6
welt,6
nnen,6
maschine,6
glich,6
email,6
beh,6
monat,6
thema,6
genau,6
arte,6
per,6
doku,6
technologie,5
bzw,5
egal,5
internet,5
6,5
technik,5
chatgpt,5
erkl,5
liegen,5
seit,5
stellen,5
antwort,5
finden,5
rden,5
terminator,4
brauchen,4
kopf,4
wohl,4
menschlich,4
china,4
zeigen,4
stehen,4
rt,4
deep,4
zeit,4
beitrag,4
to,4
sollen,4
hoffen,4
and,4
nn,4
mitarbeiter,4
fragen,4
eigentlich,4
gen,4
meinung,4
ger,4
with,4
nstlich,4
5,4
d,4
daran,4
sst,4
angst,4
problem,4
kunde,4
dogma,3
dinge,3
darin,3
arbeiter,3
3,3
schlimm,3
1000,3
schnell,3
beitr,3
kl,3
google,3
frau,3
vergangenheit,3
tag,3
kontrolle,3
spannend,3
milliarde,3
schreiben,3
intelligent,3
information,3
ab,3
ssel,3
dokument,3
l,3
erkennen,3
schaffen,3
hrt,3
absolut,3
sehen,3
the,3
learning,3
denken,3
st,3
wichtig,3
ziel,3
richtig,3
ben,3
liste,3
universum,3
jedoch,3
toll,3
wirklich,3
leider,3
haben,3
sorry,3
interview,3
s,3
sicher,3
franz,3
million,3
schlecht,3
ganz,3
unser,3
hrlich,3
europa,3
gef,3
quasi,3
form,3
eigen,3
gar,3
sisch,3
ten,3
schritt,3
selber,3
evolution,3
somit,3
person,3
sterreich,3
bald,3
autonom,3
bitte,3
einstieg,3
ahnung,3
brot,3
ende,3
ge,3
schicken,3
lang,3
potenzial,2
reiz,2
sprache,2
halt,2
lesch,2
erwach,2
bestimmen,2
krebs,2
zukunft,2
hast,2
ach,2
